"Parent ARK","Item ARK","File Name","Object Type","Title","Item Sequence","Bucketeer State","Thumbmail","IIIF Access URL","IIIF Manifest URL"
"ark:/21198/z1515r8c","ark:/21198/z1864cqx","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0054_0001.tif","Page","Page 1","1","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1864cqx",""
"ark:/21198/z1515r8c","ark:/21198/z14f3n12","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0054_0002.tif","Page","Page 2","2","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f3n12",""
"ark:/21198/z1515r8c","ark:/21198/z10p2wbs","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0054_0003.tif","Page","Page 3","3","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p2wbs",""
"ark:/21198/z1515r8c","ark:/21198/z1vx2cwx","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0054_0004.tif","Page","Page 4","4","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx2cwx",""
"ark:/21198/z1515r8c","ark:/21198/z1r51n31","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0054_0005.tif","Page","Page 5","5","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r51n31",""
"ark:/21198/z1515r8c","ark:/21198/z1md0wbv","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0054_0006.tif","Page","Page 6","6","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md0wbv",""
"ark:/21198/z1515r8c","ark:/21198/z1gq8v36","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0054_0007.tif","Page","Page 7","7","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq8v36",""
"ark:/21198/z1515r8c","ark:/21198/z1bz83bd","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0054_0008.tif","Page","Page 8","8","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz83bd",""
"ark:/21198/z1515r8c","ark:/21198/z1767bnf","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0054_0009.tif","Page","Page 9","9","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1767bnf",""
"ark:/21198/z1515r8c","ark:/21198/z13f6m01","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0054_0010.tif","Page","Page 10","10","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f6m01",""
"ark:/21198/z1515r8c","ark:/21198/z1zp63g8","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0054_0011.tif","Page","Page 11","11","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp63g8",""
"ark:/21198/z1515r8c","ark:/21198/z1tx5brj","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0054_0012.tif","Page","Page 12","12","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx5brj",""
