"Parent ARK","Item ARK","File Name","Object Type","Title","Item Sequence","Bucketeer State","Thumbmail","IIIF Access URL","IIIF Manifest URL"
"ark:/21198/z18s6gxg","ark:/21198/z13795hf","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0091_0001.tif","Page","Page 1","1","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13795hf",""
"ark:/21198/z18s6gxg","ark:/21198/z1zg8p2m","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0091_0002.tif","Page","Page 2","2","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zg8p2m",""
"ark:/21198/z18s6gxg","ark:/21198/z1tq7xds","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0091_0003.tif","Page","Page 3","3","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7xds",""
"ark:/21198/z18s6gxg","ark:/21198/z1pz75pf","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0091_0004.tif","Page","Page 4","4","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz75pf",""
"ark:/21198/z18s6gxg","ark:/21198/z1k66dxk","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0091_0005.tif","Page","Page 5","5","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k66dxk",""
"ark:/21198/z18s6gxg","ark:/21198/z1ff5p5t","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0091_0006.tif","Page","Page 6","6","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff5p5t",""
"ark:/21198/z18s6gxg","ark:/21198/z19s3mvd","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0091_0007.tif","Page","Page 7","7","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s3mvd",""
"ark:/21198/z18s6gxg","ark:/21198/z1612w4d","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0091_0008.tif","Page","Page 8","8","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1612w4d",""
"ark:/21198/z18s6gxg","ark:/21198/z12824d2","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0091_0009.tif","Page","Page 9","9","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12824d2",""
"ark:/21198/z18s6gxg","ark:/21198/z1xh1n0p","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0091_0010.tif","Page","Page 10","10","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh1n0p",""
"ark:/21198/z18s6gxg","ark:/21198/z1sr0w8z","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0091_0011.tif","Page","Page 11","11","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr0w8z",""
"ark:/21198/z18s6gxg","ark:/21198/z1p004g1","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0091_0012.tif","Page","Page 12","12","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p004g1",""
"ark:/21198/z18s6gxg","ark:/21198/z1j69cq9","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0091_0013.tif","Page","Page 13","13","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j69cq9",""
"ark:/21198/z18s6gxg","ark:/21198/z1dj7bhn","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0091_0014.tif","Page","Page 14","14","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj7bhn",""
