"Parent ARK","Item ARK","File Name","Object Type","Title","Item Sequence","Bucketeer State","Thumbmail","IIIF Access URL","IIIF Manifest URL"
"ark:/21198/z1b29nbf","ark:/21198/z1zw3gpf","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0013_0001.tif","Page","Page 1","1","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zw3gpf",""
"ark:/21198/z1b29nbf","ark:/21198/z1v42qxk","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0013_0002.tif","Page","Page 2","2","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v42qxk",""
"ark:/21198/z1b29nbf","ark:/21198/z1qc208j","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0013_0003.tif","Page","Page 3","3","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc208j",""
"ark:/21198/z1b29nbf","ark:/21198/z1kp9xw9","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0013_0004.tif","Page","Page 4","4","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kp9xw9",""
"ark:/21198/z1b29nbf","ark:/21198/z1fx968q","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0013_0005.tif","Page","Page 5","5","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fx968q",""
"ark:/21198/z1b29nbf","ark:/21198/z1b58fj9","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0013_0006.tif","Page","Page 6","6","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b58fj9",""
"ark:/21198/z1b29nbf","ark:/21198/z16d7ps4","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0013_0007.tif","Page","Page 7","7","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d7ps4",""
"ark:/21198/z1b29nbf","ark:/21198/z12n6z0x","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0013_0008.tif","Page","Page 8","8","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n6z0x",""
"ark:/21198/z1b29nbf","ark:/21198/z1xw6fj2","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0013_0009.tif","Page","Page 9","9","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw6fj2",""
"ark:/21198/z1b29nbf","ark:/21198/z1t45pwj","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0013_0010.tif","Page","Page 10","10","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t45pwj",""
"ark:/21198/z1b29nbf","ark:/21198/z1pg3nfr","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0013_0011.tif","Page","Page 11","11","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pg3nfr",""
"ark:/21198/z1b29nbf","ark:/21198/z1jq2wsx","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0013_0012.tif","Page","Page 12","12","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq2wsx",""
"ark:/21198/z1b29nbf","ark:/21198/z1dz254w","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_def0013_0013.tif","Page","Page 13","13","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz254w",""
