"Parent ARK","Item ARK","File Name","Object Type","Title","Item Sequence","Bucketeer State","Thumbmail","IIIF Access URL","IIIF Manifest URL"
"ark:/21198/z1fr1pm7","ark:/21198/z1tj0hqg","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0005_0001.tif","Page","Page 1","1","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj0hqg",""
"ark:/21198/z1fr1pm7","ark:/21198/z1pv8gdx","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0005_0002.tif","Page","Page 2","2","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv8gdx",""
"ark:/21198/z1fr1pm7","ark:/21198/z1k37qph","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0005_0003.tif","Page","Page 3","3","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k37qph",""
"ark:/21198/z1fr1pm7","ark:/21198/z1fb701g","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0005_0004.tif","Page","Page 4","4","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb701g",""
"ark:/21198/z1fr1pm7","ark:/21198/z19k67b6","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0005_0005.tif","Page","Page 5","5","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k67b6",""
"ark:/21198/z1fr1pm7","ark:/21198/z15t5gmg","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0005_0006.tif","Page","Page 6","6","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t5gmg",""
"ark:/21198/z1fr1pm7","ark:/21198/z1224qt5","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0005_0007.tif","Page","Page 7","7","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1224qt5",""
"ark:/21198/z1fr1pm7","ark:/21198/z1x947b8","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0005_0008.tif","Page","Page 8","8","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x947b8",""
"ark:/21198/z1fr1pm7","ark:/21198/z1sn260t","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0005_0009.tif","Page","Page 9","9","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn260t",""
"ark:/21198/z1fr1pm7","ark:/21198/z1nw1f83","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0005_0010.tif","Page","Page 10","10","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw1f83",""
"ark:/21198/z1fr1pm7","ark:/21198/z1j40pmk","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0005_0011.tif","Page","Page 11","11","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j40pmk",""
"ark:/21198/z1fr1pm7","ark:/21198/z1db9xz6","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0005_0012.tif","Page","Page 12","12","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db9xz6",""
"ark:/21198/z1fr1pm7","ark:/21198/z18k965c","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0005_0013.tif","Page","Page 13","13","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18k965c",""
"ark:/21198/z1fr1pm7","ark:/21198/z14t8ffn","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0005_0014.tif","Page","Page 14","14","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t8ffn",""
"ark:/21198/z1fr1pm7","ark:/21198/z1127pps","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_kq0005_0015.tif","Page","Page 15","15","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1127pps",""
