"Parent ARK","Item ARK","File Name","Object Type","Title","Item Sequence","Bucketeer State","Thumbmail","IIIF Access URL","IIIF Manifest URL"
"ark:/21198/z1pk2875","ark:/21198/z19k677v","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0034_0001.tif","Page","Page 1","1","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k677v",""
"ark:/21198/z1pk2875","ark:/21198/z15t5gjk","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0034_0002.tif","Page","Page 2","2","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t5gjk",""
"ark:/21198/z1pk2875","ark:/21198/z1224qr8","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0034_0003.tif","Page","Page 3","3","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1224qr8",""
"ark:/21198/z1pk2875","ark:/21198/z1x9477x","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0034_0004.tif","Page","Page 4","4","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x9477x",""
"ark:/21198/z1pk2875","ark:/21198/z1sj3gjn","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0034_0005.tif","Page","Page 5","5","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj3gjn",""
"ark:/21198/z1pk2875","ark:/21198/z1ns2qx8","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0034_0006.tif","Page","Page 6","6","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns2qx8",""
"ark:/21198/z1pk2875","ark:/21198/z1j40pgs","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0034_0007.tif","Page","Page 7","7","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j40pgs",""
"ark:/21198/z1pk2875","ark:/21198/z1db9xvv","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0034_0008.tif","Page","Page 8","8","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db9xvv",""
"ark:/21198/z1pk2875","ark:/21198/z18k963g","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0034_0009.tif","Page","Page 9","9","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18k963g",""
"ark:/21198/z1pk2875","ark:/21198/z14t8fcr","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0034_0010.tif","Page","Page 10","10","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t8fcr",""
"ark:/21198/z1pk2875","ark:/21198/z1127pkf","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0034_0011.tif","Page","Page 11","11","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1127pkf",""
"ark:/21198/z1pk2875","ark:/21198/z1w97640","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0034_0012.tif","Page","Page 12","12","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w97640",""
"ark:/21198/z1pk2875","ark:/21198/z1rj6fg5","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0034_0013.tif","Page","Page 13","13","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rj6fg5",""
"ark:/21198/z1pk2875","ark:/21198/z1mw4d38","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0034_0014.tif","Page","Page 14","14","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw4d38",""
"ark:/21198/z1pk2875","ark:/21198/z1h43ng6","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0034_0015.tif","Page","Page 15","15","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h43ng6",""
