"Parent ARK","Item ARK","File Name","Object Type","Title","Item Sequence","Bucketeer State","Thumbmail","IIIF Access URL","IIIF Manifest URL"
"ark:/21198/z1q54gpd","ark:/21198/z14x7522","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0001.tif","Page","Page 1","1","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x7522",""
"ark:/21198/z1q54gpd","ark:/21198/z1156dbn","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0002.tif","Page","Page 2","2","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1156dbn",""
"ark:/21198/z1q54gpd","ark:/21198/z1wd5ws2","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0003.tif","Page","Page 3","3","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd5ws2",""
"ark:/21198/z1q54gpd","ark:/21198/z1rn551p","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0004.tif","Page","Page 4","4","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn551p",""
"ark:/21198/z1q54gpd","ark:/21198/z1mw4dcv","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0005.tif","Page","Page 5","5","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw4dcv",""
"ark:/21198/z1q54gpd","ark:/21198/z1h72c1q","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0006.tif","Page","Page 6","6","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h72c1q",""
"ark:/21198/z1q54gpd","ark:/21198/z1cg1mcw","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0007.tif","Page","Page 7","7","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg1mcw",""
"ark:/21198/z1q54gpd","ark:/21198/z17q0vq2","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0008.tif","Page","Page 8","8","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q0vq2",""
"ark:/21198/z1q54gpd","ark:/21198/z13z03xt","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0009.tif","Page","Page 9","9","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13z03xt",""
"ark:/21198/z1q54gpd","ark:/21198/z1059c5t","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0010.tif","Page","Page 10","10","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1059c5t",""
"ark:/21198/z1q54gpd","ark:/21198/z1vd8vnp","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0011.tif","Page","Page 11","11","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd8vnp",""
"ark:/21198/z1q54gpd","ark:/21198/z1qn8413","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0012.tif","Page","Page 12","12","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qn8413",""
"ark:/21198/z1q54gpd","ark:/21198/z1m062n3","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_rs0011_0013.tif","Page","Page 13","13","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m062n3",""
