"Parent ARK","Item ARK","File Name","Object Type","Title","Item Sequence","Bucketeer State","Thumbmail","IIIF Access URL","IIIF Manifest URL"
"ark:/21198/z1rb8xmf","ark:/21198/z15f0ntj","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0049_0001.tif","Page","Page 1","1","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f0ntj",""
"ark:/21198/z1rb8xmf","ark:/21198/z11n9x27","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0049_0002.tif","Page","Page 2","2","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11n9x27",""
"ark:/21198/z1rb8xmf","ark:/21198/z1ww9dp8","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0049_0003.tif","Page","Page 3","3","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ww9dp8",""
"ark:/21198/z1rb8xmf","ark:/21198/z1s77c87","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0049_0004.tif","Page","Page 4","4","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s77c87",""
"ark:/21198/z1rb8xmf","ark:/21198/z1ng6mnv","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0049_0005.tif","Page","Page 5","5","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng6mnv",""
"ark:/21198/z1rb8xmf","ark:/21198/z1hq5vzk","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0049_0006.tif","Page","Page 6","6","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq5vzk",""
"ark:/21198/z1rb8xmf","ark:/21198/z1cz5466","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0049_0007.tif","Page","Page 7","7","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz5466",""
"ark:/21198/z1rb8xmf","ark:/21198/z1864cdw","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0049_0008.tif","Page","Page 8","8","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1864cdw",""
"ark:/21198/z1rb8xmf","ark:/21198/z14f3mp5","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0049_0009.tif","Page","Page 9","9","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f3mp5",""
"ark:/21198/z1rb8xmf","ark:/21198/z10p2w1r","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0049_0010.tif","Page","Page 10","10","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p2w1r",""
