"Parent ARK","Item ARK","File Name","Object Type","Title","Item Sequence","Bucketeer State","Thumbmail","IIIF Access URL","IIIF Manifest URL"
"ark:/21198/z1tm945v","ark:/21198/z1806z98","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0017_0001.tif","Page","Page 1","1","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1806z98",""
"ark:/21198/z1tm945v","ark:/21198/z14766jg","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0017_0002.tif","Page","Page 2","2","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14766jg",""
"ark:/21198/z1tm945v","ark:/21198/z10k458x","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0017_0003.tif","Page","Page 3","3","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k458x",""
"ark:/21198/z1tm945v","ark:/21198/z1vt3nrs","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0017_0004.tif","Page","Page 4","4","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt3nrs",""
"ark:/21198/z1tm945v","ark:/21198/z1r22x0b","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0017_0005.tif","Page","Page 5","5","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r22x0b",""
"ark:/21198/z1tm945v","ark:/21198/z1m92580","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0017_0006.tif","Page","Page 6","6","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m92580",""
"ark:/21198/z1tm945v","ark:/21198/z1gj1dm5","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0017_0007.tif","Page","Page 7","7","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj1dm5",""
"ark:/21198/z1tm945v","ark:/21198/z1bs0ntj","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0017_0008.tif","Page","Page 8","8","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs0ntj",""
"ark:/21198/z1tm945v","ark:/21198/z1709x30","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0017_0009.tif","Page","Page 9","9","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1709x30",""
"ark:/21198/z1tm945v","ark:/21198/z13b7vvg","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0017_0010.tif","Page","Page 10","10","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b7vvg",""
"ark:/21198/z1tm945v","ark:/21198/z1zk7cck","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0017_0011.tif","Page","Page 11","11","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk7cck",""
"ark:/21198/z1tm945v","ark:/21198/z1tt6mkz","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0017_0012.tif","Page","Page 12","12","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tt6mkz",""
"ark:/21198/z1tm945v","ark:/21198/z1q25vw0","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0017_0013.tif","Page","Page 13","13","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q25vw0",""
"ark:/21198/z1tm945v","ark:/21198/z1k9546h","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0017_0014.tif","Page","Page 14","14","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k9546h",""
"ark:/21198/z1tm945v","ark:/21198/z1fj4cgs","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0017_0015.tif","Page","Page 15","15","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj4cgs",""
"ark:/21198/z1tm945v","ark:/21198/z19s3mp5","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0017_0016.tif","Page","Page 16","16","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s3mp5",""
"ark:/21198/z1tm945v","ark:/21198/z1641kdx","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0017_0017.tif","Page","Page 17","17","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1641kdx",""
"ark:/21198/z1tm945v","ark:/21198/z12c0tp6","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0017_0018.tif","Page","Page 18","18","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12c0tp6",""
"ark:/21198/z1tm945v","ark:/21198/z1xm0b5v","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_cicz0017_0019.tif","Page","Page 19","19","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm0b5v",""
