"Parent ARK","Item ARK","File Name","Object Type","Title","Item Sequence","Bucketeer State","Thumbmail","IIIF Access URL","IIIF Manifest URL"
"ark:/21198/z1wt0m7t","ark:/21198/z1p868z0","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0001.tif","Page","Page 1","1","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p868z0",""
"ark:/21198/z1wt0m7t","ark:/21198/z1jh5j67","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0002.tif","Page","Page 2","2","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh5j67",""
"ark:/21198/z1wt0m7t","ark:/21198/z1dv3gx8","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0003.tif","Page","Page 3","3","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv3gx8",""
"ark:/21198/z1wt0m7t","ark:/21198/z1932r68","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0004.tif","Page","Page 4","4","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1932r68",""
"ark:/21198/z1wt0m7t","ark:/21198/z15b20hc","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0005.tif","Page","Page 5","5","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15b20hc",""
"ark:/21198/z1wt0m7t","ark:/21198/z11k17vj","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0006.tif","Page","Page 6","6","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k17vj",""
"ark:/21198/z1wt0m7t","ark:/21198/z1wt0r9c","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0007.tif","Page","Page 7","7","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0r9c",""
"ark:/21198/z1wt0m7t","ark:/21198/z1s200kb","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0008.tif","Page","Page 8","8","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s200kb",""
"ark:/21198/z1wt0m7t","ark:/21198/z1nc7z9v","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0009.tif","Page","Page 9","9","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc7z9v",""
"ark:/21198/z1wt0m7t","ark:/21198/z1hm76hm","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0010.tif","Page","Page 10","10","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm76hm",""
"ark:/21198/z1wt0m7t","ark:/21198/z1cv6fsw","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0011.tif","Page","Page 11","11","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv6fsw",""
"ark:/21198/z1wt0m7t","ark:/21198/z1835q3b","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0012.tif","Page","Page 12","12","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1835q3b",""
"ark:/21198/z1wt0m7t","ark:/21198/z14b4zd2","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0013.tif","Page","Page 13","13","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b4zd2",""
"ark:/21198/z1wt0m7t","ark:/21198/z10k46pq","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0014.tif","Page","Page 14","14","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k46pq",""
"ark:/21198/z1wt0m7t","ark:/21198/z1vt3q50","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0015.tif","Page","Page 15","15","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt3q50",""
"ark:/21198/z1wt0m7t","ark:/21198/z1r51ntf","Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ab0052_0016.tif","Page","Page 16","16","succeeded","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r51ntf",""
