Object Type,Item ARK,Parent ARK,File name,local ID,Title,Creator,Contributor,Publisher,Publisher.place,volume/year,issue,Date.created,Date.created (single),Language | code,TypeOfResource,Genre,Extent,Medium,Insitution/Repository,collection name,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Abstract,Subject.topic
Work,ark:/21198/z18w5dsh,ark:/21198/z1jd6x7k,ias_meap_1971_h_0001.pdf,ias_meap_1971_h_0001,Atoka: Farioro,West African Book Publishers Limited,Akin Ogungbe ati awon elere re (and his theatre company),West African Book Publishers Limited,Lagos,vol. 29,no. 4; series 81,1971,1971,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay drama about a man who hurts his friends and neighbours.,"Nigeria, Southern| Periodicals| Performing arts| Drama| Fiction"
Work,ark:/21198/z1544p12,ark:/21198/z1jd6x7k,ias_meap_1971_h_0002.pdf,ias_meap_1971_h_0002,Atoka: Farioro,West African Book Publishers Limited,Akin Ogungbe ati awon elere re (and his theatre company),West African Book Publishers Limited,Lagos,vol. 29,no. 2; series 79,1971,1971,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay drama about a man who hurts his friends and neighbours.,"Nigeria, Southern| Periodicals| Performing arts| Drama| Fiction"
Work,ark:/21198/z11g2mqn,ark:/21198/z1jd6x7k,ias_meap_1971_h_0003.pdf,ias_meap_1971_h_0003,Atoka: Esu Odara,West African Book Publishers Limited,Kola Ogunmola ati awon elere re (and his theatre company),West African Book Publishers Limited,Lagos,vol. 30,no. 1; series 82,1971,1971,yor,text,newspapers,37 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,"Atoka: Yoruba photoplay drama pitting two Yoruba deities, Olodumare (Supreme Divinity) and Esu (god of ambivalence), against each other.","Nigeria, Southern|Periodicals|Performing arts|Drama| Fiction"
Work,ark:/21198/z1wq247r,ark:/21198/z1jd6x7k,ias_meap_1971_h_0004.pdf,ias_meap_1971_h_0004,Atoka: Farioro,West African Book Publishers Limited,Akin Ogungbe ati awon elere re (and his theatre company),West African Book Publishers Limited,Lagos,vol. 29,no. 3; series 80,1971,1971,yor,text,newspapers,37 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay drama about a man who hurts his friends and neighbours.,"Nigeria, Southern| Periodicals| Performing arts| Drama| Fiction"
Work,ark:/21198/z1rz1cgk,ark:/21198/z1jd6x7k,ias_meap_1971_h_0005.pdf,ias_meap_1971_h_0005,Atoka: Esu Odara,West African Book Publishers Limited,Kola Ogunmola ati awon elere re (and his theatre company),West African Book Publishers Limited,Lagos,vol. 30,no. 2; series 83,1971,1971,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,"Atoka: Yoruba photoplay drama pitting two Yoruba deities, Olodumare (Supreme Divinity) and Esu (god of ambivalence), against each other.","Nigeria, Southern| Periodicals| Performing arts| Drama| Fiction"
Work,ark:/21198/z1n60mt2,ark:/21198/z1jd6x7k,ias_meap_1971_h_0006.pdf,ias_meap_1971_h_0006,Atoka: Esu Odara,West African Book Publishers Limited,Kola Ogunmola ati awon elere re (and his theatre company),West African Book Publishers Limited,Lagos,vol. 30,no. 3; series 84,1971,1971,yor,text,newspapers,37 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,"Atoka: Yoruba photoplay drama pitting two Yoruba deities, Olodumare (Supreme Divinity) and Esu (god of ambivalence), against each other.","Nigeria, Southern| Periodicals| Performing arts| Drama| Fiction"
Work,ark:/21198/z1hd9w4n,ark:/21198/z1jd6x7k,ias_meap_1971_h_0007.pdf,ias_meap_1971_h_0007,Atoka: Esu Odara,West African Book Publishers Limited,Kola Ogunmola ati awon elere re (and his theatre company),West African Book Publishers Limited,Lagos,vol. 30,no. 4; series 85,1971,1971,yor,text,newspapers,38 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,"Atoka: Yoruba photoplay drama pitting two Yoruba deities, Olodumare (Supreme Divinity) and Esu (god of ambivalence), against each other.","Nigeria, Southern| Periodicals| Performing arts| Drama| Fiction"
Work,ark:/21198/z1cn94cv,ark:/21198/z1jd6x7k,ias_meap_1971_h_0008.pdf,ias_meap_1971_h_0008,Atoka: Iku Jare Eda,West African Book Publishers Limited,Jimoh Aliu ati Egbe Freedom Travelling Theatre,West African Book Publishers Limited,Lagos,vol. 31,no. 1; series 86,1971,1971,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay drama about the inevitability of death.,"Nigeria, Southern| Periodicals| Performing arts| Drama| Fiction"
Work,ark:/21198/z17w8cmp,ark:/21198/z1jd6x7k,ias_meap_1971_h_0009.pdf,ias_meap_1971_h_0009,Atoka: Iku Jare Eda,West African Book Publishers Limited,Jimoh Aliu ati Egbe Freedom Travelling Theatre,West African Book Publishers Limited,Lagos,vol. 31,no. 2; series 87,1971,1971,yor,text,newspapers,34 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay drama about the inevitability of death.,"Nigeria, Southern| Periodicals| Performing arts| Drama| Fiction"
Work,ark:/21198/z1476bbf,ark:/21198/z1jd6x7k,ias_meap_1971_h_0010.pdf,ias_meap_1971_h_0010,Atoka: Iku Jare Eda,West African Book Publishers Limited,Jimoh Aliu ati Egbe Freedom Travelling Theatre,West African Book Publishers Limited,Lagos,vol. 31,no. 3; series 88,1971,1971,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay drama about the inevitability of death.,"Nigeria, Southern| Periodicals| Performing arts| Drama| Fiction"
Work,ark:/21198/z10g5kk8,ark:/21198/z1jd6x7k,ias_meap_1971_h_0011.pdf,ias_meap_1971_h_0011,Atoka: Basorun Gaa,West African Book Publishers Limited,Segun Olubukun ati awon elere re (and his theatre company),West African Book Publishers Limited,Lagos,vol. 32,no. 1; series 89,1971,1971,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,"Atoka: Yoruba photoplay drama set in ancient Oyo town, about a war general.","Nigeria, Southern| Periodicals| Performing arts| Drama| Fiction"
Work,ark:/21198/z1vq533c,ark:/21198/z1jd6x7k,ias_meap_1971_h_0012.pdf,ias_meap_1971_h_0012,Atoka: Basorun Gaa,West African Book Publishers Limited,Segun Olubukun ati awon elere re (and his theatre company),West African Book Publishers Limited,Lagos,vol. 32,no. 3; series 91,1971,1971,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,"Atoka: Yoruba photoplay drama set in ancient Oyo town, about a war general.","Nigeria, Southern| Periodicals| Performing arts| Drama| Fiction"
Work,ark:/21198/z1qz4bd3,ark:/21198/z1jd6x7k,ias_meap_1971_h_0013.pdf,ias_meap_1971_h_0013,Atoka: Basorun Gaa,West African Book Publishers Limited,Segun Olubukun ati awon elere re (and his theatre company),West African Book Publishers Limited,Lagos,vol. 32,no. 2; series 90,1971,1971,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,"Atoka: Yoruba photoplay drama set in ancient Oyo town, about a war general.","Nigeria, Southern| Periodicals| Performing arts| Drama| Fiction"
Work,ark:/21198/z1m63krk,ark:/21198/z1jd6x7k,ias_meap_1971_h_0014.pdf,ias_meap_1971_h_0014,Atoka: Awa Ara Wa,West African Book Publishers Limited,Adebayo Faleti ati awon elere re (and his theatre company),West African Book Publishers Limited,Lagos,vol. 33,no. 1; series 92,1971,1971,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay drama about robbery and murder. The resolution of the crime is closely observed through the omniscient perspective of a protagonist Christian priest.,"Nigeria, Southern| Periodicals| Performing arts| Drama| Fiction"
Work,ark:/21198/z1gf2tzz,ark:/21198/z1jd6x7k,ias_meap_1971_h_0029.pdf,ias_meap_1971_h_0029,Atoka: Farioro,West African Book Publishers Limited,Akin Ogungbe ati awon elere re (and his theatre company),West African Book Publishers Limited,Lagos,vol. 29,no. 1; series 78,June 1971,1971-06,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay drama about a man who hurts his friends and neighbours.,"Nigeria, Southern|Periodicals|Performing arts|Drama|Fiction"
