"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Original language title","Translated Title","Alternative title","Creator","Contributor","Publisher","Publisher.place","Date.created","Date.created (single)","Language | code","TypeOfResource","Genre","Extent","Dimensions","Insitution/Repository","collection name","collection number","box number","folder number","Rights.copyrightStatus","Rights.publicationStatus","Rights.servicesContact","Abstract | eng","Note.content","Subject.topic","Subject.temporal","Digital Collection Title","Latitude/longitude","Subject.place","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0001_0001.tif","Page","Page 1","1","ark:/21198/z18w5dsh","ark:/21198/z1qr6xnz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr6xnz",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0001_0002.tif","Page","Page 2","2","ark:/21198/z18w5dsh","ark:/21198/z1m065zc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m065zc",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0001_0003.tif","Page","Page 3","3","ark:/21198/z18w5dsh","ark:/21198/z1g75f9z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g75f9z",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0001_0004.tif","Page","Page 4","4","ark:/21198/z18w5dsh","ark:/21198/z1bk3cw6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk3cw6",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0001_0005.tif","Page","Page 5","5","ark:/21198/z18w5dsh","ark:/21198/z16t2n87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t2n87",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0001_0006.tif","Page","Page 6","6","ark:/21198/z18w5dsh","ark:/21198/z1321whc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1321whc",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0001_0007.tif","Page","Page 7","7","ark:/21198/z18w5dsh","ark:/21198/z1z91d01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z91d01",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0001_0008.tif","Page","Page 8","8","ark:/21198/z18w5dsh","ark:/21198/z1tj0n6d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj0n6d",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0001_0009.tif","Page","Page 9","9","ark:/21198/z18w5dsh","ark:/21198/z1pr9wg4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pr9wg4",""
"Masters/othermasters/MEAPibadansoundvision/images/ias_meap_1971_h_0001_0010.tif","Page","Page 10","10","ark:/21198/z18w5dsh","ark:/21198/z1k094vf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k094vf",""
