"Parent ARK","Item ARK","File Name","Object Type","Title","Item Sequence","Bucketeer State","IIIF Access URL"
"ark:/21198/z17q0r1v","ark:/21198/z17d4p4s","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0092.tif","Page","Page 92","92","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d4p4s"
"ark:/21198/z17q0r1v","ark:/21198/z13n3xcm","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0093.tif","Page","Page 93","93","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n3xcm"
"ark:/21198/z17q0r1v","ark:/21198/z1zw3dvv","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0094.tif","Page","Page 94","94","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zw3dvv"
"ark:/21198/z17q0r1v","ark:/21198/z1v71ckm","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0095.tif","Page","Page 95","95","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v71ckm"
"ark:/21198/z17q0r1v","ark:/21198/z1qg0mvw","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0096.tif","Page","Page 96","96","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qg0mvw"
"ark:/21198/z17q0r1v","ark:/21198/z1kp9w3k","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0097.tif","Page","Page 97","97","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kp9w3k"
"ark:/21198/z17q0r1v","ark:/21198/z1fx94f4","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0098.tif","Page","Page 98","98","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fx94f4"
"ark:/21198/z17q0r1v","ark:/21198/z1b58cqq","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0099.tif","Page","Page 99","99","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b58cqq"
"ark:/21198/z17q0r1v","ark:/21198/z16d7mzj","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0100.tif","Page","Page 100","100","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d7mzj"
"ark:/21198/z17q0r1v","ark:/21198/z12n6w6s","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0101.tif","Page","Page 101","101","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n6w6s"
"ark:/21198/z17q0r1v","ark:/21198/z1z05332","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0102.tif","Page","Page 102","102","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z05332"
"ark:/21198/z17q0r1v","ark:/21198/z1t74bcb","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0103.tif","Page","Page 103","103","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t74bcb"
"ark:/21198/z17q0r1v","ark:/21198/z1pg3knm","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0104.tif","Page","Page 104","104","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pg3knm"
"ark:/21198/z17q0r1v","ark:/21198/z1jq2tzb","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0105.tif","Page","Page 105","105","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq2tzb"
"ark:/21198/z17q0r1v","ark:/21198/z1dz2399","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0106.tif","Page","Page 106","106","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz2399"
"ark:/21198/z17q0r1v","ark:/21198/z1961bh0","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0107.tif","Page","Page 107","107","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1961bh0"
"ark:/21198/z17q0r1v","ark:/21198/z15f0ks8","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0108.tif","Page","Page 108","108","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f0ks8"
"ark:/21198/z17q0r1v","ark:/21198/z11r8jgq","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0109.tif","Page","Page 109","109","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8jgq"
"ark:/21198/z17q0r1v","ark:/21198/z1x081z8","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0110.tif","Page","Page 110","110","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x081z8"
"ark:/21198/z17q0r1v","ark:/21198/z1s7797z","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0111.tif","Page","Page 111","111","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s7797z"
"ark:/21198/z17q0r1v","ark:/21198/z1ng6jk4","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0112.tif","Page","Page 112","112","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng6jk4"
"ark:/21198/z17q0r1v","ark:/21198/z1hq5swv","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0113.tif","Page","Page 113","113","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq5swv"
"ark:/21198/z17q0r1v","ark:/21198/z1cz5231","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0114.tif","Page","Page 114","114","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz5231"
"ark:/21198/z17q0r1v","ark:/21198/z18649b5","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0115.tif","Page","Page 115","115","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18649b5"
"ark:/21198/z17q0r1v","ark:/21198/z14j282m","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0116.tif","Page","Page 116","116","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j282m"
"ark:/21198/z17q0r1v","ark:/21198/z10s1hbw","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0117.tif","Page","Page 117","117","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s1hbw"
"ark:/21198/z17q0r1v","ark:/21198/z1w110vw","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0118.tif","Page","Page 118","118","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w110vw"
"ark:/21198/z17q0r1v","ark:/21198/z1r8086g","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0119.tif","Page","Page 119","119","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r8086g"
"ark:/21198/z17q0r1v","ark:/21198/z1mg9hg6","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0120.tif","Page","Page 120","120","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mg9hg6"
"ark:/21198/z17q0r1v","ark:/21198/z1gq8rq1","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0121.tif","Page","Page 121","121","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq8rq1"
"ark:/21198/z17q0r1v","ark:/21198/z1bz80z7","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0122.tif","Page","Page 122","122","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz80z7"
"ark:/21198/z17q0r1v","ark:/21198/z1795zmq","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0123.tif","Page","Page 123","123","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1795zmq"
"ark:/21198/z17q0r1v","ark:/21198/z13j56wc","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0124.tif","Page","Page 124","124","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j56wc"
"ark:/21198/z17q0r1v","ark:/21198/z1zs4qfj","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0125.tif","Page","Page 125","125","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4qfj"
"ark:/21198/z17q0r1v","ark:/21198/z1v13zrk","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0126.tif","Page","Page 126","126","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13zrk"
"ark:/21198/z17q0r1v","ark:/21198/z1q83723","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0127.tif","Page","Page 127","127","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q83723"
"ark:/21198/z17q0r1v","ark:/21198/z1kh2g8g","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0128.tif","Page","Page 128","128","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh2g8g"
"ark:/21198/z17q0r1v","ark:/21198/z1fr1qjr","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0129.tif","Page","Page 129","129","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr1qjr"
"ark:/21198/z17q0r1v","ark:/21198/z1b29p62","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0130.tif","Page","Page 130","130","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b29p62"
"ark:/21198/z17q0r1v","ark:/21198/z1698xgb","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0131.tif","Page","Page 131","131","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1698xgb"
"ark:/21198/z17q0r1v","ark:/21198/z12j85r0","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0132.tif","Page","Page 132","132","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j85r0"
"ark:/21198/z17q0r1v","ark:/21198/z1xs7pbm","Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0042_contacorrente_fazenda_1911_1915_0133.tif","Page","Page 133","133","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs7pbm"
