Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence
ark:/21198/z1hm72sj,ark:/21198/z17w86z3,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0144_diario_borrador_1950_0237.tif,Page,Page 237,237
ark:/21198/z1cv6b27,ark:/21198/z1447g8j,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0001.tif,Page,Page 1,1
ark:/21198/z1cv6b27,ark:/21198/z10c6qmq,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0002.tif,Page,Page 2,2
ark:/21198/z1cv6b27,ark:/21198/z1vq4xfd,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0003.tif,Page,Page 3,3
ark:/21198/z1cv6b27,ark:/21198/z1qz45sz,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0004.tif,Page,Page 4,4
ark:/21198/z1cv6b27,ark:/21198/z1m63f4v,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0005.tif,Page,Page 5,5
ark:/21198/z1cv6b27,ark:/21198/z1gf2pb7,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0006.tif,Page,Page 6,6
ark:/21198/z1cv6b27,ark:/21198/z1bp1xk2,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0007.tif,Page,Page 7,7
ark:/21198/z1cv6b27,ark:/21198/z16x15vq,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0008.tif,Page,Page 8,8
ark:/21198/z1cv6b27,ark:/21198/z1350f6m,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0009.tif,Page,Page 9,9
ark:/21198/z1cv6b27,ark:/21198/z1zg8n1r,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0010.tif,Page,Page 10,10
ark:/21198/z1cv6b27,ark:/21198/z1tq7wdc,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0011.tif,Page,Page 11,11
ark:/21198/z1cv6b27,ark:/21198/z1pz74p1,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0012.tif,Page,Page 12,12
ark:/21198/z1cv6b27,ark:/21198/z1k66cx5,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0013.tif,Page,Page 13,13
ark:/21198/z1cv6b27,ark:/21198/z1ff5n4z,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0014.tif,Page,Page 14,14
ark:/21198/z1cv6b27,ark:/21198/z19p4wfp,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0015.tif,Page,Page 15,15
ark:/21198/z1cv6b27,ark:/21198/z1612v3j,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0016.tif,Page,Page 16,16
ark:/21198/z1cv6b27,ark:/21198/z12823dn,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0017.tif,Page,Page 17,17
ark:/21198/z1cv6b27,ark:/21198/z1xh1m1q,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0018.tif,Page,Page 18,18
ark:/21198/z1cv6b27,ark:/21198/z1sr0v90,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0019.tif,Page,Page 19,19
ark:/21198/z1cv6b27,ark:/21198/z1p003h2,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0020.tif,Page,Page 20,20
ark:/21198/z1cv6b27,ark:/21198/z1j69bqw,Masters/othermasters/MEAPmigration/ibicabafarmrecords/images/ibicaba_0145_custeio_1950_1953_0021.tif,Page,Page 21,21
