"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL"
"Masters/othermasters/MEAPmemoria-abierta/batch01/images/ar_serpaj_h_spjal_ci_0001/ar_serpaj_h_spjal_ci_0001_0001.tif","Page","Page 1","1","ark:/21198/z1zw43c7","ark:/21198/z1p00rgg","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p00rgg"
"Masters/othermasters/MEAPmemoria-abierta/batch01/images/ar_serpaj_h_spjal_ci_0001/ar_serpaj_h_spjal_ci_0001_0002.tif","Page","Page 2","2","ark:/21198/z1zw43c7","ark:/21198/z1dj7zf6","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj7zf6"
"Masters/othermasters/MEAPmemoria-abierta/batch01/images/ar_serpaj_h_spjal_ci_0001/ar_serpaj_h_spjal_ci_0001_0003.tif","Page","Page 3","3","ark:/21198/z1zw43c7","ark:/21198/z1516fz0","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1516fz0"
"Masters/othermasters/MEAPmemoria-abierta/batch01/images/ar_serpaj_h_spjal_ci_0001/ar_serpaj_h_spjal_ci_0001_0004.tif","Page","Page 4","4","ark:/21198/z1zw43c7","ark:/21198/z1wh56st","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wh56st"
"Masters/othermasters/MEAPmemoria-abierta/batch01/images/ar_serpaj_h_spjal_ci_0002/ar_serpaj_h_spjal_ci_0002_0001.tif","Page","Page 1","1","ark:/21198/z1v43bmc","ark:/21198/z1n32dqz","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n32dqz"
"Masters/othermasters/MEAPmemoria-abierta/batch01/images/ar_serpaj_h_spjal_ci_0002/ar_serpaj_h_spjal_ci_0002_0002.tif","Page","Page 2","2","ark:/21198/z1v43bmc","ark:/21198/z1ck0x7g","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck0x7g"
"Masters/othermasters/MEAPmemoria-abierta/batch01/images/ar_serpaj_h_spjal_ci_0002/ar_serpaj_h_spjal_ci_0002_0003.tif","Page","Page 3","3","ark:/21198/z1v43bmc","ark:/21198/z1419dtm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1419dtm"
"Masters/othermasters/MEAPmemoria-abierta/batch01/images/ar_serpaj_h_spjal_ci_0002/ar_serpaj_h_spjal_ci_0002_0004.tif","Page","Page 4","4","ark:/21198/z1v43bmc","ark:/21198/z1vh85nf","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vh85nf"
"Masters/othermasters/MEAPmemoria-abierta/batch01/images/ar_serpaj_h_spjal_ci_0002/ar_serpaj_h_spjal_ci_0002_0005.tif","Page","Page 5","5","ark:/21198/z1v43bmc","ark:/21198/z1m35ckk","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m35ckk"
"Masters/othermasters/MEAPmemoria-abierta/batch01/images/ar_serpaj_h_spjal_ci_0002/ar_serpaj_h_spjal_ci_0002_0006.tif","Page","Page 6","6","ark:/21198/z1v43bmc","ark:/21198/z1bk3w33","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk3w33"
