"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Subject","Name.repository","Name.creator","Title","Relation.rectoVerso","Date.creation","Relation.isPartOf","Alt ID.local","AltTitle.uniform","Description.note","Format.dimensions","Relation.textDirection","Description.abstract","Coverage.geographic","Relation.leafNumber","Date.normalized","Publisher.placeOfOrigin","Format.medium","Publisher.publisherName","Format.extent","Relation.pageNumber","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzpz4","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzpz4-1-master.tif","1","","","","","","","","","","pd","","","","","Coll. 170. Ms. 677. Page 1","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzpz4",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzq04","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzq04-1-master.tif","2","","","","","","","","","","pd","","","","","Coll. 170. Ms. 677. Page 2","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzq04",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzq1n","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzq1n-1-master.tif","3","","","","","","","","","","pd","","","","","Coll. 170. Ms. 677. Page 3","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzq1n",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzq25","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzq25-1-master.tif","4","","","","","","","","","","pd","","","","","Coll. 170. Ms. 677. Page 4","v","","","","","","","","f. ii, Upper part of a fifteenth century document in Dutch, used as a fly leaf, settling an inheritance in Hoorn, North Holland. With names Jan Pieter, Jan Gerbrant, and Claes.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzq25",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzq3p","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzq3p-1-master.tif","5","","","","","","","","","","pd","","","","","Coll. 170. Ms. 677. Page 5","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzq3p",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzq46","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzq46-1-master.tif","6","","","","","","","","","","pd","","","","","Coll. 170. Ms. 677. Page 6","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzq46",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzq5q","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzq5q-1-master.tif","7","","","","","","","","","","pd","","","","","Coll. 170. Ms. 677. Page 7","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzq5q",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzq67","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzq67-1-master.tif","8","","","","","","","","","","pd","","","","","Coll. 170. Ms. 677. Page 8","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzq67",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzq7r","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzq7r-1-master.tif","9","","","","","","","","","","pd","","","","","Coll. 170. Ms. 677. Page 9","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzq7r",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzq88","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzq88-1-master.tif","10","","","","","","","","","","pd","","","","","Coll. 170. Ms. 677. Page 10","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzq88",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000rzq9s","ark:/21198/zz000rzpxm","2","Completed","Page","medren/masters/21198-zz000rzq9s-1-master.tif","11","","","","","","","","","","pd","","","","","Coll. 170. Ms. 677. Page 11","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rzq9s",""
