"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Subject","Name.repository","Name.creator","Title","Relation.rectoVerso","Date.creation","Relation.isPartOf","Alt ID.local","AltTitle.uniform","Description.note","Format.dimensions","Relation.textDirection","Description.abstract","Coverage.geographic","Relation.leafNumber","Date.normalized","Publisher.placeOfOrigin","Format.medium","Publisher.publisherName","Format.extent","Relation.pageNumber","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0t6j","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0t6j-1-master.tif","1","","","","","","","","","","pd","","","","","1","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0t6j",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0t72","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0t72-1-master.tif","2","","","","","","","","","","pd","","","","","2","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0t72",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0t8k","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0t8k-1-master.tif","3","","","","","","","","","","pd","","","","","3","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0t8k",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0t93","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0t93-1-master.tif","4","","","","","","","","","","pd","","","","","4","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0t93",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0tbm","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0tbm-1-master.tif","5","","","","","","","","","","pd","","","","","5","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0tbm",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0tc4","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0tc4-1-master.tif","6","","","","","","","","","","pd","","","","","6","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0tc4",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0tdn","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0tdn-1-master.tif","7","","","","","","","","","","pd","","","","","7","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0tdn",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0tf5","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0tf5-1-master.tif","8","","","","","","","","","","pd","","","","","8","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0tf5",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0tgp","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0tgp-1-master.tif","9","","","","","","","","","","pd","","","","","9","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0tgp",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s0th6","ark:/21198/zz000s0t51","2","Completed","Page","medren/masters/21198-zz000s0th6-1-master.tif","10","","","","","","","","","","pd","","","","","10","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s0th6",""
