"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Subject","Name.repository","Name.creator","Title","Relation.rectoVerso","Date.creation","Relation.isPartOf","Alt ID.local","AltTitle.uniform","Description.note","Format.dimensions","Relation.textDirection","Description.abstract","Coverage.geographic","Relation.leafNumber","Date.normalized","Publisher.placeOfOrigin","Format.medium","Publisher.publisherName","Format.extent","Relation.pageNumber","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9928","ark:/21198/zz000s991r","2","Completed","Page","medren/masters/21198-zz000s9928-1-master.tif","1","","","","","","","","","","pd","","","","","1","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9928",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s993s","ark:/21198/zz000s991r","2","Completed","Page","medren/masters/21198-zz000s993s-1-master.tif","2","","","","","","","","","","pd","","","","","2","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s993s",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9949","ark:/21198/zz000s991r","2","Completed","Page","medren/masters/21198-zz000s9949-1-master.tif","3","","","","","","","","","","pd","","","","","3","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9949",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s995t","ark:/21198/zz000s991r","2","Completed","Page","medren/masters/21198-zz000s995t-1-master.tif","4","","","","","","","","","","pd","","","","","4","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s995t",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s996b","ark:/21198/zz000s991r","2","Completed","Page","medren/masters/21198-zz000s996b-1-master.tif","5","","","","","","","","","","pd","","","","","5","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s996b",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s997v","ark:/21198/zz000s991r","2","Completed","Page","medren/masters/21198-zz000s997v-1-master.tif","6","","","","","","","","","","pd","","","","","6","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s997v",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s998c","ark:/21198/zz000s991r","2","Completed","Page","medren/masters/21198-zz000s998c-1-master.tif","7","","","","","","","","","","pd","","","","","7","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s998c",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s999w","ark:/21198/zz000s991r","2","Completed","Page","medren/masters/21198-zz000s999w-1-master.tif","8","","","","","","","","","","pd","","","","","8","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s999w",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s99bd","ark:/21198/zz000s991r","2","Completed","Page","medren/masters/21198-zz000s99bd-1-master.tif","9","","","","","","","","","","pd","","","","","9","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s99bd",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s99cx","ark:/21198/zz000s991r","2","Completed","Page","medren/masters/21198-zz000s99cx-1-master.tif","10","","","","","","","","","","pd","","","","","10","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s99cx",""
