"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Subject","Name.repository","Name.creator","Title","Relation.rectoVerso","Date.creation","Relation.isPartOf","Alt ID.local","AltTitle.uniform","Description.note","Format.dimensions","Relation.textDirection","Description.abstract","Coverage.geographic","Relation.leafNumber","Date.normalized","Publisher.placeOfOrigin","Format.medium","Publisher.publisherName","Format.extent","Relation.pageNumber","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9q43","ark:/21198/zz000s9q3k","2","Completed","Page","medren/masters/21198-zz000s9q43-1-master.tif","1","","","","","","","","","","pd","","","","","1","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9q43",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9q5m","ark:/21198/zz000s9q3k","2","Completed","Page","medren/masters/21198-zz000s9q5m-1-master.tif","2","","","","","","","","","","pd","","","","","2","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9q5m",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9q64","ark:/21198/zz000s9q3k","2","Completed","Page","medren/masters/21198-zz000s9q64-1-master.tif","3","","","","","","","","","","pd","","","","","3","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9q64",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9q7n","ark:/21198/zz000s9q3k","2","Completed","Page","medren/masters/21198-zz000s9q7n-1-master.tif","4","","","","","","","","","","pd","","","","","4","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9q7n",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9q85","ark:/21198/zz000s9q3k","2","Completed","Page","medren/masters/21198-zz000s9q85-1-master.tif","5","","","","","","","","","","pd","","","","","5","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9q85",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9q9p","ark:/21198/zz000s9q3k","2","Completed","Page","medren/masters/21198-zz000s9q9p-1-master.tif","6","","","","","","","","","","pd","","","","","6","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9q9p",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9qb6","ark:/21198/zz000s9q3k","2","Completed","Page","medren/masters/21198-zz000s9qb6-1-master.tif","7","","","","","","","","","","pd","","","","","7","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9qb6",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9qcq","ark:/21198/zz000s9q3k","2","Completed","Page","medren/masters/21198-zz000s9qcq-1-master.tif","8","","","","","","","","","","pd","","","","","8","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9qcq",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9qd7","ark:/21198/zz000s9q3k","2","Completed","Page","medren/masters/21198-zz000s9qd7-1-master.tif","9","","","","","","","","","","pd","","","","","9","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9qd7",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9qfr","ark:/21198/zz000s9q3k","2","Completed","Page","medren/masters/21198-zz000s9qfr-1-master.tif","10","","","","","","","","","","pd","","","","","10","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9qfr",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9qg8","ark:/21198/zz000s9q3k","2","Completed","Page","medren/masters/21198-zz000s9qg8-1-master.tif","11","","","","","","","","","","pd","","","","","11","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9qg8",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9qhs","ark:/21198/zz000s9q3k","2","Completed","Page","medren/masters/21198-zz000s9qhs-1-master.tif","12","","","","","","","","","","pd","","","","","12","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9qhs",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9qj9","ark:/21198/zz000s9q3k","2","Completed","Page","medren/masters/21198-zz000s9qj9-1-master.tif","13","","","","","","","","","","pd","","","","","13","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9qj9",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9qkt","ark:/21198/zz000s9q3k","2","Completed","Page","medren/masters/21198-zz000s9qkt-1-master.tif","14","","","","","","","","","","pd","","","","","14","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9qkt",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9qmb","ark:/21198/zz000s9q3k","2","Completed","Page","medren/masters/21198-zz000s9qmb-1-master.tif","15","","","","","","","","","","pd","","","","","15","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9qmb",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9qnv","ark:/21198/zz000s9q3k","2","Completed","Page","medren/masters/21198-zz000s9qnv-1-master.tif","16","","","","","","","","","","pd","","","","","16","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9qnv",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9qpc","ark:/21198/zz000s9q3k","2","Completed","Page","medren/masters/21198-zz000s9qpc-1-master.tif","17","","","","","","","","","","pd","","","","","17","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9qpc",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9qqw","ark:/21198/zz000s9q3k","2","Completed","Page","medren/masters/21198-zz000s9qqw-1-master.tif","18","","","","","","","","","","pd","","","","","18","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9qqw",""
