"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Subject","Name.repository","Name.creator","Title","Relation.rectoVerso","Date.creation","Relation.isPartOf","Alt ID.local","AltTitle.uniform","Description.note","Format.dimensions","Relation.textDirection","Description.abstract","Coverage.geographic","Relation.leafNumber","Date.normalized","Publisher.placeOfOrigin","Format.medium","Publisher.publisherName","Format.extent","Relation.pageNumber","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kndf5","ark:/21198/zz001hpdsk","10","Completed with minimal metadata","Page","","1","","","","","","","","","","pd","","","","","MS 62 Front Cover","","","","","","Image missing","","","","","","","","","","","","missing","",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001hpdt3","ark:/21198/zz001hpdsk","2","Completed","Page","medren/masters/21198-zz001hpdt3_1298697_master.tif","2","","","","","","","","","","pd","","","","","MS 62 Inside Coverboard","r","","","ms_62_0001","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpdt3",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001hpdvm","ark:/21198/zz001hpdsk","2","Completed","Page","medren/masters/21198-zz001hpdvm_1298700_master.tif","3","","","","","","","","","","pd","","","","","MS 62 Folio 1","r","","","ms_62_0002","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpdvm",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001hpdw4","ark:/21198/zz001hpdsk","2","Completed","Page","medren/masters/21198-zz001hpdw4_1298703_master.tif","4","","","","","","","","","","pd","","","","","MS 62 folio 1v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpdw4",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001hpdxn","ark:/21198/zz001hpdsk","2","Completed","Page","medren/masters/21198-zz001hpdxn_1298706_master.tif","5","","","","","","","","","","pd","","","","","MS 62 folio 2","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpdxn",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001hpdz5","ark:/21198/zz001hpdsk","2","Completed","Page","medren/masters/21198-zz001hpdz5_1298709_master.tif","6","","","","","","","","","","pd","","","","","MS 62 folio 2v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpdz5",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001hpf05","ark:/21198/zz001hpdsk","2","Completed","Page","medren/masters/21198-zz001hpf05_1298712_master.tif","7","","","","","","","","","","pd","","","","","MS 62 folio 3","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpf05",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kndgp","ark:/21198/zz001hpdsk","1","In progress","Page","","8","","","","","","","","","","","","","","","MS 62 folio 3v","","","","","","","","","","","","","","","","","","missing","",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kndh6","ark:/21198/zz001hpdsk","2","Completed","Page","","9","","","","","","","","","","pd","","","","","MS 62 folio 4","r","","","","","","","","","","","","","","","","","missing","",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001hpf1p","ark:/21198/zz001hpdsk","2","Completed","Page","medren/masters/21198-zz001hpf1p_1298715_master.tif","10","","","","","","","","","","pd","","","","","MS 62 folio 4v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hpf1p",""
