"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Subject","Name.repository","Name.creator","Title","Relation.rectoVerso","Date.creation","Relation.isPartOf","Alt ID.local","AltTitle.uniform","Description.note","Format.dimensions","Relation.textDirection","Description.abstract","Coverage.geographic","Relation.leafNumber","Date.normalized","Publisher.placeOfOrigin","Format.medium","Publisher.publisherName","Format.extent","Relation.pageNumber","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj13s","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj13s_1316697_master.tif","1","","","","","","","","","","pd","","","","","MS 81 folio 1","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj13s",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj149","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj149_1316700_master.tif","2","","","","","","","","","","pd","","","","","MS 81 folio 1v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj149",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj15t","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj15t_1316703_master.tif","3","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 2r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj15t",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj16b","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj16b_1316706_master.tif","4","","","","","","","","","","pd","","","","","2v","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj16b",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj17v","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj17v_1316709_master.tif","5","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 3r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj17v",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj18c","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj18c_1316712_master.tif","6","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 3v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj18c",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj19w","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj19w_1316737_master.tif","7","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 4r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj19w",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj1bd","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj1bd_1316742_master.tif","8","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 4v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj1bd",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj1cx","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj1cx_1316745_master.tif","9","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 5r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj1cx",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj1df","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj1df_1316748_master.tif","10","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 5v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj1df",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj1fz","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj1fz_1316751_master.tif","11","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 6r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj1fz",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj1gg","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj1gg_1316754_master.tif","12","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 6v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj1gg",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj1h0","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj1h0_1316757_master.tif","13","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 7r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj1h0",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj1jh","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj1jh_1316760_master.tif","14","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 7v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj1jh",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj1k1","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj1k1_1316763_master.tif","15","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 8r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj1k1",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj1mj","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj1mj_1316766_master.tif","16","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 8v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj1mj",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj1n2","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj1n2_1316769_master.tif","17","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 9r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj1n2",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj1pk","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj1pk_1316772_master.tif","18","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 9v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj1pk",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj1q3","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj1q3_1316775_master.tif","19","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 10r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj1q3",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj1rm","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj1rm_1316778_master.tif","20","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 10v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj1rm",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj1s4","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj1s4_1316864_master.tif","21","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 11r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj1s4",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj1tn","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj1tn_1316876_master.tif","22","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 11v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj1tn",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj1v5","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj1v5_1316881_master.tif","23","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 12r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj1v5",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj1wp","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj1wp_1316892_master.tif","24","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 12v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj1wp",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj1x6","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj1x6_1316900_master.tif","25","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 13r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj1x6",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj1zq","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj1zq_1316911_master.tif","26","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 13v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj1zq",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj20q","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj20q_1316922_master.tif","27","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 14r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj20q",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj217","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj217_1316935_master.tif","28","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 14v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj217",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj22r","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj22r_1435924_master.tif","29","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 15r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj22r",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj238","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj238_1316947_master.tif","30","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 15v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj238",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj24s","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj24s_1316952_master.tif","31","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 16r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj24s",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj259","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj259_1316957_master.tif","32","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 16v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj259",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj26t","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj26t_1316960_master.tif","33","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 17r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj26t",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj27b","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj27b_1316963_master.tif","34","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 17v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj27b",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj28v","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj28v_1316967_master.tif","35","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 18r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj28v",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj29c","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj29c_1316970_master.tif","36","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 18v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj29c",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj2bw","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj2bw_1316975_master.tif","37","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 19r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj2bw",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj2cd","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj2cd_1316980_master.tif","38","","","","","","","","","manuscripts (document genre)","pd","","","","","MS 81 folio 19v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj2cd",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj2dx","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj2dx_1316983_master.tif","39","","","","","","","","","","pd","","","","","MS 81 folio 20r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj2dx",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj2ff","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj2ff_1316991_master.tif","40","","","","","","","","","","pd","","","","","MS 81 folio 20v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj2ff",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj2gz","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj2gz_1316994_master.tif","41","","","","","","","","","","pd","","","","","MS 81 folio 21r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj2gz",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj2hg","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj2hg_1317000_master.tif","42","","","","","","","","","","pd","","","","","MS 81 folio 21v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj2hg",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj2j0","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj2j0_1317005_master.tif","43","","","","","","","","","","pd","","","","","MS 81 folio 22r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj2j0",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj2kh","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj2kh_1317009_master.tif","44","","","","","","","","","","pd","","","","","MS 81 folio 22v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj2kh",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj2m1","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj2m1_1317012_master.tif","45","","","","","","","","","","pd","","","","","MS 81 folio 23r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj2m1",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj2nj","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj2nj_1317018_master.tif","46","","","","","","","","","","pd","","","","","MS 81 folio 23v","v","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj2nj",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nj2p2","ark:/21198/zz001nj0j1","2","Completed","Page","medren/masters/21198-zz001nj2p2_1317021_master.tif","47","","","","","","","","","","pd","","","","","MS 81 folio 24r","r","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nj2p2",""
