"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Subject","Name.repository","Name.creator","Title","Relation.rectoVerso","Date.creation","Relation.isPartOf","Alt ID.local","AltTitle.uniform","Description.note","Format.dimensions","Relation.textDirection","Description.abstract","Coverage.geographic","Relation.leafNumber","Date.normalized","Publisher.placeOfOrigin","Format.medium","Publisher.publisherName","Format.extent","Relation.pageNumber","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kkmww","ark:/21198/zz001nwqjn","2","Completed","Page","","1","","","","","","","","","","","","","","","MS 11 front cover","","","","","","","","","","","","","","","","","","missing","",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nwrhm","ark:/21198/zz001nwqjn","2","Completed","Page","medren/masters/21198-zz001nwrhm_1453193_master.tif","2","","","","","","","","","","pd","","","","","MS 11 cover","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwrhm",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nwrj4","ark:/21198/zz001nwqjn","2","Completed","Page","medren/masters/21198-zz001nwrj4_1453199_master.tif","3","","","","","","","","","","pd","","","","","MS 11 inside cover","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwrj4",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nwrkn","ark:/21198/zz001nwqjn","2","Completed","Page","medren/masters/21198-zz001nwrkn_1453205_master.tif","4","","","","","","","","","","pd","","","","","MS 11 folio 1","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwrkn",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nwrm5","ark:/21198/zz001nwqjn","2","Completed","Page","medren/masters/21198-zz001nwrm5_1453208_master.tif","5","","","","","","","","","","pd","","","","","MS 11 folio 1v","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwrm5",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nwrnp","ark:/21198/zz001nwqjn","2","Completed","Page","medren/masters/21198-zz001nwrnp_1453211_master.tif","6","","","","","","","","","","pd","","","","","MS 11 folio 2","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwrnp",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nwrp6","ark:/21198/zz001nwqjn","2","Completed","Page","medren/masters/21198-zz001nwrp6_1453214_master.tif","7","","","","","","","","","","pd","","","","","MS 11 folio 2v","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwrp6",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nwrqq","ark:/21198/zz001nwqjn","2","Completed","Page","medren/masters/21198-zz001nwrqq_1453217_master.tif","8","","","","","","","","","","pd","","","","","MS 11 folio 3","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwrqq",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nwrr7","ark:/21198/zz001nwqjn","2","Completed","Page","medren/masters/21198-zz001nwrr7_1453220_master.tif","9","","","","","","","","","","pd","","","","","MS 11 folio 3v","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwrr7",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nwrsr","ark:/21198/zz001nwqjn","2","Completed","Page","medren/masters/21198-zz001nwrsr_1453223_master.tif","10","","","","","","","","","","pd","","","","","MS 11 folio 4","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwrsr",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz001nwrt8","ark:/21198/zz001nwqjn","2","Completed","Page","medren/masters/21198-zz001nwrt8_1453558_master.tif","11","","","","","","","","","","pd","","","","","MS 11 folio 4v","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwrt8",""
