"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Subject","Name.repository","Name.creator","Title","Relation.rectoVerso","Date.creation","Relation.isPartOf","Alt ID.local","AltTitle.uniform","Description.note","Format.dimensions","Relation.textDirection","Description.abstract","Coverage.geographic","Relation.leafNumber","Date.normalized","Publisher.placeOfOrigin","Format.medium","Publisher.publisherName","Format.extent","Relation.pageNumber","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdr67","ark:/21198/zz002kdr5q","2","Completed","Page","medren/masters/21198-zz002kdr67_2410600_master.tif","1","","","","","","","","","","","","","","","MS 9 folio 1","r","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdr67",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdr7r","ark:/21198/zz002kdr5q","2","Completed","Page","medren/masters/21198-zz002kdr7r_2410576_master.tif","2","","","","","","","","","","","","","","","MS 9 folio 1v","v","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdr7r",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdr88","ark:/21198/zz002kdr5q","2","Completed","Page","medren/masters/21198-zz002kdr88_2410654_master.tif","3","","","","","","","","","","","","","","","MS 9 folio 2","r","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdr88",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdr9s","ark:/21198/zz002kdr5q","2","Completed","Page","medren/masters/21198-zz002kdr9s_2410581_master.tif","4","","","","","","","","","","","","","","","MS 9 folio 2v","v","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdr9s",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdrb9","ark:/21198/zz002kdr5q","2","Completed","Page","medren/masters/21198-zz002kdrb9_2410606_master.tif","5","","","","","","","","","","","","","","","MS 9 folio 3","r","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdrb9",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdrct","ark:/21198/zz002kdr5q","2","Completed","Page","medren/masters/21198-zz002kdrct_2410584_master.tif","6","","","","","","","","","","","","","","","MS 9 folio 3v","v","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdrct",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdrdb","ark:/21198/zz002kdr5q","2","Completed","Page","medren/masters/21198-zz002kdrdb_2410587_master.tif","7","","","","","","","","","","","","","","","MS 9 folio 4","r","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdrdb",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdrfv","ark:/21198/zz002kdr5q","2","Completed","Page","medren/masters/21198-zz002kdrfv_2410590_master.tif","8","","","","","","","","","","","","","","","MS 9 folio 4v","v","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdrfv",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdrgc","ark:/21198/zz002kdr5q","10","Completed with minimal metadata","Page","medren/masters/21198-zz002kdrgc_2410597_master.tif","9","","","","","","","","","","","","","","","MS 9 folio 5","r","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdrgc",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdrhw","ark:/21198/zz002kdr5q","10","Completed with minimal metadata","Page","medren/masters/21198-zz002kdrhw_2410609_master.tif","10","","","","","","","","","","","","","","","MS 9 folio 5v","v","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdrhw",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdrjd","ark:/21198/zz002kdr5q","10","Completed with minimal metadata","Page","medren/masters/21198-zz002kdrjd_2410612_master.tif","11","","","","","","","","","","","","","","","MS 9 folio 6","r","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdrjd",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdrkx","ark:/21198/zz002kdr5q","10","Completed with minimal metadata","Page","medren/masters/21198-zz002kdrkx_2410615_master.tif","12","","","","","","","","","","","","","","","MS 9 folio 6v","v","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdrkx",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdrmf","ark:/21198/zz002kdr5q","10","Completed with minimal metadata","Page","medren/masters/21198-zz002kdrmf_2410618_master.tif","13","","","","","","","","","","","","","","","MS 9 folio 7","r","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdrmf",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdrnz","ark:/21198/zz002kdr5q","10","Completed with minimal metadata","Page","medren/masters/21198-zz002kdrnz_2410621_master.tif","14","","","","","","","","","","","","","","","MS 9 folio 7v","v","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdrnz",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdrpg","ark:/21198/zz002kdr5q","10","Completed with minimal metadata","Page","medren/masters/21198-zz002kdrpg_2410624_master.tif","15","","","","","","","","","","","","","","","MS 9 folio 8|~|Rouse Ms. 9. Page 15","r","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdrpg",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdrq0","ark:/21198/zz002kdr5q","10","Completed with minimal metadata","Page","medren/masters/21198-zz002kdrq0_2410627_master.tif","16","","","","","","","","","","","","","","","MS 9 folio 8v","v","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdrq0",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdrrh","ark:/21198/zz002kdr5q","10","Completed with minimal metadata","Page","medren/masters/21198-zz002kdrrh_2410630_master.tif","17","","","","","","","","","","","","","","","MS 9 folio 9","r","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdrrh",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdrs1","ark:/21198/zz002kdr5q","10","Completed with minimal metadata","Page","medren/masters/21198-zz002kdrs1_2410633_master.tif","18","","","","","","","","","","","","","","","MS 9 folio 9v","v","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdrs1",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdrtj","ark:/21198/zz002kdr5q","10","Completed with minimal metadata","Page","medren/masters/21198-zz002kdrtj_2410636_master.tif","19","","","","","","","","","","","","","","","MS 9 folio 10","r","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdrtj",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdrv2","ark:/21198/zz002kdr5q","10","Completed with minimal metadata","Page","medren/masters/21198-zz002kdrv2_2410639_master.tif","20","","","","","","","","","","","","","","","MS 3 folio 10v","v","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdrv2",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdrwk","ark:/21198/zz002kdr5q","10","Completed with minimal metadata","Page","medren/masters/21198-zz002kdrwk_2410642_master.tif","21","","","","","","","","","","","","","","","MS 9 folio 11","r","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdrwk",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdrx3","ark:/21198/zz002kdr5q","10","Completed with minimal metadata","Page","medren/masters/21198-zz002kdrx3_2410645_master.tif","22","","","","","","","","","","","","","","","MS 9 folio 11v|~|Rouse Ms. 9. Page 22","v","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdrx3",""
"Medieval and Renaissance Manuscripts","ark:/21198/zz002kdrzm","ark:/21198/zz002kdr5q","10","Completed with minimal metadata","Page","medren/masters/21198-zz002kdrzm_2410648_master.tif","23","","","","","","","","","","","","","","","MS 9 folio 12","r","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kdrzm",""
