Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,viewingHint,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.creatorCorporate,Subject,Name.subject,Language,Name.photographer,Name.interviewer,Name.creator,Name.interviewee,Name.contributor,Publisher.publisherName,Format.extent,Relation.isPartOf,Title,Date.creation,Description.abstract,Coverage.geographic,Description.tableOfContents,Coverage.temporal,AltTitle.uniform,Description.note,Source,Alt ID.local,Publisher.placeOfOrigin,Format.medium,Description.biographicalNote,Format.dimensions,Relation.relatedTo,Relation.hasPart,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Mental Health Archive,ark:/21198/z1030gq4,ark:/21198/zz001d3fv7,1,In progress,Page,neuropsych/masters/21198-zz001d3fv7-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030gq4,
Mental Health Archive,ark:/21198/z1059649,ark:/21198/zz001d3fs6,1,In progress,Page,neuropsych/masters/21198-zz001d3fs6-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1059649,
Mental Health Archive,ark:/21198/z105965r,ark:/21198/zz001d3jqm,1,In progress,Page,neuropsych/masters/21198-zz001d3jqm-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz105965r,
Mental Health Archive,ark:/21198/z10596jp,ark:/21198/zz001njn0x,1,In progress,Page,neuropsych/masters/21198-zz001njn0x-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10596jp,
Mental Health Archive,ark:/21198/z10596vq,ark:/21198/zz0026vrvb,1,In progress,Page,neuropsych/masters/21198-zz0026vrvb-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10596vq,
Mental Health Archive,ark:/21198/z1087wkp,ark:/21198/zz001d3gt6,1,In progress,Page,neuropsych/masters/21198-zz001d3gt6-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1087wkp,
Mental Health Archive,ark:/21198/z1087x1x,ark:/21198/zz001njnxw,1,In progress,Page,neuropsych/masters/21198-zz001njnxw-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1087x1x,
Mental Health Archive,ark:/21198/z10c6kzj,ark:/21198/zz001d3ff1,1,In progress,Page,neuropsych/masters/21198-zz001d3ff1-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c6kzj,
Mental Health Archive,ark:/21198/z10c6m1v,ark:/21198/zz001d3jdz,1,In progress,Page,neuropsych/masters/21198-zz001d3jdz-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c6m1v,
Mental Health Archive,ark:/21198/z10c6mt5,ark:/21198/zz002djjns,1,In progress,Page,neuropsych/masters/21198-zz002djjns-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c6mt5,
Mental Health Archive,ark:/21198/z10g59bt,ark:/21198/zz001d3j18,1,In progress,Page,neuropsych/masters/21198-zz001d3j18-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g59bt,
