Project Name,Item Ark,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,viewingHint,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.creatorCorporate,Subject,Name.subject,Language,Name.photographer,Name.interviewer,Name.creator,Name.interviewee,Name.contributor,Publisher.publisherName,Format.extent,Relation.isPartOf,Title,Date.creation,Description.abstract,Coverage.geographic,Description.tableOfContents,Coverage.temporal,AltTitle.uniform,Description.note,Source,Alt ID.local,Publisher.placeOfOrigin,Format.medium,Description.biographicalNote,Format.dimensions,Relation.relatedTo,Relation.hasPart
Mental Health Archive,ark:/21198/z1b870pc,ark:/21198/zz001njhb5,,,Page,neuropsych\masters\21198-zz001njhb5-1-master_002.tif,2,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z16h680h,ark:/21198/zz001njhb5,,,Page,neuropsych\masters\21198-zz001njhb5-1-master_003.tif,3,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z12r5h8s,ark:/21198/zz001njhcp,,,Page,neuropsych\masters\21198-zz001njhcp-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1z050pf,ark:/21198/zz001njhcp,,,Page,neuropsych\masters\21198-zz001njhcp-1-master_002.tif,2,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1t747zq,ark:/21198/zz001njhcp,,,Page,neuropsych\masters\21198-zz001njhcp-1-master_003.tif,3,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1pk26nq,ark:/21198/zz001njhcp,,,Page,neuropsych\masters\21198-zz001njhcp-1-master_004.tif,4,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1jt1fx0,ark:/21198/zz001njhcp,,,Page,neuropsych\masters\21198-zz001njhcp-1-master_005.tif,5,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1f20q7f,ark:/21198/zz001njhd6,,,Page,neuropsych\masters\21198-zz001njhd6-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1989zk2,ark:/21198/zz001njhd6,,,Page,neuropsych\masters\21198-zz001njhd6-1-master_002.tif,2,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z15h96t8,ark:/21198/zz001njhd6,,,Page,neuropsych\masters\21198-zz001njhd6-1-master_003.tif,3,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z11r8g2h,ark:/21198/zz001njhd6,,,Page,neuropsych\masters\21198-zz001njhd6-1-master_004.tif,4,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1x07zjp,ark:/21198/zz001njhd6,,,Page,neuropsych\masters\21198-zz001njhd6-1-master_005.tif,5,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1sb5x84,ark:/21198/zz001njhd6,,,Page,neuropsych\masters\21198-zz001njhd6-1-master_006.tif,6,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1nk55k7,ark:/21198/zz001njhd6,,,Page,neuropsych\masters\21198-zz001njhd6-1-master_007.tif,7,,,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1ht4dwz,ark:/21198/zz001njhd6,,,Page,neuropsych\masters\21198-zz001njhd6-1-master_008.tif,8,,,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1d23p6d,ark:/21198/zz001njhd6,,,Page,neuropsych\masters\21198-zz001njhd6-1-master_009.tif,9,,,,,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1892xgp,ark:/21198/zz001njhd6,,,Page,neuropsych\masters\21198-zz001njhd6-1-master_010.tif,10,,,,,,,,,,,,,,,,,,,,,Page 10,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z14j25n0,ark:/21198/zz001njhd6,,,Page,neuropsych\masters\21198-zz001njhd6-1-master_011.tif,11,,,,,,,,,,,,,,,,,,,,,Page 11,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z10s1dx8,ark:/21198/zz001njhd6,,,Page,neuropsych\masters\21198-zz001njhd6-1-master_012.tif,12,,,,,,,,,,,,,,,,,,,,,Page 12,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1w39mv2,ark:/21198/zz001njhd6,,,Page,neuropsych\masters\21198-zz001njhd6-1-master_013.tif,13,,,,,,,,,,,,,,,,,,,,,Page 13,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1rb8w4r,ark:/21198/zz001njhd6,,,Page,neuropsych\masters\21198-zz001njhd6-1-master_014.tif,14,,,,,,,,,,,,,,,,,,,,,Page 14,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1mk84fv,ark:/21198/zz001njhd6,,,Page,neuropsych\masters\21198-zz001njhd6-1-master_015.tif,15,,,,,,,,,,,,,,,,,,,,,Page 15,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1gt7crk,ark:/21198/zz001njhd6,,,Page,neuropsych\masters\21198-zz001njhd6-1-master_016.tif,16,,,,,,,,,,,,,,,,,,,,,Page 16,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1c26n1k,ark:/21198/zz001njhd6,,,Page,neuropsych\masters\21198-zz001njhd6-1-master_017.tif,17,,,,,,,,,,,,,,,,,,,,,Page 17,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1795w6h,ark:/21198/zz001njhd6,,,Page,neuropsych\masters\21198-zz001njhd6-1-master_018.tif,18,,,,,,,,,,,,,,,,,,,,,Page 18,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z13j54g5,ark:/21198/zz001njhfq,,,Page,neuropsych\masters\21198-zz001njhfq-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1zw3bfn,ark:/21198/zz001njhg7,,,Page,neuropsych\masters\21198-zz001njhg7-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1v42kq7,ark:/21198/zz001njhg7,,,Page,neuropsych\masters\21198-zz001njhg7-1-master_002.tif,2,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1qc1v1c,ark:/21198/zz001njhg7,,,Page,neuropsych\masters\21198-zz001njhg7-1-master_003.tif,3,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1km13cx,ark:/21198/zz001njhg7,,,Page,neuropsych\masters\21198-zz001njhg7-1-master_004.tif,4,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1fv0bk9,ark:/21198/zz001njhg7,,,Page,neuropsych\masters\21198-zz001njhg7-1-master_005.tif,5,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1b29ksf,ark:/21198/zz001njhg7,,,Page,neuropsych\masters\21198-zz001njhg7-1-master_006.tif,6,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1698v24,ark:/21198/zz001njhg7,,,Page,neuropsych\masters\21198-zz001njhg7-1-master_007.tif,7,,,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z12n6ss5,ark:/21198/zz001njhg7,,,Page,neuropsych\masters\21198-zz001njhg7-1-master_008.tif,8,,,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1xw69bq,ark:/21198/zz001njhg7,,,Page,neuropsych\masters\21198-zz001njhg7-1-master_009.tif,9,,,,,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1t45jnr,ark:/21198/zz001njhg7,,,Page,neuropsych\masters\21198-zz001njhg7-1-master_010.tif,10,,,,,,,,,,,,,,,,,,,,,Page 10,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1pc4szg,ark:/21198/zz001njhg7,,,Page,neuropsych\masters\21198-zz001njhg7-1-master_011.tif,11,,,,,,,,,,,,,,,,,,,,,Page 11,,,,,,,,,,,,,,,
