Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,viewingHint,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.creatorCorporate,Subject,Name.subject,Language,Name.photographer,Name.interviewer,Name.creator,Name.interviewee,Name.contributor,Publisher.publisherName,Format.extent,Relation.isPartOf,Title,Date.creation,Description.abstract,Coverage.geographic,Description.tableOfContents,Coverage.temporal,AltTitle.uniform,Description.note,Source,Alt ID.local,Publisher.placeOfOrigin,Format.medium,Description.biographicalNote,Format.dimensions,Relation.relatedTo,Relation.hasPart
Mental Health Archive,ark:/21198/z1001s4k,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_009.tif,9,,,,,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z10p2pzc,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_063.tif,63,,,,,,,,,,,,,,,,,,,,,Page 63,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z10s1d96,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_032.tif,32,,,,,,,,,,,,,,,,,,,,,Page 32,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z10z8t7n,ark:/21198/zz001d390c/3838j55z,,,Page,neuropsych\masters\21198-zz001d390c-4-master_002.tif,2,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z11g2b6m,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_086.tif,86,,,,,,,,,,,,,,,,,,,,,Page 86,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z11k11s5,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_055.tif,55,,,,,,,,,,,,,,,,,,,,,Page 55,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z11r8fgg,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_024.tif,24,,,,,,,,,,,,,,,,,,,,,Page 24,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z12f9cg7,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_078.tif,78,,,,,,,,,,,,,,,,,,,,,Page 78,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z12j82rr,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_047.tif,47,,,,,,,,,,,,,,,,,,,,,Page 47,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z12r5gpr,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_016.tif,16,,,,,,,,,,,,,,,,,,,,,Page 16,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z13f6dmm,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_070.tif,70,,,,,,,,,,,,,,,,,,,,,Page 70,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z13j53vp,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_039.tif,39,,,,,,,,,,,,,,,,,,,,,Page 39,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z13r2ht4,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_008.tif,8,,,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z14b4r97,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_062.tif,62,,,,,,,,,,,,,,,,,,,,,Page 62,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z14j252c,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_031.tif,31,,,,,,,,,,,,,,,,,,,,,Page 31,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z14n0vj6,ark:/21198/zz001d390c/3838j55z,,,Page,neuropsych\masters\21198-zz001d390c-4-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z157331p,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_085.tif,85,,,,,,,,,,,,,,,,,,,,,Page 85,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z15b1sd5,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_054.tif,54,,,,,,,,,,,,,,,,,,,,,Page 54,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z15h967n,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_023.tif,23,,,,,,,,,,,,,,,,,,,,,Page 23,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1670452,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_077.tif,77,,,,,,,,,,,,,,,,,,,,,Page 77,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1698tg3,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_046.tif,46,,,,,,,,,,,,,,,,,,,,,Page 46,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z16h67c1,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_015.tif,15,,,,,,,,,,,,,,,,,,,,,Page 15,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1738fw5,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_069.tif,69,,,,,,,,,,,,,,,,,,,,,Page 69,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1795vmg,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_038.tif,38,,,,,,,,,,,,,,,,,,,,,Page 38,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z17d4k4j,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_007.tif,7,,,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1835gzn,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_061.tif,61,,,,,,,,,,,,,,,,,,,,,Page 61,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1892wwn,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_030.tif,30,,,,,,,,,,,,,,,,,,,,,Page 30,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z18d1m5k,ark:/21198/zz001d390c/w170zn1m,,,Page,neuropsych\masters\21198-zz001d390c-3-master_001.tif,1,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1903tq5,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_084.tif,84,,,,,,,,,,,,,,,,,,,,,Page 84,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1932j3f,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_053.tif,53,,,,,,,,,,,,,,,,,,,,,Page 53,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z1989xzk,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_022.tif,22,,,,,,,,,,,,,,,,,,,,,Page 22,,,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/z19w25h6,ark:/21198/zz001d390c/hk77vz3k,,,Page,neuropsych\masters\21198-zz001d390c-5-master_076.tif,76,,,,,,,,,,,,,,,,,,,,,Page 76,,,,,,,,,,,,,,,
