Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Name.correspondent,Name.creator,Title,Alt ID.local,Relation.isPartOf,AltTitle.creator,AltTitle.descriptive,Date.creation,Alt ID.collection,Description.note,Publisher.placeOfOrigin,Coverage.geographic,Date.normalized,AltTitle.other,Format.medium,Bucketeer State,IIIF Access URL
Minasian Collection of Armenian Materials,ark:/21198/zz002gcp52,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0001.tif,1,,,,,text,unknown,arm,letters (correspondence),"Set Sami, Eghiazar|~|Abcar, Grigor",,Letters from Eghiazar Set Sami to Grigor Abcar : նամակներ Եղիազար Սէթ Սամիից Գրիգոր Աբգարին 1831,"UCLA LSC, Collection 1632, Box 1, Folder 1, 1|~|uclamss_1632_01_01_0001",Series 1. Correspondence : Նամակներ 1828-1962. Sub-series: Abcar Family : Աբգար ընտանիք 1831-1894,,,1831,,From Madras.,,,1831,նամակներ Եղիազար Սէթ Սամիից Գրիգոր Աբգարին,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcp52
Minasian Collection of Armenian Materials,ark:/21198/zz002gcp6k,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0001back.tif,2,,,,,text,unknown,arm,letters (correspondence),"Abcar, Grigor",,"UCLA LSC, Collection 1632, Box 1, Folder 1, 1 back",uclamss_1632_01_01_0001back,Series 1. Correspondence : Նամակներ 1828-1962. Sub-series: Abcar Family : Աբգար ընտանիք 1831-1894,Ghazar,,"August 12, 1831",,"Family letter. Greetings to family members and friends. The letter is from Madras, India now Chennai.",,Chennai (India),,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcp6k
Minasian Collection of Armenian Materials,ark:/21198/zz002gcp73,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0002.tif,3,,,,,text,unknown,arm,letters (correspondence),"Abcar, Grigor",,"UCLA LSC, Collection 1632, Box 1, Folder 1, 2",uclamss_1632_01_01_0002,Series 1. Correspondence : Նամակներ 1828-1962. Sub-series: Abcar Family : Աբգար ընտանիք 1831-1894,Eghiazar|~|Set'|~|Sami,,"October 22, 1831",,"This letter is by Eghiazar, Set', and Sami addressed to Grigor Abcar. It is a family letter asking after the family and congratulating Grigor on the birth of a new baby girl.",Isfahan (Iran),,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcp73
Minasian Collection of Armenian Materials,ark:/21198/zz002gcp8m,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0003a.tif,4,,,,,text,unknown,arm,letters (correspondence),"Abcar, Grigor","Set Sami, Eghiazar","UCLA LSC, Collection 1632, Box 1, Folder 1, 3a",uclamss_1632_01_01_0003a,Series 1. Correspondence : Նամակներ 1828-1962. Sub-series: Abcar Family : Աբգար ընտանիք 1831-1894,,,"October 26, 1831",,"Letter from Set, Eghiazar and Sam to Grigor Abcar. General family and business issues.",Chennai (India),Chennai (India)|~|Isfahan (Iran),,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcp8m
Minasian Collection of Armenian Materials,ark:/21198/zz002gcp94,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0003b.tif,5,,,,,text,unknown,,letters (correspondence),,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 3b",uclamss_1632_01_01_0003b,Series 1. Correspondence : Նամակներ 1828-1962. Sub-series: Abcar Family : Աբգար ընտանիք 1831-1894,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcp94
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpbn,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0003c.tif,6,,,,,text,unknown,arm,letters (correspondence),"Set Sami, Eghiazar",,"UCLA LSC, Collection 1632, Box 1, Folder 1, 3c",uclamss_1632_01_01_0003c,Series 1. Correspondence : Նամակներ 1828-1962. Sub-series: Abcar Family : Աբգար ընտանիք 1831-1894,Sami Eghiazar,,1831,"Minasian Correspondence, Collection 1632",Letters of Sami Eghiazar to Grigor. Mostly on family issues and family business.,Madras (India),Iran|~|India,1831-10-26,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcpbn
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpc5,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0004.tif,7,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 4",uclamss_1632_01_01_0004,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcpc5
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpdp,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0004back.tif,8,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 4 back",uclamss_1632_01_01_0004back,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcpdp
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpf6,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0005a.tif,9,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 5a",uclamss_1632_01_01_0005a,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcpf6
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpgq,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0005b.tif,10,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 5b",uclamss_1632_01_01_0005b,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcpgq
Minasian Collection of Armenian Materials,ark:/21198/zz002gcph7,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0005c.tif,11,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 5c",uclamss_1632_01_01_0005c,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcph7
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpjr,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0006a.tif,12,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 6a",uclamss_1632_01_01_0006a,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcpjr
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpk8,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0006b.tif,13,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 6b",uclamss_1632_01_01_0006b,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcpk8
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpms,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0006c.tif,14,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 6c",uclamss_1632_01_01_0006c,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcpms
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpn9,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0007.tif,15,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 7",uclamss_1632_01_01_0007,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcpn9
Minasian Collection of Armenian Materials,ark:/21198/zz002gcppt,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0007back.tif,16,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 7 back",uclamss_1632_01_01_0007back,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcppt
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpqb,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0008.tif,17,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 8",uclamss_1632_01_01_0008,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcpqb
Minasian Collection of Armenian Materials,ark:/21198/zz002gcprv,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0008back.tif,18,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 8 back",uclamss_1632_01_01_0008back,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcprv
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpsc,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0009a.tif,19,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 9a",uclamss_1632_01_01_0009a,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcpsc
Minasian Collection of Armenian Materials,ark:/21198/zz002gcptw,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0009b.tif,20,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 9b",uclamss_1632_01_01_0009b,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcptw
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpvd,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0009c.tif,21,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 9c",uclamss_1632_01_01_0009c,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcpvd
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpwx,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0010.tif,22,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 10",uclamss_1632_01_01_0010,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcpwx
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpxf,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0011.tif,23,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 11",uclamss_1632_01_01_0011,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcpxf
Minasian Collection of Armenian Materials,ark:/21198/zz002gcpzz,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0012.tif,24,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 12",uclamss_1632_01_01_0012,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcpzz
