Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Visibility,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.actor,Name.director,Name.subject,Name.producer,Name.photographer,Name.costumeDesigner,Name.distributor,Subject.descriptiveTopic,AltTitle.uniform,Language,Name.repository,Name.cinematographer,Subject,Subject.geographicPlace,Name.artDirector,Name.setDesigner,Alt ID.local,Format.extent,Format.dimensions,Title,Date.normalized,Description.caption,Date.creation,Description.note,AltTitle.other,Description.abstract,Opac url,Finding Aid URL,IIIF Manifest URL
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nqhwp,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nqhwp%2F3f36dt0w,individuals,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,Way Down East (Motion picture),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 8688_ 192_ 13,1 photograph : b&w,8 x 10 in.,WAY DOWN EAST,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nqhwp/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nqhx6,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nqhx6%2Fk4091n5w,individuals,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,Way Down East (Motion picture),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 8688_ 192_ 14,1 photograph : b&w,8 x 10 in.,WAY DOWN EAST,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nqhx6/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nqhzq,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nqhzq%2Fxh78fp75,individuals,private,still image,Black-and-white photographs|~|Melodrama films,copyrighted,unknown,,"Hay, Mary, $d 1901-1957|~|Fitzroy, Emily, $d 1860-1954","Griffith, D. W. (David Wark), 1875-1948",,"D.W. Griffith, Inc.",,,United Artists Corporation,,Way Down East (Motion picture),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 8688_ 192_ 15,1 photograph : b&w,8 x 10 in.,Emily Fitzroy and Mary Hay in D.W. Griffith's Way Down East,1920,,1920,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nqhzq/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nqj0q,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nqj0q%2Fp746821d,individuals,private,still image,Black-and-white photographs|~|Melodrama films,copyrighted,unknown,,"Gish, Lillian, $d 1893-1993|~|Short, Florence, $d 1889-1946|~|Belmont, Morgan, $c Mrs., $d -1945","Griffith, D. W. (David Wark), 1875-1948",,"D.W. Griffith, Inc.",,,United Artists Corporation,,Way Down East (Motion picture),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 8688_ 192_ 16,1 photograph : b&w,8 x 10 in.,"Mrs. Morgan Belmont, Florence Short, and Lillian Gish in Way Down East",1920,,1920,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nqj0q/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nqj17,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nqj17%2Fk061px92,individuals,private,still image,Black-and-white photographs|~|Melodrama films,copyrighted,unknown,,"Gish, Lillian, $d 1893-1993","Griffith, D. W. (David Wark), 1875-1948",,"D.W. Griffith, Inc.",,,United Artists Corporation,,Way Down East (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 8688_ 192_ 17,1 photograph : b&w,8 x 10 in.,Lillian Gish in D.W. Griffith's Way Down East,1920,Text from back of photograph:Lillian GishWhite River Junction,1920,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nqj17/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nqj2r,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nqj2r%2F8w92z68j,individuals,private,still image,Black-and-white photographs|~|Melodrama films,copyrighted,unknown,,"Barthelmess, Richard, 1895-1963","Griffith, D. W. (David Wark), 1875-1948",,"D.W. Griffith, Inc.",,,United Artists Corporation,,Way Down East (Motion picture),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 8688_ 192_ 18,1 photograph : b&w,8 x 10 in.,Richard Barthelmess in D.W. Griffith's Way Down East,1920,,1920,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nqj2r/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nqj38,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nqj38%2Fxv36zr6f,individuals,private,still image,Black-and-white photographs|~|Melodrama films,copyrighted,unknown,,"Gish, Lillian, $d 1893-1993|~|Sherman, Lowell, $d 1888-1934|~|Fruen, Patricia","Griffith, D. W. (David Wark), 1875-1948",,"D.W. Griffith, Inc.",,,United Artists Corporation,,Way Down East (Motion picture),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 8688_ 192_ 19,1 photograph : b&w,8 x 10 in.,"Patricia Fruen, Lowell Sherman, and Lillian Gish in D.W. Griffith's Way Down East",1920,,1920,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nqj38/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nqj4s,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nqj4s%2Fvr08h36s,individuals,private,still image,Black-and-white photographs|~|Melodrama films,copyrighted,unknown,,"Gish, Lillian, $d 1893-1993","Griffith, D. W. (David Wark), 1875-1948",,"D.W. Griffith, Inc.",,,United Artists Corporation,,Way Down East (Motion picture),eng,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 8688_ 192_ 2,1 photograph : b&w,8 x 10 in.,Lillian Gish in D.W. Griffith's Way Down East,1920,Text from back of photograph:Way Down East,1920,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nqj4s/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nqj59,ark:/21198/zz0015w23z,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nqj59%2Fw811sz2r,individuals,private,still image,Black-and-white photographs|~|Melodrama films,copyrighted,unknown,,"Gish, Lillian, $d 1893-1993","Griffith, D. W. (David Wark), 1875-1948",,"D.W. Griffith, Inc.",,,United Artists Corporation,,Way Down East (Motion picture),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 8688_ 192_ 20,1 photograph : b&w,8 x 10 in.,Lillian Gish in D.W. Griffith's Way Down East,1920,,1920,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nqj59/manifest
"Motion Picture Stills, 1903-. Collection 195",ark:/21198/zz001nqj6t,ark:/21198/zz0015w23z,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nqj6t%2F5q59wt2p,individuals,private,still image,Black-and-white photographs,copyrighted,unknown,,,,,,,,,,Way Down East (Motion picture),zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections",,,,,,pasc_195_ 8688_ 192_ 21,1 photograph : b&w,8 x 10 in.,WAY DOWN EAST,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4232828,https://oac.cdlib.org/findaid/ark:/13030/kt9779q7sn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001nqj6t/manifest
