"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Rights","Type.typeOfResource","Subject","Name.composer","Alt ID.local","Title","AltTitle.other","Description.note","Date.creation","Format.extent","Alt ID.oclc","Date.normalized","Format.medium","Description.contents","Format.dimensions","Description.binding","Opac url","Relation.isPartOf","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Music Library Manuscripts","ark:/21198/zz002k067n","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_000_Cover.tif","1","","","","","","","","copyrighted","","Y","","","","musicmss_027_000_Cover","musicmss_027_000_Cover","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k067n",""
"Music Library Manuscripts","ark:/21198/zz002k0685","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_001.tif","2","","","","","","","","copyrighted","","Y","","","","musicmss_027_001","musicmss_027_001","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k0685",""
"Music Library Manuscripts","ark:/21198/zz002k069p","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_002.tif","3","","","","","","","","copyrighted","","Y","","","","musicmss_027_002","musicmss_027_002","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k069p",""
"Music Library Manuscripts","ark:/21198/zz002k06b6","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_003.tif","4","","","","","","","","copyrighted","","Y","","","","musicmss_027_003","musicmss_027_003","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k06b6",""
"Music Library Manuscripts","ark:/21198/zz002k06cq","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_004.tif","5","","","","","","","","copyrighted","","Y","","","","musicmss_027_004","musicmss_027_004","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k06cq",""
"Music Library Manuscripts","ark:/21198/zz002k06d7","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_005.tif","6","","","","","","","","copyrighted","","Y","","","","musicmss_027_005","musicmss_027_005","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k06d7",""
"Music Library Manuscripts","ark:/21198/zz002k06fr","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_006.tif","7","","","","","","","","copyrighted","","Y","","","","musicmss_027_006","musicmss_027_006","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k06fr",""
"Music Library Manuscripts","ark:/21198/zz002k06g8","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_007.tif","8","","","","","","","","copyrighted","","Y","","","","musicmss_027_007","musicmss_027_007","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k06g8",""
"Music Library Manuscripts","ark:/21198/zz002k06hs","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_008.tif","9","","","","","","","","copyrighted","","Y","","","","musicmss_027_008","musicmss_027_008","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k06hs",""
"Music Library Manuscripts","ark:/21198/zz002k06j9","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_009.tif","10","","","","","","","","copyrighted","","Y","","","","musicmss_027_009","musicmss_027_009","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k06j9",""
