"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Rights","Type.typeOfResource","Subject","Name.composer","Alt ID.local","Title","AltTitle.other","Description.note","Date.creation","Format.extent","Alt ID.oclc","Date.normalized","Format.medium","Description.contents","Format.dimensions","Description.binding","Opac url","Relation.isPartOf","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Music Library Manuscripts","ark:/21198/zz002jzk52","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_000_Cover.tif","1","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_000_Cover","musicmss_Ms_19_2_000_Cover","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzk52",""
"Music Library Manuscripts","ark:/21198/zz002jzk6k","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_001.tif","2","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_001","musicmss_Ms_19_2_001","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzk6k",""
"Music Library Manuscripts","ark:/21198/zz002jzk73","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_002.tif","3","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_002","musicmss_Ms_19_2_002","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzk73",""
"Music Library Manuscripts","ark:/21198/zz002jzk8m","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_003.tif","4","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_003","musicmss_Ms_19_2_003","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzk8m",""
"Music Library Manuscripts","ark:/21198/zz002jzk94","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_004.tif","5","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_004","musicmss_Ms_19_2_004","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzk94",""
"Music Library Manuscripts","ark:/21198/zz002jzkbn","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_005.tif","6","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_005","musicmss_Ms_19_2_005","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzkbn",""
"Music Library Manuscripts","ark:/21198/zz002jzkc5","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_006.tif","7","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_006","musicmss_Ms_19_2_006","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzkc5",""
"Music Library Manuscripts","ark:/21198/zz002jzkdp","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_007.tif","8","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_007","musicmss_Ms_19_2_007","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzkdp",""
"Music Library Manuscripts","ark:/21198/zz002jzkf6","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_008.tif","9","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_008","musicmss_Ms_19_2_008","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzkf6",""
"Music Library Manuscripts","ark:/21198/zz002jzkgq","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_009.tif","10","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_009","musicmss_Ms_19_2_009","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzkgq",""
"Music Library Manuscripts","ark:/21198/zz002jzkh7","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_010.tif","11","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_010","musicmss_Ms_19_2_010","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzkh7",""
"Music Library Manuscripts","ark:/21198/zz002jzkjr","ark:/21198/zz002jkc4q","5","Imported","Page","muslibmss/image/musicmss_Ms_19_2_011.tif","12","","","","","","","","copyrighted","","Y","","","","musicmss_Ms_19_2_011","musicmss_Ms_19_2_011","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jzkjr",""
