"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Name.subject","Name.creator","Subject","Type.genre","Relation.isPartOf","Name.repository","Title","Description.adminnote","Alt ID.local","AltTitle.translated","Coverage.geographic","Format.dimensions","Format.extent","Date.creation","Date.normalized","Description.abstract","Description.note","AltTitle.firstLine","AltTitle.descriptive","Opac url","Finding Aid URL","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Orsini Family Papers.  Collection 902","ark:/21198/zz000945wq","","2","Completed","Collection","","","","","","","","","","","pd","","Orsini family -- Archives","Orsini family","Landowners--Italy--History--Archival resources|~|Italy--Politics and government--1789-1870|~|Manuscripts, Italian --Italy.|~|Possession (Law)--Italy--History--Archival resources|~|Religious leaders--Italy--History--Archival resources|~|Households--Italy--History--Archival resources|~|Italy--Politics and government--1559-1789|~|Italy--Politics and government--1870-","","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","Orsini Family Papers, ca. 1150-1950","","Collection 902","","","","","circa 1150-1950","1150/1950","The Orsini are one of most important families in Italian history. At the height of their influence, in the late Middle Ages and into the Renaissance, the Orsini were crucial players in Italian politics; they were closely allied to the Medici, with whom they were tied by several high-level marriages. The family produced three popes, about thirty cardinals and 62 senators of Rome, as well as several electors of Saxony and Brandenburg, and grand masters of the Knights of Malta. They were related to a number of royal houses of Europe. The papers consist mainly of material relating to the administration of property (including records of sales, leases, mortgages, loans, proxies, accounting, inventories and plans) and the administration of the family (including dowries and marriage contracts, donations, divisions of property, wills and fideicommissums). There is also a substantial amount of legal material, mostly produced by the many law-suits in which the family was involved, and correspondence, largely dating from the 18th century.","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470436","http://content.cdlib.org/ark:/13030/kt0n39q6hv/","Orsini Family Papers, ca. 1150-1950 (bulk 1500-1900)","","","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz000945wq"
"Orsini Family Papers.  Collection 902","ark:/21198/zz00099841","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz00099841-1-master.tif","","","","","","","","","","","","","","","","","","Campagnano e Formello_1.tif  - srlf scan","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00099841","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00099841/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002k6vm6","ark:/21198/zz000945wq","1","In progress","Work","","","","","","","","","private","","","","","","","Maps","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Pianta della tenuta di Spanoro, misurata e firmata Mario Macarone e Giovanni Cesare Totone, con schizzo de ""La casa della vigna.""","","clus_902_b541_f1_05|~|Box 541, Folder 1, item 5","","Albano (Italy)","575 x 440 mm.","1 Mss. ink","1553","","1553 Settembre 10 - Pianta della tenuta di Spanoro, misurata e firmata Mario macarone e Giovanni Cesare Totone, con schizzo de ""La casa della vigna,"" a inchiostro su carta.","","","","","","","missing","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6vm6/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz0009985j","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz0009985j-1-master.tif","","","","","","","","","","","","","","","","","","Campagnano e Formello_2.tif  - srlf scan","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009985j","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009985j/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz00099862","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz00099862-1-master.tif","","","","","","","","","","","","","","","","","","Campagnano_1.tif -- srlf scan","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00099862","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00099862/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz0009987k","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz0009987k-1-master.tif","","","","","","","","","","","","","","","","","","Campagnano_2.tif -- srlf scan","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009987k","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009987k/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz00099883","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz00099883-1-master.tif","","","","","","","","","","pd","ita","","","","Site plans|~|manuscripts (document genre)","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","Albano. Pianta della Piazza di S. Pancrazio","","clus_902_b16_f1_01|~|Box 16, Folder 1","Plan of the Public square of S. Pancrazio","Albano Laziale (Italy)","40 x 27 cm.","1 Ms. ink on paper|~|Ms., a inchiostro su carta","1671","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00099883","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00099883/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz0009989m","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz0009989m-1-master.tif","","","","","still image","","","","","pd","ita","","","","Maps","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","Anguillara. Pianta di tutto il territorio dell'Anguillara, con spiegazione, colorata, fatta da Battista Cocciante, Agrimensore.","","Box 541, Folder 1, item 2|~|clus_902_b541_f1_02","Anguillara. Plan of all the territory of the Anguillara, with explanation, colored, made from Batiste Cocciante, Land-surveyor","Anguillara Sabazia (Italy)","37.5 x 55 cm.","Ms., a inchiostro e acquarello su carta|~|1 Ms. ink and acquarello on paper","[16--]","1601/1700","Materiale Grafico: "" Anguillara. Pianta di tutto il territorio dell'Anguillara, con spiegazione, colorata, fatta da Battista Cocciante, Agrimensore,"" a inchiostro e acquarello su carta","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009989m","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009989m/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz000998b4","ark:/21198/zz000945wq","2","Completed","Work","orsini/masters/21198-zz000998b4-1-master.tif","","","","","","","","","","pd","ita","","","","Site plans","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","University of California, Los Angeles. $b Library Special Collections","Anguillara. Pianta della tenuta di Spanoro, misurata e firmata Mario Macarone e Giovanni Cesare Totone, con schizzo de ""La casa della vigna""","","clus_902_b541_f1_05|~|Box 541, Folder 1, Item 5","Anguillara. Plan of the estate of Spanoro, measured and signed Mario Macarone and Giovanni Cesar Totone, with sketch de ""the house of the vine""","Anguillara Sabazia (Italy)","575 x 440 mm.","Ms., a inchiostro su carta|~|1 Ms. ink on paper","1553 Settembre 10","1553-09-10","","Contenuto in: Romana Tenutae Spanorii. Breve riassunto della lite tra l'Ill.mo Camerlengo di S. Maria Maggiore e Giustiniana Orsini circa la servitù de' pascoli e cultura della Tenuta di Spanoro nel territorio dell'Anguillara.Capitoli e convenzioni di concordia tra D. Virginio Orsini e Giustiniana Orsini circa l'affitto e servitù di pascolo della sopradetta tenuta","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000998b4","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000998b4/manifest"
"Orsini Family Papers.  Collection 902","ark:/21198/zz0018t2vp","ark:/21198/zz000945wq","1","In progress","Work","orsini/masters/21198-zz0018t2vp_728910_master.tif","","","","","text","","","private","","","","Orsini family","","Family trees","","Orsini Family Papers (Collection Number 902). Department of Special Collections, Charles E. Young Research Library, UCLA","","Geneaologia della famiglia Hoyos dal 650 al 1928.","","Box 15, Folder 3|~|c902_b15_f913)_item13","","","","1 page","","","","","Stammbaum der familie Hoyos","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0018t2vp","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0018t2vp/manifest"
