"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Subject.descriptiveTopic","Type.typeOfResource","Subject.conceptTopic","Rights.copyrightStatus","Language","Coverage.geographic","Rights.publicationStatus","Name.repository","Publisher.publisherName","Subject.corporateName","Type.genre","Name.manufacturer","Name.subject","Name.printer","Name.retailer","Name.designer","Rights.rightsHolderContact","Name.artist","Name.creator","Name.sponsor","AltTitle.uniform","Title","Format.dimensions","Description.caption","Publisher.placeOfOrigin","Date.normalized","Date.creation","Description.note","AltTitle.other","Format.extent","AltTitle.descriptive","Alternate Title.former","AltTitle.translated","Opac url","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Patent Medicine Cards","ark:/21198/zz0002hmt0/0447sp37","ark:/21198/zz0002hmt0","","","Page","patentmedcards/masters/21198-zz0002hmt0-10-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hmt0%2F0447sp37",""
"Patent Medicine Cards","ark:/21198/zz0002hmt0/4t29tx6t","ark:/21198/zz0002hmt0","","","Page","patentmedcards/masters/21198-zz0002hmt0-4-master.tif","5","","","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hmt0%2F4t29tx6t",""
"Patent Medicine Cards","ark:/21198/zz0002hmt0/gg55193z","ark:/21198/zz0002hmt0","","","Page","patentmedcards/masters/21198-zz0002hmt0-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hmt0%2Fgg55193z",""
"Patent Medicine Cards","ark:/21198/zz0002hmt0/gq70kc6m","ark:/21198/zz0002hmt0","","","Page","patentmedcards/masters/21198-zz0002hmt0-7-master.tif","8","","","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hmt0%2Fgq70kc6m",""
"Patent Medicine Cards","ark:/21198/zz0002hmt0/k288qn1z","ark:/21198/zz0002hmt0","","","Page","patentmedcards/masters/21198-zz0002hmt0-6-master.tif","7","","","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hmt0%2Fk288qn1z",""
"Patent Medicine Cards","ark:/21198/zz0002hmt0/kf27fv5k","ark:/21198/zz0002hmt0","","","Page","patentmedcards/masters/21198-zz0002hmt0-8-master.tif","9","","","","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hmt0%2Fkf27fv5k",""
"Patent Medicine Cards","ark:/21198/zz0002hmt0/mb693x65","ark:/21198/zz0002hmt0","","","Page","patentmedcards/masters/21198-zz0002hmt0-5-master.tif","6","","","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hmt0%2Fmb693x65",""
"Patent Medicine Cards","ark:/21198/zz0002hmt0/mp958q83","ark:/21198/zz0002hmt0","","","Page","patentmedcards/masters/21198-zz0002hmt0-3-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hmt0%2Fmp958q83",""
"Patent Medicine Cards","ark:/21198/zz0002hmt0/mz41pg35","ark:/21198/zz0002hmt0","","","Page","patentmedcards/masters/21198-zz0002hmt0-9-master.tif","10","","","","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hmt0%2Fmz41pg35",""
"Patent Medicine Cards","ark:/21198/zz0002hmt0/sz23vn35","ark:/21198/zz0002hmt0","","","Page","patentmedcards/masters/21198-zz0002hmt0-2-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hmt0%2Fsz23vn35",""
