"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Subject","Rights.countryCreation","Rights.rightsHolderContact","Language","Name.creator","Name.subject","Name.repository","Relation.isPartOf","Format.extent","Title","Format.dimensions","Date.creation","Description.note","Alt ID.local","Format.medium","Coverage.geographic","Date.normalized","AltTitle.descriptive","Description.adminnote","AltTitle.other","Alt ID.url","AltTitle.uniform","Description.abstract","Opac URL","Finding Aid URL","Publisher.placeOfOrigin","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Photo Album Collection.  Collection 94","ark:/21198/zz00091v2m","ark:/21198/zz00091tx2","2","Completed","Page","photoalbum94/masters/21198-zz00091v2m-1-master.tif","1","","","","Black-and-white photographs","still image","","","","","unknown","Peasantry--Russia|~|Men about Town (Photo Album Collection. Collection 94)","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","","University of California, Los Angeles. Library. Department of Special Collections","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.","1 photographic print","Russian man in frock, circa 1880","5 x 10 cm. (2 x 3.75 in.)","circa 1880","Photograph is 1 of 5 pasted on 1 leaf of heavy card stock. Handwritten inscription on bottom of leaf states ""Men about Town.""  All studio photographs.","clus_94_album129_b10_f6_mat5","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00091v2m",""
"Photo Album Collection.  Collection 94","ark:/21198/zz00091v34","ark:/21198/zz00091tx2","2","Completed","Page","photoalbum94/masters/21198-zz00091v34-1-master.tif","2","","","","Black-and-white photographs","still image","","","","","unknown","Peasantry--Russia|~|Men about Town (Photo Album Collection. Collection 94)","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","","University of California, Los Angeles. Library. Department of Special Collections","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.","1 photographic print","Russian man in white apron","5 x 10 cm. (2 x 3.75 in.)","circa 1880","Photograph is 1 of 5 pasted on 1 leaf of heavy card stock. Handwritten inscription on bottom of leaf states ""Men about Town.""  All studio photographs.","","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00091v34",""
"Photo Album Collection.  Collection 94","ark:/21198/zz00091v4n","ark:/21198/zz00091tx2","2","Completed","Page","photoalbum94/masters/21198-zz00091v4n-1-master.tif","3","","","","Black-and-white photographs","still image","","","","","unknown","Peasantry--Russia|~|Men about Town (Photo Album Collection. Collection 94)","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","","University of California, Los Angeles. Library. Department of Special Collections","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.","1 photographic print","Russian man carrying bricks [bricklayer?]","6 x 10 cm (2.25 x 3.75 in.)","circa 1880","Photograph is 1 of 5 pasted on 1 leaf of heavy card stock. Handwritten inscription on bottom of leaf states ""Men about Town.""  All studio photographs.","clus_94_album129_b10_f6_mat4","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00091v4n",""
"Photo Album Collection.  Collection 94","ark:/21198/zz00091v55","ark:/21198/zz00091tx2","2","Completed","Page","photoalbum94/masters/21198-zz00091v55-1-master.tif","4","","","","Black-and-white photographs","still image","","","","","unknown","Peasantry--Russia|~|Men about Town (Photo Album Collection. Collection 94)","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","","University of California, Los Angeles. Library. Department of Special Collections","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.","1 photographic print","Russian man with broom and top hat [chimmey sweep?]","6 x 10 cm (2.25 x 3.75 in.)","circa 1880","Photograph is 1 of 5 pasted on 1 leaf of heavy card stock. Handwritten inscription on bottom of leaf states ""Men about Town.""  All studio photographs.","clus_94_album129_b10_f6_mat1","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00091v55",""
"Photo Album Collection.  Collection 94","ark:/21198/zz00091v6p","ark:/21198/zz00091tx2","2","Completed","Page","photoalbum94/masters/21198-zz00091v6p-1-master.tif","5","","","","Black-and-white photographs","still image","","","","","copyrighted","Peasantry--Russia|~|Men about Town (Photo Album Collection. Collection 94)","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","","University of California, Los Angeles. Library. Department of Special Collections","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.","1 photographic print","Russian man [tramper?]","6 x 10 cm (2.25 x 3.75 in.)","circa 1880","Photograph is 1 of 5 pasted on 1 leaf of heavy card stock. Handwritten inscription on bottom of leaf states ""Men about Town.""  All studio photographs.","clus_94_album129_b10_f6_mat2","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00091v6p",""
"Photo Album Collection.  Collection 94","ark:/21198/zz00091v76","ark:/21198/zz00091tx2","2","Completed","Page","photoalbum94/masters/21198-zz00091v76-1-master.tif","1","","","","Black-and-white photographs","still image","","","","","unknown","Peasantry--Russia|~|Nurses (Photo Album Collection. Collection 94)","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","","University of California, Los Angeles. Library. Department of Special Collections","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.","1 photographic print","Russian nurse in simple dress holding pot","6 x 10 cm (2.25 x 3.75 in.)","circa 1880","Photograph is 1 of 7 pasted on 1 leaf of heavy card stock.  Handwritten inscription on bottom of leaf states ""Nurses""  All studio photographs.","clus_94_album129_b10_f6_nur3","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00091v76",""
"Photo Album Collection.  Collection 94","ark:/21198/zz00091v8q","ark:/21198/zz00091tx2","2","Completed","Page","photoalbum94/masters/21198-zz00091v8q-1-master.tif","2","","","","Black-and-white photographs","still image","","","","","unknown","Peasantry--Russia|~|Nurses (Photo Album Collection. Collection 94)","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","","University of California, Los Angeles. Library. Department of Special Collections","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.","1 photographic print","Full length view of nurse in full skirt, ornate coat and hat","6 x 10 cm (2.25 x 3.75 in.)","circa 1880","Photograph is 1 of 7 pasted on 1 leaf of heavy card stock.  Handwritten inscription on bottom of leaf states ""Nurses""  All studio photographs.","clus_94_album129_b10_f6_nur6","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00091v8q",""
"Photo Album Collection.  Collection 94","ark:/21198/zz00091v97","ark:/21198/zz00091tx2","2","Completed","Page","photoalbum94/masters/21198-zz00091v97-1-master.tif","1","","","","Black-and-white photographs","still image","","","","","unknown","Peasantry--Russia|~|Peasants and Police (Photo Album Collection. Collection 94)","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","","University of California, Los Angeles. Library. Department of Special Collections","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.","1 photographic print","Russian male peasant with basket over back and holding white satchel","6 x 10 cm (2.25 x 3.75 in.)","circa 1880","Photograph is 1 of 8 pasted on 1 leaf of heavy card stock.  Handwritten inscription on bottom of leaf states ""Peasants and Police""  All studio photographs.","clus_94_album129_b10_f6_pap1","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00091v97",""
"Photo Album Collection.  Collection 94","ark:/21198/zz00091vbr","ark:/21198/zz00091tx2","2","Completed","Page","photoalbum94/masters/21198-zz00091vbr-1-master.tif","2","","","","Black-and-white photographs","still image","","","","","unknown","Peasantry--Russia|~|Peasants and Police (Photo Album Collection. Collection 94)","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","","University of California, Los Angeles. Library. Department of Special Collections","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.","1 photographic print","Russian male peasant wearing Cossack hat with arms crossed holding cane","6 x 10 cm. (2.25 x 3.75 in.)","circa 1880","Photograph is 1 of 8 pasted on 1 leaf of heavy card stock.  Handwritten inscription on bottom of leaf states ""Peasants and Police""  All studio photographs.","clus_94_album129_b10_f6_pap2","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00091vbr",""
"Photo Album Collection.  Collection 94","ark:/21198/zz00091vc8","ark:/21198/zz00091tx2","2","Completed","Page","photoalbum94/masters/21198-zz00091vc8-1-master.tif","3","","","","Black-and-white photographs","still image","","","","","unknown","Peasantry--Russia|~|Peasants and Police (Photo Album Collection. Collection 94)","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","","","","University of California, Los Angeles. Library. Department of Special Collections","Photograph album collection (Collection 94). UCLA Library Special Collections, Charles E. Young Research Library.","1 photographic print","Russian peasant woman holding pot with police officer [?] besides her","6 x 10 cm (2.25 x 3.75 in.)","circa 1880","Photograph is 1 of 8 pasted on 1 leaf of heavy card stock.  Handwritten inscription on bottom of leaf states ""Peasants and Police""  All studio photographs.","clus_94_album129_b10_f6_pap4","","","","","","","","","","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233582","https://oac.cdlib.org/findaid/ark:/13030/kt6489s0cc/","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00091vc8",""
