"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.publication","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz001hh497","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh497-1-master.tif","","","1","","","text","","","","","","front cover","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh497"
"Picart (Bernard) Collection","ark:/21198/zz001hh4c8","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh4c8-1-master.tif","","","3","","","text","","","","","","inside front cover","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh4c8"
"Picart (Bernard) Collection","ark:/21198/zz001hh4f9","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh4f9-1-master.tif","","","5","","","text","","","","","","blank page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh4f9"
"Picart (Bernard) Collection","ark:/21198/zz001hh4hb","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh4hb-1-master.tif","","","7","","","text","","","","","","blank page","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh4hb"
"Picart (Bernard) Collection","ark:/21198/zz001hh4kc","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh4kc-1-master.tif","","","9","","","text","","","","","","blank page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh4kc"
"Picart (Bernard) Collection","ark:/21198/zz001hh4nd","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh4nd-1-master.tif","","","11","","","text","","","","","","blank page","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh4nd"
"Picart (Bernard) Collection","ark:/21198/zz001hh4qf","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh4qf-1-master.tif","","","13","","","text","","","","","","title page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh4qf"
"Picart (Bernard) Collection","ark:/21198/zz001hh4sg","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh4sg-1-master.tif","","","15","","","text","","","","","","title page verso","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh4sg"
"Picart (Bernard) Collection","ark:/21198/zz001hh4t0","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh4t0-1-master.tif","","","16","","","text","","","","","","preface 01","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh4t0"
"Picart (Bernard) Collection","ark:/21198/zz001hh4vh","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh4vh-1-master.tif","","","17","","","text","","","","","","preface 02","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh4vh"
