"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz00096p71","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00096p71-2-master.tif","1","","","text","","","","","","cover","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096p71"
"Picart (Bernard) Collection","ark:/21198/zz00096p8j","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00096p8j-1-master.tif","2","","","text","","","","","","inside front cover","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096p8j"
"Picart (Bernard) Collection","ark:/21198/zz00096p92","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00096p92-2-master.tif","3","","","text","","","","","","blank page 01","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096p92"
"Picart (Bernard) Collection","ark:/21198/zz00096pbk","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00096pbk-1-master.tif","4","","","text","","","","","","blank page 02","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096pbk"
"Picart (Bernard) Collection","ark:/21198/zz00096pc3","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00096pc3-1-master.tif","5","","","text","","","","","","blank page 03","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096pc3"
"Picart (Bernard) Collection","ark:/21198/zz00096pdm","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00096pdm-1-master.tif","6","","","text","","","","","","blank page 04","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096pdm"
"Picart (Bernard) Collection","ark:/21198/zz00096pf4","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00096pf4-1-master.tif","7","","","text","","","","","","half-title page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096pf4"
"Picart (Bernard) Collection","ark:/21198/zz00096pgn","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00096pgn-1-master.tif","8","","","text","","","","","","half-title page verso","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096pgn"
"Picart (Bernard) Collection","ark:/21198/zz00096ph5","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00096ph5-3-master.tif","9","","","text|~|still image","","","","","","title page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096ph5"
"Picart (Bernard) Collection","ark:/21198/zz00096pjp","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00096pjp-1-master.tif","10","","","text","","","","","","title page verso","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096pjp"
"Picart (Bernard) Collection","ark:/21198/zz00096pk6","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00096pk6-3-master.tif","11","","","text","","","","","","table of contents i","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096pk6"
"Picart (Bernard) Collection","ark:/21198/zz00096pmq","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00096pmq-1-master.tif","12","","","text","","","","","","directions for placing the prints","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096pmq"
"Picart (Bernard) Collection","ark:/21198/zz00096pn7","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00096pn7-1-master.tif","13","","","text|~|still image","","","","","","page 001","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096pn7"
"Picart (Bernard) Collection","ark:/21198/zz00096ppr","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00096ppr-1-master.tif","14","","","text","","","","","","page 002","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096ppr"
"Picart (Bernard) Collection","ark:/21198/zz00096pq8","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00096pq8-1-master.tif","15","","","text","","","","","","page 003","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096pq8"
"Picart (Bernard) Collection","ark:/21198/zz00096prs","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00096prs-1-master.tif","16","","","text","","","","","","page 004","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096prs"
"Picart (Bernard) Collection","ark:/21198/zz00096ps9","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00096ps9-1-master.tif","17","","","text","","","","","","page 005","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096ps9"
"Picart (Bernard) Collection","ark:/21198/zz00096ptt","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00096ptt-1-master.tif","18","","","text","","","","","","page 006","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096ptt"
"Picart (Bernard) Collection","ark:/21198/zz00096pvb","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00096pvb-1-master.tif","19","","","text","","","","","","page 007","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096pvb"
