Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,viewingHint,Text direction,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Subject,Type.genre,Language,Name.editor,Name.engraver,Title,Relation.rectoVerso,Relation.pageNumber,Description.note,Source,Relation.isPartOf,Alt ID.local,Date.normalized,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Date.publication,Format.dimensions,Description.tableOfContents,Alt ID.oclc,AltTitle.uniform,AltTitle.inscribed,Relation.hasPart,Name.printer,Name.illustrator,Rights.copyrightStatus
Picart (Bernard) Collection,ark:/21198/zz000s1n0g,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s1n0g-1-master.tif,,,1,,,text,,,,,,cover,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s1n10,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s1n10-1-master.tif,,,2,,,text,,,,,,inside front cover,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s1n2h,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s1n2h-1-master.tif,,,3,,,text,,,,,,blank page 01,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s1n31,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s1n31-1-master.tif,,,4,,,text,,,,,,blank page 02,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s1n4j,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s1n4j-1-master.tif,,,5,,,text,,,,,,blank page 03,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s1n52,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s1n52-1-master.tif,,,6,,,text,,,,,,blank page 04,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s1n6k,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s1n6k-1-master.tif,,,7,,,text,,,,,,half title page,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s1n73,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s1n73-1-master.tif,,,8,,,text,,,,,,half title page verso,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s1n8m,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s1n8m-1-master.tif,,,9,,,text|~|still image,,,,,,title page,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s1n94,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s1n94-1-master.tif,,,10,,,text,,,,,,title page verso,v,,,,,,,,,,,,,,,,,,,
