"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.PageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.publication","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Picart (Bernard) Collection","ark:/21198/zz000n90gg","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000n90gg-1-master.tif","","","1","","","text","","","","","","cover","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000n90gg",""
"Picart (Bernard) Collection","ark:/21198/zz000n90h0","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000n90h0-1-master.tif","","","2","","","text","","","","","","inside front cover","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000n90h0",""
"Picart (Bernard) Collection","ark:/21198/zz000n90jh","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000n90jh-1-master.tif","","","3","","","text","","","","","","blank Page 01","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000n90jh",""
"Picart (Bernard) Collection","ark:/21198/zz000n90k1","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000n90k1-1-master.tif","","","4","","","text","","","","","","blank Page 02","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000n90k1",""
"Picart (Bernard) Collection","ark:/21198/zz000n90mj","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000n90mj-1-master.tif","","","5","","","text","","","","","","blank Page 03","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000n90mj",""
"Picart (Bernard) Collection","ark:/21198/zz000n90n2","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000n90n2-1-master.tif","","","6","","","text","","","","","","blank Page 04","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000n90n2",""
"Picart (Bernard) Collection","ark:/21198/zz000n90pk","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000n90pk-1-master.tif","","","7","","","text","","","","","","half-title Page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000n90pk",""
"Picart (Bernard) Collection","ark:/21198/zz000n90q3","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000n90q3-1-master.tif","","","8","","","text","","","","","","half-title Page verso","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000n90q3",""
"Picart (Bernard) Collection","ark:/21198/zz000n90rm","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000n90rm-1-master.tif","","","9","","","still image","","","","","","frontispiece","r","","TABLEAU DES PRINCIPALES RELIGIONS DU MONDEEn premier lieu on voit la RÉLIGION CHRÉTIENNE au pied d'un grand Arbre presentant la BIBLE ouverte, qu'un Moine Franscisquain s'eforce de fermer d'une main, en montrant de l'autre le Livre où est ecrit CONCILES et TRADITIONS (1) sur lequel L'EGLISE ROMAINE est appuijée, E elle est representée la Tiare en tête (2) tenant d'une main le ST. SACREMENT, et de l'autre un Rameau d'Olivier (3) Simbole de Paix, quelle semble presenter à toutes les autres Réligions qui voudrons entrer dans son sein. L'EMPIRE ROMAIN, sur les débris duquel elle s'est élevée, paroit abatu sous ses pieds, tenant encore le Globe marqué de l'Autorité Imperiale, que la Supe[c]rtition lui enleve pour en revêtire le PONTIFE ROMAIN. a sa suite on voit les Macération et les Austerité. Un peu plus haut un Jesuite presente la BULLE UNIGÉNITUS à un Evêque, qui par son action semble la refuser. le Cardinal qui est à côté de lui paroit en balance s'il acceptera! entre ces deux dernier paroit l'Evêque de Sebaste. Un Rabin rénversé tenant le PENTATEUQUE est foulé au pieds par l'Eglise Romaine, le Patriache des Grecs qui est devant elle, semble reconnoitre son autorité. (4) Derriere eûx on voit des Evêque[s], et des Moines de tous Ordres, entre lesquels on distingue un Dominiquain tenant l'Etendart de l'Inquisition. La RÉ=FORMATION, montrant d'une main la BIBLE, tenant de l'autre un Serpette et embrassant l'Arbre (5) dont elle a émondé les Branches inutiles, a autour d'elle tous les Réformateurs. (6) Au bas sur le devan[t] du Tableau ALI Successeur de MAHOMET explique L'ALCORAN aux divers Peuples qui ont embrassé la Réligion Mahométane. (7) A droite le lointain represente les Pagottes et les Dieux des Indes Orientales, et a gauche ceux des Indes Occidentales. Dans le plus profond éloignemênt on voit quelques Idoles des Lapons, &c.1 L'Eglise Romaine veut qu'on s'y raporte entierement en matiere de foi2 L'Eglise Romaine est placé sur des éminances par raport aux 7. montagnes sur laquelle la Ville de Rome est batie. dans le Souterain desdittes montagnes on voit le Purgatoire.3 Une petite Coul[eu]vre qu'on voit Serpenter dans le Rameau, et la chaine qui'y pend font con-noitre que sa douceur apparente cache toujours quelque venin et que l'esclavage est tout ce qu'on en doit attendre.4 Son masque cache un souris malin, qui fait voir qu'il n'ia que l'interest qui l'engage a cet hommage forcé.5. L'Arbre represente la Réligion Chrétienne, dont la Reformation à retranché les Ceremo-nies et les abus figurées par les branches mortes6. Savoir Luther, Calvin, Melaneton, Jean Uus, Zwing, le Pierre Martir, et Martin Bucer, A droite de la Réligion chrétienne on voit Henri VIII et a sa gauche Kramer Auteurs de la Réformation d'Angleterre derriere Calvin, Arminius, et plus bas un Quaacker son Cha-peau sur la teste a côté Menno Simons bâtisant un Adulte, c'est le chef des Ménnonites qu'on nomme par abus Anabatistes.Savoir Turcs, Algeriens, Mores, Tartares, Arabes, Persans. Le Persans tien une table sur laqulle sont les Articles fondamenteaux de la Réligion Mahométane. on voit derrier lui le Chameau qu'ils Sacrifient tous les Ans.Voyez chardin du Sacrifce du Chameau.B. Picart inventit et fecit 1727","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000n90rm",""
"Picart (Bernard) Collection","ark:/21198/zz000n90s4","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000n90s4-1-master.tif","","","10","","","text","","","","","","frontispiece verso","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000n90s4",""
