Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Subject,Type.genre,Language,Name.editor,Name.engraver,Title,Relation.rectoVerso,Relation.pageNumber,Description.note,Source,Relation.isPartOf,Alt ID.local,Date.normalized,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Date.creation,Format.dimensions,Description.tableOfContents,Alt ID.oclc,AltTitle.uniform,AltTitle.inscribed,Relation.hasPart,Name.printer,Name.illustrator,Rights.copyrightStatus,Bucketeer State,IIIF Access URL
Picart (Bernard) Collection,ark:/21198/zz001hd87s,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd87s-1-master.tif,1,,,text,,,,,,front cover,r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd87s
Picart (Bernard) Collection,ark:/21198/zz001hd868,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd868-1-master.tif,2,,,text|~|still image,,,,,,inside front cover,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd868
Picart (Bernard) Collection,ark:/21198/zz001hd889,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd889-1-master.tif,3,,,text,,,,,,blank page,r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd889
Picart (Bernard) Collection,ark:/21198/zz001hd89t,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd89t-1-master.tif,4,,,text,,,,,,blank page,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd89t
Picart (Bernard) Collection,ark:/21198/zz001hd8bb,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd8bb-1-master.tif,5,,,text,,,,,,title page (1),r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd8bb
Picart (Bernard) Collection,ark:/21198/zz001hd8cv,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd8cv-1-master.tif,6,,,text,,,,,,blank page,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd8cv
Picart (Bernard) Collection,ark:/21198/zz001hd8dc,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd8dc-1-master.tif,7,,,text|~|still image,,,,,,TABLEAU DES PRINCIPALES RELIGIONS du MONDE,r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd8dc
Picart (Bernard) Collection,ark:/21198/zz001hd8fw,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd8fw-1-master.tif,8,,,text|~|still image,,,,,,blank page,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd8fw
Picart (Bernard) Collection,ark:/21198/zz001hd8gd,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd8gd-1-master.tif,9,,,text|~|still image,,,,,,Exploranda est Veritas multum prisus.,r,,Quam stulta prave judicet Sententia.  PHAENE,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd8gd
Picart (Bernard) Collection,ark:/21198/zz001hd8hx,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd8hx-1-master.tif,10,,,text,,,,,,blank page,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd8hx
Picart (Bernard) Collection,ark:/21198/zz001hd8jf,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd8jf-1-master.tif,11,,,text|~|still image,,,,,,front matter i,r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd8jf
