Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Visibility,Item Sequence,Duplicate,Delete in Title,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Name.subject,Rights.rightsHolderContact,Name.photographer,Relation.isPartOf,Name.repository,Title,Format.dimensions,Alt ID.local,Format.extent,Date.creation,Description.note,Date.normalized,Format.medium,Finding Aid URL,AltTitle.other,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Picture Collection.  Collection 99,ark:/21198/zz0008bd1f,,2,Completed,Collection,,,,,,,,,,,,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Picture collection, 1890-1980s",,Collection 99,,-1890,,1890/9999,,http://www.oac.cdlib.org/findaid/ark:/13030/kt5199n9mk,Picture Collection,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233586,,,http://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0008bd1f
Picture Collection.  Collection 99,ark:/21198/zz00093fw4,ark:/21198/zz0008bd1f,2,Completed,Work,picturecollection99/masters/21198-zz00093fw4-1-master.tif,,,,,Black-and-white photographs|~|Panoramic photographs,still image,unknown,Mount Lowe Railway,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Mount Lowe, trolley rounding curve [color scan]",10 x 23 cm. (4 x 9 in.),clus_99_mountlowe_trolleyoncurve,1 photographic print,n.d.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093fw4,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093fw4/manifest
Picture Collection.  Collection 99,ark:/21198/zz00093fxn,ark:/21198/zz0008bd1f,2,Completed,Work,picturecollection99/masters/21198-zz00093fxn-1-master.tif,,,,,Black-and-white photographs,still image,unknown,Mount Lowe Railway,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Mount Lowe, searchlight",20 x 13 cm. (8 x 5 in.),clus_99_mountlowe_searchlight,1 photographic print,n.d.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093fxn,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093fxn/manifest
Picture Collection.  Collection 99,ark:/21198/zz00093fz5,ark:/21198/zz0008bd1f,2,Completed,Work,picturecollection99/masters/21198-zz00093fz5-1-master.tif,,,,,Black-and-white photographs|~|Panoramic photographs,still image,unknown,Mount Lowe Railway,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Mount Lowe, panoramic [color scan]",10 x 25 cm. (4 x 10 in.),clus_99_mountlowe_panoramic,1 photographic print,n.d.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093fz5,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093fz5/manifest
Picture Collection.  Collection 99,ark:/21198/zz00093g05,ark:/21198/zz0008bd1f,2,Completed,Work,picturecollection99/masters/21198-zz00093g05-1-master.tif,,,,,Black-and-white photographs,still image,,Mount Lowe Railway,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Mount Lowe, Echo Trolley [photograph on mount] [color scan]",Mount: 18 x 25 cm. (7 x 10 in.),clus_99_mountlowe_echotrolley_1,1 photographic print on mount,n.d.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093g05,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093g05/manifest
Picture Collection.  Collection 99,ark:/21198/zz00093g26,ark:/21198/zz0008bd1f,2,Completed,Work,picturecollection99/masters/21198-zz00093g26-1-master.tif,,,,,Black-and-white photographs,still image,,Elsinore Naval and Military School (Calif.),"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Elisnore Naval and Military Academy, view from street [view 1]",18 x 13 cm. (6.5 x 4.5 in.),clus_99_elsinore_002,1 photographic print,n.d.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093g26,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093g26/manifest
Picture Collection.  Collection 99,ark:/21198/zz00093g3q,ark:/21198/zz0008bd1f,2,Completed,Work,picturecollection99/masters/21198-zz00093g3q-1-master.tif,,,,,Black-and-white photographs,still image,unknown,"Stein, Gertrude, 1874-1946","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Gertrude Stein, with two service women and one man during WWII in France [color scan]",23 x 18 cm. (9 x 7 in.),clus_99_steinGertrude_002,1 photographic print,circa 1941-1945,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093g3q,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093g3q/manifest
Picture Collection.  Collection 99,ark:/21198/zz00093g5r,ark:/21198/zz0008bd1f,2,Completed,Work,picturecollection99/masters/21198-zz00093g5r-1-master.tif,,,,,photographs|~|Portrait photographs,still image,unknown,"McWilliams, Carey, 1905-","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Carey Mc Williams, portrait 3/4 lenght hands in pockets [color scan]",,clus_99_mcwilliams_carey_01,,n.d.,"Original photograph not found in folder, only b/w copy of original with note reading ""Will Connell?""",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093g5r,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093g5r/manifest
Picture Collection.  Collection 99,ark:/21198/zz00093g68,ark:/21198/zz0008bd1f,2,Completed,Work,picturecollection99/masters/21198-zz00093g68-1-master.tif,,,,,Black-and-white photographs,still image,unknown,"Stein, Gertrude, 1874-1946","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Gertrude Stein, meeting with servicemen during WWII in France [color scan]",20 x 25 cm. (8 x 10 in.),clus_99_steinGertrude_001,1 photographic print,circa 1941-1945,Gift of L.C. Powell.,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093g68,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093g68/manifest
Picture Collection.  Collection 99,ark:/21198/zz00093g7s,ark:/21198/zz0008bd1f,2,Completed,Work,picturecollection99/masters/21198-zz00093g7s-1-master.tif,,,,,Black-and-white photographs,still image,unknown,Elsinore Naval and Military School (Calif.),"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Elisnore Naval and Military Academy, driveway",15 x 10 cm. (6 x 4 in.),clus_99_elsinore_003,1 photographic print,n.d.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093g7s,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093g7s/manifest
Picture Collection.  Collection 99,ark:/21198/zz00093g89,ark:/21198/zz0008bd1f,2,Completed,Work,picturecollection99/masters/21198-zz00093g89-1-master.tif,,,,,Black-and-white photographs,still image,,San Diego Mission ,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Missions, San Diego de Alcala, rededication procession",14 x 9 cm. (5.5 x 3.5 in.),clus_99_mission_sanDiego_views_002,1 photographic print,"September 13, 1931",,1931-09-13,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093g89,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093g89/manifest
Picture Collection.  Collection 99,ark:/21198/zz00093g9t,ark:/21198/zz0008bd1f,2,Completed,Work,picturecollection99/masters/21198-zz00093g9t-1-master.tif,,,,,Black-and-white photographs,still image,unknown,San Diego Mission ,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Missions, San Diego de Alcala, rededication procession, Reverend Fumasoni-Biondi",14 x 9 cm. (5.5 x 3.5 in.),clus_99_mission_sanDiego_views_003,1 photographic print,"September 13, 1931",,1931-09-13,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093g9t,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093g9t/manifest
Picture Collection.  Collection 99,ark:/21198/zz00093gbb,ark:/21198/zz0008bd1f,2,Completed,Work,picturecollection99/masters/21198-zz00093gbb-1-master.tif,,,,,Black-and-white photographs,still image,unknown,Elsinore Naval and Military School (Calif.),"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Elisnore Naval and Military Academy, view from street [view 1]",15 x 10 cm. (6 x 4 in.),clus_99_elsinore_001,1 photographic print,n.d.,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093gbb,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093gbb/manifest
Picture Collection.  Collection 99,ark:/21198/zz00093ggd,ark:/21198/zz0008bd1f,2,Completed,Work,picturecollection99/masters/21198-zz00093ggd-1-master.tif,,,,,Black-and-white photographs|~|Architectural photographs,still image,unknown,San Diego Mission ,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Missions, San Diego de Alcala, reconstruction, remains of two standing walls before reconstruction, 1920",14 x 9 cm. (5.5 x 3.5 in.),clus_99_mission_sanDiego_reconstruction_001,1 photographic print,1920,,1920,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093ggd,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093ggd/manifest
