"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Author","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Type.genre","Language","Rights.publicationStatus","Subject","Relation.isPartOf","Name.subject","Name.illustrator","Name.creator","Name.photographer","Coverage.geographic","Name.repository","Name.engraver","Name.printer","Title","Description.note","Alt ID.local","Date.normalized","Date.creation","AltTitle.other","Description.caption","Format.dimensions","Format.extent","Description.contents","Publisher.placeOfOrigin","Alt ID.oclc","Publisher.publisherName","Description.caption","AltTitle.translated","Opac url","AltTitle.uniform","Description.tableOfContents","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Rare Books (YRL Special Collections)","ark:/21198/zz0009cnv3","ark:/21198/zz0009b8h5","2","Completed","Page","rarebook/masters/srgb/21198-zz0009cnv3-1-master.tif","1","","","","","","","private","","cartographic","","census maps","","","","","","","","","","","","","Distribution of Chinese, U.S. Census data, 1940 [Los Angeles, Calif.]","","uclamss_HB3037_L7A5_1940_1","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009cnv3",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009cnwm","ark:/21198/zz0009b8h5","2","Completed","Page","rarebook/masters/srgb/21198-zz0009cnwm-1-master.tif","2","","","","","","","private","","cartographic","","census maps","","","","","","","","","","","","","Distribution of Filipinos, U.S. Census data, 1940 [Los Angeles, Calif.]","","uclamss_HB3037_L7A5_1940_2","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009cnwm",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009cnx4","ark:/21198/zz0009b8h5","2","Completed","Page","rarebook/masters/srgb/21198-zz0009cnx4-1-master.tif","3","","","","","","","private","","cartographic","","census maps","","","","","","","","","","","","","Distribution of foreign born from Asia, U.S. Census data, 1940 [Los Angeles, Calif.]","","uclamss_HB3037_L7A5_1940_3","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009cnx4",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009cnzn","ark:/21198/zz0009b8h5","2","Completed","Page","rarebook/masters/srgb/21198-zz0009cnzn-1-master.tif","4","","","","","","","private","","cartographic","","census maps","","","","","","","","","","","","","Distribution of foreign born from Austria, German, Hungary, U.S. Census data, 1940 [Los Angeles, Calif.]","","uclamss_HB3037_L7A5_1940_4","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009cnzn",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009cp0n","ark:/21198/zz0009b8h5","2","Completed","Page","rarebook/masters/srgb/21198-zz0009cp0n-1-master.tif","5","","","","","","","private","","cartographic","","census maps","","","","","","","","","","","","","Distribution of foreign born from British Isles, U.S. Census data, 1940 [Los Angeles, Calif.]","","uclamss_HB3037_L7A5_1940_5","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009cp0n",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009cp15","ark:/21198/zz0009b8h5","2","Completed","Page","rarebook/masters/srgb/21198-zz0009cp15-1-master.tif","6","","","","","","","private","","cartographic","","census maps","","","","","","","","","","","","","Distribution of foreign born Canadians, U.S. Census data, 1940 [Los Angeles, Calif.]","","uclamss_HB3037_L7A5_1940_6","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009cp15",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009cp2p","ark:/21198/zz0009b8h5","2","Completed","Page","rarebook/masters/srgb/21198-zz0009cp2p-1-master.tif","7","","","","","","","private","","cartographic","","census maps","","","","","","","","","","","","","Distribution of foreign born from France, Belgium, Switzerland, Netherlands, U.S. Census data, 1940","","uclamss_HB3037_L7A5_1940_7","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009cp2p",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009cp36","ark:/21198/zz0009b8h5","2","Completed","Page","rarebook/masters/srgb/21198-zz0009cp36-1-master.tif","8","","","","","","","private","","cartographic","","census maps","","","","","","","","","","","","","Distribution of foreign born from Greece, Rumania, U.S. Census data, 1940 [Los Angeles, Calif.]","","uclamss_HB3037_L7A5_1940_8","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009cp36",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009cp4q","ark:/21198/zz0009b8h5","2","Completed","Page","rarebook/masters/srgb/21198-zz0009cp4q-1-master.tif","9","","","","","","","private","","cartographic","","census maps","","","","","","","","","","","","","Distribution of foreign born Mexicans, U.S. Census data, 1940 : (Note: not including non-white) [Los Angeles, Calif.]","","uclamss_HB3037_L7A5_1940_9","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009cp4q",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009cp57","ark:/21198/zz0009b8h5","2","Completed","Page","rarebook/masters/srgb/21198-zz0009cp57-1-master.tif","10","","","","","","","private","","cartographic","","census maps","","","","","","","","","","","","","Distribution of foreign born from Norway, Sweden, Denmark, U.S. Census data, 1940 [Los Angeles, Calif.]","","uclamss_HB3037_L7A5_1940_10","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009cp57",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009cp6r","ark:/21198/zz0009b8h5","2","Completed","Page","rarebook/masters/srgb/21198-zz0009cp6r-1-master.tif","11","","","","","","","private","","cartographic","","census maps","","","","","","","","","","","","","Distribution of foreign born from Poland, Yugoslavia, Czechoslovakia, U.S. Census data, 1940","","uclamss_HB3037_L7A5_1940_11","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009cp6r",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009cp78","ark:/21198/zz0009b8h5","2","Completed","Page","rarebook/masters/srgb/21198-zz0009cp78-1-master.tif","12","","","","","","","private","","cartographic","","census maps","","","","","","","","","","","","","Distribution of foreign born from Russia, Finland, Lithuania, U.S. Census data, 1940 [Los Angeles, Calif.]","","uclamss_HB3037_L7A5_1940_12","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009cp78",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009cp8s","ark:/21198/zz0009b8h5","2","Completed","Page","rarebook/masters/srgb/21198-zz0009cp8s-1-master.tif","13","","","","","","","private","","cartographic","","census maps","","","","","","","","","","","","","Distribution of Japanese, U.S. Census data, 1940 [Los Angeles, Calif.]","","uclamss_HB3037_L7A5_1940_13","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009cp8s",""
"Rare Books (YRL Special Collections)","ark:/21198/zz0009cp99","ark:/21198/zz0009b8h5","2","Completed","Page","rarebook/masters/srgb/21198-zz0009cp99-1-master.tif","14","","","","","","","private","","cartographic","","census maps","","","","","","","","","","","","","Distribution of Negroes, U.S. Census data, 1940","","uclamss_HB3037_L7A5_1940_14","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009cp99",""
