"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Description.note","Title","Relation.isPartOf","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Rochlin (Harriet) Collection of Photographs of Western Jewish Life. Collection 441","ark:/21198/zz0013zn58","","2","Completed","Collection","","","","","","","Rochlin (Harriet) Collection of Photographs of Western Jewish Life. Collection 441","","","","http://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0013zn58"
"Rochlin (Harriet) Collection of Photographs of Western Jewish Life. Collection 441","ark:/21198/zz0013znhf","ark:/21198/zz0013zn58","2","Completed","Work","rochlin/masters/21198-zz0013znhf_767986_master.tif","1","","","still image","Portrait of Cruz Montoya, mother of Charles Lesinsky II and mistress of Charles Lesinsky Sr.Photograph taken in Clifton, AZ.","""Grandma"" Cruz Montoya","Rochlin (Harriet) Collection of Photographs of Western Jewish Life. Collection 441","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013znhf","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013znhf/manifest"
"Rochlin (Harriet) Collection of Photographs of Western Jewish Life. Collection 441","ark:/21198/zz001d5xd5","ark:/21198/zz0013zn58","1","In progress","Work","rochlin/masters/21198-zz001d5xd5_768004_master.tif","2","","","","","C441_b1_f(15)_Cruz Montoya young.tif","Rochlin (Harriet) Collection of Photographs of Western Jewish Life. Collection 441","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5xd5","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d5xd5/manifest"
"Rochlin (Harriet) Collection of Photographs of Western Jewish Life. Collection 441","ark:/21198/zz001d5xfp","ark:/21198/zz0013zn58","1","In progress","Work","rochlin/masters/21198-zz001d5xfp_768014_master.tif","3","","","","","C441_b1_f(15)_Lesinsky II.tif","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5xfp","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d5xfp/manifest"
"Rochlin (Harriet) Collection of Photographs of Western Jewish Life. Collection 441","ark:/21198/zz001d5xg6","ark:/21198/zz0013zn58","1","In progress","Work","rochlin/masters/21198-zz001d5xg6_768025_master.tif","4","","","","","C441_b1_f(16)_Henry Lesinsky.tif","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5xg6","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d5xg6/manifest"
"Rochlin (Harriet) Collection of Photographs of Western Jewish Life. Collection 441","ark:/21198/zz001d5xhq","ark:/21198/zz0013zn58","1","In progress","Work","rochlin/masters/21198-zz001d5xhq_768037_master.tif","5","","","","","C441_b1_f(16)_Lesinsky Sr.tif","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5xhq","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d5xhq/manifest"
"Rochlin (Harriet) Collection of Photographs of Western Jewish Life. Collection 441","ark:/21198/zz001d5xj7","ark:/21198/zz0013zn58","1","In progress","Work","rochlin/masters/21198-zz001d5xj7_768051_master.tif","6","","","","","c441_b3_f(19)_Charles Moses Strauss and son.tif","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5xj7","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d5xj7/manifest"
"Rochlin (Harriet) Collection of Photographs of Western Jewish Life. Collection 441","ark:/21198/zz001d5xkr","ark:/21198/zz0013zn58","1","In progress","Work","rochlin/masters/21198-zz001d5xkr_768060_master.tif","7","","","","","c441_b4_f(5)_Harris and Rifle Club.tif","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5xkr","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d5xkr/manifest"
"Rochlin (Harriet) Collection of Photographs of Western Jewish Life. Collection 441","ark:/21198/zz001d5xm8","ark:/21198/zz0013zn58","1","In progress","Work","rochlin/masters/21198-zz001d5xm8_768066_master.tif","8","","","","","c441_b4_f(5-Emil Harris)_Harris.tif","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5xm8","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d5xm8/manifest"
"Rochlin (Harriet) Collection of Photographs of Western Jewish Life. Collection 441","ark:/21198/zz001d5xns","ark:/21198/zz0013zn58","1","In progress","Work","rochlin/masters/21198-zz001d5xns_768072_master.tif","9","","","","","c441_b4_f(5-Emil Harris)_Rifle Club crop.tif","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5xns","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d5xns/manifest"
"Rochlin (Harriet) Collection of Photographs of Western Jewish Life. Collection 441","ark:/21198/zz001d5xp9","ark:/21198/zz0013zn58","1","In progress","Work","rochlin/masters/21198-zz001d5xp9_768075_master.tif","10","","","","","c441_b4_f(5-Emil Harris)_Rifle Club neg.tif","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5xp9","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d5xp9/manifest"
"Rochlin (Harriet) Collection of Photographs of Western Jewish Life. Collection 441","ark:/21198/zz001d5xqt","ark:/21198/zz0013zn58","1","In progress","Work","rochlin/masters/21198-zz001d5xqt_768084_master.tif","11","","","","","c441_b4_f(5-Emil Harris)_Rifle Club.tif","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5xqt","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d5xqt/manifest"
"Rochlin (Harriet) Collection of Photographs of Western Jewish Life. Collection 441","ark:/21198/zz001d5xrb","ark:/21198/zz0013zn58","1","In progress","Work","rochlin/masters/21198-zz001d5xrb_768093_master.tif","12","","","","","c441_b4_f(11)_Farmers and Merchants Bank.tif","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d5xrb","http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d5xrb/manifest"
