"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Description.caption","Date.normalized","Description.abstract","Description.creation","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00154pv5","ark:/21198/zz00154n9d","2","Completed","Page","scwu/images/masters/21198-zz00154pv5-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00154pv5",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00154pwp","ark:/21198/zz00154n9d","2","Completed","Page","scwu/images/masters/21198-zz00154pwp-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00154pwp",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00154px6","ark:/21198/zz00154n9d","2","Completed","Page","scwu/images/masters/21198-zz00154px6-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00154px6",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00154pzq","ark:/21198/zz00154n9d","2","Completed","Page","scwu/images/masters/21198-zz00154pzq-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00154pzq",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00154q0q","ark:/21198/zz00154n9d","2","Completed","Page","scwu/images/masters/21198-zz00154q0q-1-master.tif","5","","","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00154q0q",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00154q17","ark:/21198/zz00154n9d","2","Completed","Page","scwu/images/masters/21198-zz00154q17-1-master.tif","6","","","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00154q17",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00154q2r","ark:/21198/zz00154n9d","2","Completed","Page","scwu/images/masters/21198-zz00154q2r-1-master.tif","7","","","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00154q2r",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00154q38","ark:/21198/zz00154n9d","2","Completed","Page","scwu/images/masters/21198-zz00154q38-1-master.tif","8","","","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00154q38",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00154q4s","ark:/21198/zz00154n9d","2","Completed","Page","scwu/images/masters/21198-zz00154q4s-1-master.tif","9","","","","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00154q4s",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00154q59","ark:/21198/zz00154n9d","2","Completed","Page","scwu/images/masters/21198-zz00154q59-1-master.tif","10","","","","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00154q59",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00154q6t","ark:/21198/zz00154n9d","2","Completed","Page","scwu/images/masters/21198-zz00154q6t-1-master.tif","11","","","","","","","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00154q6t",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00154q7b","ark:/21198/zz00154n9d","2","Completed","Page","scwu/images/masters/21198-zz00154q7b-1-master.tif","12","","","","","","","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00154q7b",""
