"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Description.caption","Date.normalized","Description.abstract","Description.creation","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001550x0","ark:/21198/zz001550vz","2","Completed","Page","scwu/images/masters/21198-zz001550x0-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001550x0",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001551mt","ark:/21198/zz001550vz","2","Completed","Page","scwu/images/masters/21198-zz001551mt-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001551mt",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001551nb","ark:/21198/zz001550vz","2","Completed","Page","scwu/images/masters/21198-zz001551nb-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001551nb",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001551pv","ark:/21198/zz001550vz","2","Completed","Page","scwu/images/masters/21198-zz001551pv-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001551pv",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001551qc","ark:/21198/zz001550vz","2","Completed","Page","scwu/images/masters/21198-zz001551qc-1-master.tif","5","","","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001551qc",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001551rw","ark:/21198/zz001550vz","2","Completed","Page","scwu/images/masters/21198-zz001551rw-1-master.tif","6","","","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001551rw",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001551sd","ark:/21198/zz001550vz","2","Completed","Page","scwu/images/masters/21198-zz001551sd-1-master.tif","7","","","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001551sd",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001551tx","ark:/21198/zz001550vz","2","Completed","Page","scwu/images/masters/21198-zz001551tx-1-master.tif","8","","","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001551tx",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001551vf","ark:/21198/zz001550vz","2","Completed","Page","scwu/images/masters/21198-zz001551vf-1-master.tif","9","","","","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001551vf",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001551wz","ark:/21198/zz001550vz","2","Completed","Page","scwu/images/masters/21198-zz001551wz-1-master.tif","10","","","","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001551wz",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001551xg","ark:/21198/zz001550vz","2","Completed","Page","scwu/images/masters/21198-zz001551xg-1-master.tif","11","","","","","","","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001551xg",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001551z0","ark:/21198/zz001550vz","2","Completed","Page","scwu/images/masters/21198-zz001551z0-1-master.tif","12","","","","","","","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001551z0",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155200","ark:/21198/zz001550vz","2","Completed","Page","scwu/images/masters/21198-zz00155200-1-master.tif","13","","","","","","","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155200",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015521h","ark:/21198/zz001550vz","2","Completed","Page","scwu/images/masters/21198-zz0015521h-1-master.tif","14","","","","","","","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015521h",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155221","ark:/21198/zz001550vz","2","Completed","Page","scwu/images/masters/21198-zz00155221-1-master.tif","15","","","","","","","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155221",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015523j","ark:/21198/zz001550vz","2","Completed","Page","scwu/images/masters/21198-zz0015523j-1-master.tif","16","","","","","","","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015523j",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155242","ark:/21198/zz001550vz","2","Completed","Page","scwu/images/masters/21198-zz00155242-1-master.tif","17","","","","","","","","","","","","","","","","","","","","","","","","","Page 17","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155242",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015525k","ark:/21198/zz001550vz","2","Completed","Page","scwu/images/masters/21198-zz0015525k-1-master.tif","18","","","","","","","","","","","","","","","","","","","","","","","","","Page 18","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015525k",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155263","ark:/21198/zz001550vz","2","Completed","Page","scwu/images/masters/21198-zz00155263-1-master.tif","19","","","","","","","","","","","","","","","","","","","","","","","","","Page 19","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155263",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015527m","ark:/21198/zz001550vz","2","Completed","Page","scwu/images/masters/21198-zz0015527m-1-master.tif","20","","","","","","","","","","","","","","","","","","","","","","","","","Page 20","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015527m",""
