"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Description.caption","Date.normalized","Description.abstract","Description.creation","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001557tt","ark:/21198/zz001557s9","2","Completed","Page","scwu/images/masters/21198-zz001557tt-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001557tt",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001557vb","ark:/21198/zz001557s9","2","Completed","Page","scwu/images/masters/21198-zz001557vb-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001557vb",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001557wv","ark:/21198/zz001557s9","2","Completed","Page","scwu/images/masters/21198-zz001557wv-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001557wv",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001557xc","ark:/21198/zz001557s9","2","Completed","Page","scwu/images/masters/21198-zz001557xc-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001557xc",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001557zw","ark:/21198/zz001557s9","2","Completed","Page","scwu/images/masters/21198-zz001557zw-1-master.tif","5","","","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001557zw",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015580w","ark:/21198/zz001557s9","2","Completed","Page","scwu/images/masters/21198-zz0015580w-1-master.tif","6","","","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015580w",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015581d","ark:/21198/zz001557s9","2","Completed","Page","scwu/images/masters/21198-zz0015581d-1-master.tif","7","","","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015581d",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015582x","ark:/21198/zz001557s9","2","Completed","Page","scwu/images/masters/21198-zz0015582x-1-master.tif","8","","","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015582x",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015583f","ark:/21198/zz001557s9","2","Completed","Page","scwu/images/masters/21198-zz0015583f-1-master.tif","9","","","","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015583f",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015584z","ark:/21198/zz001557s9","2","Completed","Page","scwu/images/masters/21198-zz0015584z-1-master.tif","10","","","","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015584z",""
