"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Description.caption","Date.normalized","Description.abstract","Description.creation","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155cx9","ark:/21198/zz00155c6f","2","Completed","Page","scwu/images/masters/21198-zz00155cx9-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155cx9",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155czt","ark:/21198/zz00155c6f","2","Completed","Page","scwu/images/masters/21198-zz00155czt-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155czt",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155d0t","ark:/21198/zz00155c6f","2","Completed","Page","scwu/images/masters/21198-zz00155d0t-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155d0t",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155d1b","ark:/21198/zz00155c6f","2","Completed","Page","scwu/images/masters/21198-zz00155d1b-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155d1b",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155d2v","ark:/21198/zz00155c6f","2","Completed","Page","","5","","","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","missing","",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155d3c","ark:/21198/zz00155c6f","2","Completed","Page","scwu/images/masters/21198-zz00155d3c-1-master.tif","6","","","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155d3c",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155d4w","ark:/21198/zz00155c6f","2","Completed","Page","scwu/images/masters/21198-zz00155d4w-1-master.tif","7","","","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155d4w",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155d5d","ark:/21198/zz00155c6f","2","Completed","Page","scwu/images/masters/21198-zz00155d5d-1-master.tif","8","","","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155d5d",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155d6x","ark:/21198/zz00155c6f","2","Completed","Page","scwu/images/masters/21198-zz00155d6x-1-master.tif","9","","","","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155d6x",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155d7f","ark:/21198/zz00155c6f","2","Completed","Page","scwu/images/masters/21198-zz00155d7f-1-master.tif","10","","","","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155d7f",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155d8z","ark:/21198/zz00155c6f","2","Completed","Page","scwu/images/masters/21198-zz00155d8z-1-master.tif","11","","","","","","","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155d8z",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155d9g","ark:/21198/zz00155c6f","2","Completed","Page","","12","","","","","","","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","","","missing","",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155db0","ark:/21198/zz00155c6f","2","Completed","Page","scwu/images/masters/21198-zz00155db0-1-master.tif","13","","","","","","","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155db0",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155dch","ark:/21198/zz00155c6f","2","Completed","Page","scwu/images/masters/21198-zz00155dch-1-master.tif","14","","","","","","","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155dch",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155dd1","ark:/21198/zz00155c6f","2","Completed","Page","scwu/images/masters/21198-zz00155dd1-1-master.tif","15","","","","","","","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155dd1",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155dfj","ark:/21198/zz00155c6f","2","Completed","Page","scwu/images/masters/21198-zz00155dfj-1-master.tif","16","","","","","","","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155dfj",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155dg2","ark:/21198/zz00155c6f","2","Completed","Page","scwu/images/masters/21198-zz00155dg2-1-master.tif","17","","","","","","","","","","","","","","","","","","","","","","","","","Page 17","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155dg2",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155dhk","ark:/21198/zz00155c6f","2","Completed","Page","scwu/images/masters/21198-zz00155dhk-1-master.tif","18","","","","","","","","","","","","","","","","","","","","","","","","","Page 18","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155dhk",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155dj3","ark:/21198/zz00155c6f","2","Completed","Page","scwu/images/masters/21198-zz00155dj3-1-master.tif","19","","","","","","","","","","","","","","","","","","","","","","","","","Page 19","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155dj3",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155dkm","ark:/21198/zz00155c6f","2","Completed","Page","scwu/images/masters/21198-zz00155dkm-1-master.tif","20","","","","","","","","","","","","","","","","","","","","","","","","","Page 20","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155dkm",""
