"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Description.caption","Date.normalized","Description.abstract","Description.creation","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155rkf","ark:/21198/zz00155rjx","2","Completed","Page","scwu/images/masters/21198-zz00155rkf-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155rkf",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155rmz","ark:/21198/zz00155rjx","2","Completed","Page","scwu/images/masters/21198-zz00155rmz-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155rmz",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155rng","ark:/21198/zz00155rjx","2","Completed","Page","scwu/images/masters/21198-zz00155rng-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155rng",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155rp0","ark:/21198/zz00155rjx","2","Completed","Page","scwu/images/masters/21198-zz00155rp0-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155rp0",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155rqh","ark:/21198/zz00155rjx","2","Completed","Page","scwu/images/masters/21198-zz00155rqh-1-master.tif","5","","","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155rqh",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155rr1","ark:/21198/zz00155rjx","2","Completed","Page","scwu/images/masters/21198-zz00155rr1-1-master.tif","6","","","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155rr1",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155rsj","ark:/21198/zz00155rjx","2","Completed","Page","scwu/images/masters/21198-zz00155rsj-1-master.tif","7","","","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155rsj",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155rt2","ark:/21198/zz00155rjx","2","Completed","Page","scwu/images/masters/21198-zz00155rt2-1-master.tif","8","","","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155rt2",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155rvk","ark:/21198/zz00155rjx","2","Completed","Page","scwu/images/masters/21198-zz00155rvk-1-master.tif","9","","","","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155rvk",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155rw3","ark:/21198/zz00155rjx","2","Completed","Page","scwu/images/masters/21198-zz00155rw3-1-master.tif","10","","","","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155rw3",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155rxm","ark:/21198/zz00155rjx","2","Completed","Page","scwu/images/masters/21198-zz00155rxm-1-master.tif","11","","","","","","","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155rxm",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155rz4","ark:/21198/zz00155rjx","2","Completed","Page","scwu/images/masters/21198-zz00155rz4-1-master.tif","12","","","","","","","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155rz4",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155s04","ark:/21198/zz00155rjx","2","Completed","Page","scwu/images/masters/21198-zz00155s04-1-master.tif","13","","","","","","","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155s04",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155s1n","ark:/21198/zz00155rjx","2","Completed","Page","scwu/images/masters/21198-zz00155s1n-1-master.tif","14","","","","","","","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155s1n",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155s25","ark:/21198/zz00155rjx","2","Completed","Page","scwu/images/masters/21198-zz00155s25-1-master.tif","15","","","","","","","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155s25",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155s3p","ark:/21198/zz00155rjx","2","Completed","Page","scwu/images/masters/21198-zz00155s3p-1-master.tif","16","","","","","","","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155s3p",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155s46","ark:/21198/zz00155rjx","2","Completed","Page","scwu/images/masters/21198-zz00155s46-1-master.tif","17","","","","","","","","","","","","","","","","","","","","","","","","","Page 17","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155s46",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155s5q","ark:/21198/zz00155rjx","2","Completed","Page","scwu/images/masters/21198-zz00155s5q-1-master.tif","18","","","","","","","","","","","","","","","","","","","","","","","","","Page 18","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155s5q",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155s67","ark:/21198/zz00155rjx","2","Completed","Page","scwu/images/masters/21198-zz00155s67-1-master.tif","19","","","","","","","","","","","","","","","","","","","","","","","","","Page 19","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155s67",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00155s7r","ark:/21198/zz00155rjx","2","Completed","Page","scwu/images/masters/21198-zz00155s7r-1-master.tif","20","","","","","","","","","","","","","","","","","","","","","","","","","Page 20","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00155s7r",""
