"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Description.caption","Date.normalized","Description.abstract","Description.creation","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001562zx","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz001562zx-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001562zx",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015632z","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz0015632z-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015632z",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015633g","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz0015633g-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015633g",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00156340","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz00156340-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00156340",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015635h","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz0015635h-1-master.tif","5","","","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015635h",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00156361","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz00156361-1-master.tif","6","","","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00156361",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015637j","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz0015637j-1-master.tif","7","","","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015637j",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz00156382","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz00156382-1-master.tif","8","","","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00156382",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015639k","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz0015639k-1-master.tif","9","","","","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015639k",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001563b3","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz001563b3-1-master.tif","10","","","","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001563b3",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001563cm","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz001563cm-1-master.tif","11","","","","","","","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001563cm",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001563d4","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz001563d4-1-master.tif","12","","","","","","","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001563d4",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001563fn","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz001563fn-1-master.tif","13","","","","","","","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001563fn",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001563g5","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz001563g5-1-master.tif","14","","","","","","","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001563g5",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001563hp","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz001563hp-1-master.tif","15","","","","","","","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001563hp",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001563j6","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz001563j6-1-master.tif","16","","","","","","","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001563j6",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001563kq","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz001563kq-1-master.tif","17","","","","","","","","","","","","","","","","","","","","","","","","","Page 17","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001563kq",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001563m7","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz001563m7-1-master.tif","18","","","","","","","","","","","","","","","","","","","","","","","","","Page 18","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001563m7",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001563nr","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz001563nr-1-master.tif","19","","","","","","","","","","","","","","","","","","","","","","","","","Page 19","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001563nr",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001563p8","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz001563p8-1-master.tif","20","","","","","","","","","","","","","","","","","","","","","","","","","Page 20","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001563p8",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001563qs","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz001563qs-1-master.tif","21","","","","","","","","","","","","","","","","","","","","","","","","","Page 21","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001563qs",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001563r9","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz001563r9-1-master.tif","22","","","","","","","","","","","","","","","","","","","","","","","","","Page 22","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001563r9",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001563st","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz001563st-1-master.tif","23","","","","","","","","","","","","","","","","","","","","","","","","","Page 23","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001563st",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001563tb","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz001563tb-1-master.tif","24","","","","","","","","","","","","","","","","","","","","","","","","","Page 24","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001563tb",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001563vv","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz001563vv-1-master.tif","25","","","","","","","","","","","","","","","","","","","","","","","","","Page 25","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001563vv",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001563wc","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz001563wc-1-master.tif","26","","","","","","","","","","","","","","","","","","","","","","","","","Page 26","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001563wc",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001563xw","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz001563xw-1-master.tif","27","","","","","","","","","","","","","","","","","","","","","","","","","Page 27","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001563xw",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz001563zd","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz001563zd-1-master.tif","28","","","","","","","","","","","","","","","","","","","","","","","","","Page 28","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001563zd",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015640d","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz0015640d-1-master.tif","29","","","","","","","","","","","","","","","","","","","","","","","","","Page 29","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015640d",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015641x","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz0015641x-1-master.tif","30","","","","","","","","","","","","","","","","","","","","","","","","","Page 30","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015641x",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015642f","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz0015642f-1-master.tif","31","","","","","","","","","","","","","","","","","","","","","","","","","Page 31","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015642f",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015643z","ark:/21198/zz001562xd","2","Completed","Page","scwu/images/masters/21198-zz0015643z-1-master.tif","32","","","","","","","","","","","","","","","","","","","","","","","","","Page 32","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015643z",""
