"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Description.caption","Date.normalized","Description.abstract","Description.creation","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qxmj","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qxmj-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","failed","",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qxn2","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qxn2-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","failed","",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qxpk","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qxpk-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","failed","",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qxq3","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qxq3-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","failed","",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qxrm","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qxrm-1-master.tif","5","","","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","failed","",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qxs4","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qxs4-1-master.tif","6","","","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","failed","",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qxtn","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qxtn-1-master.tif","7","","","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","failed","",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qxv5","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qxv5-1-master.tif","8","","","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","failed","",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qxwp","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qxwp-1-master.tif","9","","","","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","","","failed","",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qxx6","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qxx6-1-master.tif","10","","","","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","","","failed","",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qxzq","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qxzq-1-master.tif","11","","","","","","","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","","","failed","",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qz0q","ark:/21198/zz0015qxk1","2","Completed","Page","","12","","","","","","","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","","","missing","",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qz17","ark:/21198/zz0015qxk1","2","Completed","Page","","13","","","","","","","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","","","missing","",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qz2r","ark:/21198/zz0015qxk1","2","Completed","Page","","14","","","","","","","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","","","missing","",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qz38","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qz38-1-master.tif","15","","","","","","","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015qz38",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qz4s","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qz4s-1-master.tif","16","","","","","","","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015qz4s",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qz59","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qz59-1-master.tif","17","","","","","","","","","","","","","","","","","","","","","","","","","Page 17","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015qz59",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qz6t","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qz6t-1-master.tif","18","","","","","","","","","","","","","","","","","","","","","","","","","Page 18","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015qz6t",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qz7b","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qz7b-1-master.tif","19","","","","","","","","","","","","","","","","","","","","","","","","","Page 19","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015qz7b",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qz8v","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qz8v-1-master.tif","20","","","","","","","","","","","","","","","","","","","","","","","","","Page 20","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015qz8v",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qz9c","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qz9c-1-master.tif","21","","","","","","","","","","","","","","","","","","","","","","","","","Page 21","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015qz9c",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qzbw","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qzbw-1-master.tif","22","","","","","","","","","","","","","","","","","","","","","","","","","Page 22","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015qzbw",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qzcd","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qzcd-1-master.tif","23","","","","","","","","","","","","","","","","","","","","","","","","","Page 23","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015qzcd",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qzdx","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qzdx-1-master.tif","24","","","","","","","","","","","","","","","","","","","","","","","","","Page 24","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015qzdx",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qzff","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qzff-1-master.tif","25","","","","","","","","","","","","","","","","","","","","","","","","","Page 25","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015qzff",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015qzgz","ark:/21198/zz0015qxk1","2","Completed","Page","scwu/images/masters/21198-zz0015qzgz-1-master.tif","26","","","","","","","","","","","","","","","","","","","","","","","","","Page 26","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015qzgz",""
