"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Summary","Description.caption","Date.normalized","Description.abstract","Date.created","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rb31","ark:/21198/zz0015rb2h","2","Completed","Page","scwu/images/masters/21198-zz0015rb31-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rb31"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rb52","ark:/21198/zz0015rb4j","2","Completed","Page","scwu/images/masters/21198-zz0015rb52-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rb52"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rb73","ark:/21198/zz0015rb6k","2","Completed","Page","scwu/images/masters/21198-zz0015rb73-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rb73"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rb94","ark:/21198/zz0015rb8m","2","Completed","Page","scwu/images/masters/21198-zz0015rb94-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rb94"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rbc5","ark:/21198/zz0015rbbn","2","Completed","Page","scwu/images/masters/21198-zz0015rbc5-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rbc5"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rbjr","ark:/21198/zz0015rbdp","2","Completed","Page","scwu/images/masters/21198-zz0015rbjr-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rbjr"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rbk8","ark:/21198/zz0015rbf6","2","Completed","Page","scwu/images/masters/21198-zz0015rbk8-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rbk8"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rbms","ark:/21198/zz0015rbf6","2","Completed","Page","scwu/images/masters/21198-zz0015rbms-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rbms"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rbn9","ark:/21198/zz0015rbf6","2","Completed","Page","scwu/images/masters/21198-zz0015rbn9-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rbn9"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rbpt","ark:/21198/zz0015rbgq","2","Completed","Page","scwu/images/masters/21198-zz0015rbpt-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rbpt"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rd30","ark:/21198/zz0015rbh7","2","Completed","Page","scwu/images/masters/21198-zz0015rd30-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rd30"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rd51","ark:/21198/zz0015rd4h","2","Completed","Page","scwu/images/masters/21198-zz0015rd51-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rd51"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rd6j","ark:/21198/zz0015rd4h","2","Completed","Page","scwu/images/masters/21198-zz0015rd6j-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rd6j"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rd8k","ark:/21198/zz0015rd72","2","Completed","Page","scwu/images/masters/21198-zz0015rd8k-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rd8k"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rd93","ark:/21198/zz0015rd72","2","Completed","Page","scwu/images/masters/21198-zz0015rd93-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rd93"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rdc4","ark:/21198/zz0015rdbm","2","Completed","Page","scwu/images/masters/21198-zz0015rdc4-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rdc4"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rddn","ark:/21198/zz0015rdbm","2","Completed","Page","scwu/images/masters/21198-zz0015rddn-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rddn"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rdgp","ark:/21198/zz0015rdf5","2","Completed","Page","scwu/images/masters/21198-zz0015rdgp-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rdgp"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rdh6","ark:/21198/zz0015rdf5","2","Completed","Page","scwu/images/masters/21198-zz0015rdh6-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rdh6"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rdk7","ark:/21198/zz0015rdjq","2","Completed","Page","scwu/images/masters/21198-zz0015rdk7-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rdk7"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rdmr","ark:/21198/zz0015rdjq","2","Completed","Page","scwu/images/masters/21198-zz0015rdmr-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rdmr"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rdps","ark:/21198/zz0015rdn8","2","Completed","Page","scwu/images/masters/21198-zz0015rdps-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rdps"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rdq9","ark:/21198/zz0015rdn8","2","Completed","Page","scwu/images/masters/21198-zz0015rdq9-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rdq9"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rdsb","ark:/21198/zz0015rdrt","2","Completed","Page","scwu/images/masters/21198-zz0015rdsb-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rdsb"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rdtv","ark:/21198/zz0015rdrt","2","Completed","Page","scwu/images/masters/21198-zz0015rdtv-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rdtv"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rdww","ark:/21198/zz0015rdvc","2","Completed","Page","scwu/images/masters/21198-zz0015rdww-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rdww"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rdxd","ark:/21198/zz0015rdvc","2","Completed","Page","scwu/images/masters/21198-zz0015rdxd-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rdxd"
