Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,viewingHint,Delete in Title,Subject topic,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.photographer,Author,Name.subject,Subject,Subject.conceptTopic,Language,Rights.permissionNote,Name.creator,Rights.publicationNote,Text direction,IIIF Range,Name.repository,Title,Date.creation,Description.note,Summary,Description.caption,Date.normalized,Description.abstract,Date.created,AltTitle.other,Opac url,Finding Aid URL,IIIF Manifest URL
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rqcg,ark:/21198/zz000s2z5v,2,Completed,Work,,1,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rqd0,text,,copyrighted,Y,published,San Diego (Calif.)|~|Encinitas (Calif.),,,Southern California Women for Understanding,Going Places...San Diego SCWU [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"May, 1986","May, 1986",,,,1986-05,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rqcg/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rqg1,ark:/21198/zz000s2z5v,2,Completed,Work,,2,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rqhj,text,,copyrighted,Y,published,San Diego (Calif.)|~|Encinitas (Calif.),,,Southern California Women for Understanding,Going Places...San Diego SCWU [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"July, 1986","July, 1986",,,,1986-07,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rqg1/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rqkk,ark:/21198/zz000s2z5v,2,Completed,Work,,3,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rqm3,text,,copyrighted,Y,published,San Diego (Calif.)|~|Encinitas (Calif.),,,Southern California Women for Understanding,Going Places...San Diego SCWU [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"September, 1986","September, 1986",,,,1986-09,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rqkk/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rqp4,ark:/21198/zz000s2z5v,2,Completed,Work,,4,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rqqn,text,,copyrighted,Y,published,San Diego (Calif.)|~|Encinitas (Calif.),,,Southern California Women for Understanding,Going Places...San Diego SCWU [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"November, 1986","November, 1986",,,,1986-11,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rqp4/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rqsp,ark:/21198/zz000s2z5v,2,Completed,Work,,5,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rqt6,text,,copyrighted,Y,published,San Diego (Calif.)|~|Encinitas (Calif.),,,Southern California Women for Understanding,Going Places...San Diego SCWU [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 3, Number 5","November-December, 1987",,,,1987-11/1987-12,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rqsp/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rqz8,ark:/21198/zz000s2z5v,2,Completed,Work,,6,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rr08,text,,copyrighted,Y,published,San Diego (Calif.)|~|Encinitas (Calif.),,,Southern California Women for Understanding,Going Places...San Diego SCWU [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"November-December, 1988","November-December, 1988",,,,1988-11/1988-12,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rqz8/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rr29,ark:/21198/zz000s2z5v,2,Completed,Work,,7,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rr3t,text,,copyrighted,Y,published,San Diego (Calif.)|~|Encinitas (Calif.),,,Southern California Women for Understanding,Going Places...San Diego SCWU [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"January-February, 1989","January-February, 1989",,,,1989-01/1989-02,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rr29/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rr5v,ark:/21198/zz000s2z5v,2,Completed,Work,,8,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rr6c,text,,copyrighted,Y,published,San Diego (Calif.)|~|Encinitas (Calif.),,,Southern California Women for Understanding,Going Places...San Diego SCWU [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 5, Number 2","March-April, 1989",,,,1989-03/1989-04,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rr5v/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rr8d,ark:/21198/zz000s2z5v,2,Completed,Work,,9,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rr9x,text,,copyrighted,Y,published,San Diego (Calif.)|~|Encinitas (Calif.),,,Southern California Women for Understanding,Going Places...San Diego SCWU [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 5, Number 3","May-June, 1989",,,,1989-05/1989-06,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rr8d/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rrcz,ark:/21198/zz000s2z5v,2,Completed,Work,,10,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rrdg,text,,copyrighted,Y,published,San Diego (Calif.)|~|Encinitas (Calif.),,,Southern California Women for Understanding,Going Places...San Diego SCWU [newsletter],,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,Undated,Between 1986 and 1989,,,,1986/1989,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015rrcz/manifest
