"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Summary","Description.caption","Date.normalized","Description.abstract","Date.created","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tjs5","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tjs5-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tjs5",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tjtp","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tjtp-1-master.tif","5","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tjtp",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tjv6","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tjv6-1-master.tif","6","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tjv6",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tjwq","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tjwq-1-master.tif","7","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tjwq",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tjx7","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tjx7-1-master.tif","8","","","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tjx7",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tjzr","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tjzr-1-master.tif","9","","","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tjzr",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tk0r","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tk0r-1-master.tif","10","","","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tk0r",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tk18","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tk18-1-master.tif","11","","","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tk18",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tk2s","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tk2s-1-master.tif","12","","","","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tk2s",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tk39","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tk39-1-master.tif","13","","","","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tk39",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tk4t","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tk4t-1-master.tif","14","","","","","","","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tk4t",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tk5b","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tk5b-1-master.tif","15","","","","","","","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tk5b",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tk6v","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tk6v-1-master.tif","16","","","","","","","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tk6v",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tk7c","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tk7c-1-master.tif","17","","","","","","","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tk7c",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tk8w","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tk8w-1-master.tif","18","","","","","","","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tk8w",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tk9d","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tk9d-1-master.tif","19","","","","","","","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tk9d",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tkbx","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tkbx-1-master.tif","20","","","","","","","","","","","","","","","","","","","","","","","","","Page 17","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tkbx",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tkcf","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tkcf-1-master.tif","21","","","","","","","","","","","","","","","","","","","","","","","","","Page 18","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tkcf",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tkdz","ark:/21198/zz0015t5fp","2","Completed","Page","scwu/images/masters/21198-zz0015tkdz-1-master.tif","22","","","","","","","","","","","","","","","","","","","","","","","","","Page 19","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tkdz",""
