"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Summary","Description.caption","Date.normalized","Description.abstract","Date.created","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015tw9r","ark:/21198/zz0015tvhc","2","Completed","Page","scwu/images/masters/21198-zz0015tw9r-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015tw9r",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015twb8","ark:/21198/zz0015tvhc","2","Completed","Page","scwu/images/masters/21198-zz0015twb8-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015twb8",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015twcs","ark:/21198/zz0015tvhc","2","Completed","Page","scwu/images/masters/21198-zz0015twcs-1-master.tif","5","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015twcs",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015twd9","ark:/21198/zz0015tvhc","2","Completed","Page","scwu/images/masters/21198-zz0015twd9-1-master.tif","6","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015twd9",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015twft","ark:/21198/zz0015tvhc","2","Completed","Page","scwu/images/masters/21198-zz0015twft-1-master.tif","7","","","","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015twft",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015twgb","ark:/21198/zz0015tvhc","2","Completed","Page","scwu/images/masters/21198-zz0015twgb-1-master.tif","8","","","","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015twgb",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015twhv","ark:/21198/zz0015tvhc","2","Completed","Page","scwu/images/masters/21198-zz0015twhv-1-master.tif","9","","","","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015twhv",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015twjc","ark:/21198/zz0015tvhc","2","Completed","Page","scwu/images/masters/21198-zz0015twjc-1-master.tif","10","","","","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015twjc",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015twkw","ark:/21198/zz0015tvhc","2","Completed","Page","scwu/images/masters/21198-zz0015twkw-1-master.tif","11","","","","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015twkw",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015twmd","ark:/21198/zz0015tvhc","2","Completed","Page","scwu/images/masters/21198-zz0015twmd-1-master.tif","12","","","","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015twmd",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015twnx","ark:/21198/zz0015tvhc","2","Completed","Page","scwu/images/masters/21198-zz0015twnx-1-master.tif","13","","","","","","","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015twnx",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015twpf","ark:/21198/zz0015tvhc","2","Completed","Page","scwu/images/masters/21198-zz0015twpf-1-master.tif","14","","","","","","","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015twpf",""
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015twqz","ark:/21198/zz0015tvhc","2","Completed","Page","scwu/images/masters/21198-zz0015twqz-1-master.tif","15","","","","","","","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015twqz",""
