"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Summary","Description.caption","Date.normalized","Description.abstract","Date.created","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sr9c","ark:/21198/zz0015sr8v","2","Completed","Page","scwu/images/masters/21198-zz0015sr9c-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sr9c"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015srbw","ark:/21198/zz0015sr8v","2","Completed","Page","scwu/images/masters/21198-zz0015srbw-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015srbw"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015srkh","ark:/21198/zz0015srcd","2","Completed","Page","scwu/images/masters/21198-zz0015srkh-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015srkh"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015srm1","ark:/21198/zz0015srcd","2","Completed","Page","scwu/images/masters/21198-zz0015srm1-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015srm1"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015srnj","ark:/21198/zz0015srdx","2","Completed","Page","scwu/images/masters/21198-zz0015srnj-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015srnj"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015srp2","ark:/21198/zz0015srdx","2","Completed","Page","scwu/images/masters/21198-zz0015srp2-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015srp2"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015srqk","ark:/21198/zz0015srdx","2","Completed","Page","scwu/images/masters/21198-zz0015srqk-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015srqk"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015srw5","ark:/21198/zz0015srff","2","Completed","Page","scwu/images/masters/21198-zz0015srw5-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015srw5"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015srxp","ark:/21198/zz0015srff","2","Completed","Page","scwu/images/masters/21198-zz0015srxp-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015srxp"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015ss5s","ark:/21198/zz0015srgz","2","Completed","Page","scwu/images/masters/21198-zz0015ss5s-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015ss5s"
