Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Subject topic,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.photographer,Author,Name.subject,Subject,Language,Rights.permissionNote,Name.creator,Rights.publicationNote,viewingHint,Text direction,Visibility,IIIF Range,Name.repository,Title,Date.creation,Description.note,Description.caption,Date.normalized,Description.abstract,Date.created,AltTitle.other
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0014sn3d,ark:/21198/zz000s2z5v,2,Completed,Work,,1,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,,,SCWU Newsletter [newsletter],,"Southern California Women for Understanding (SCWU) Collection: Box 6, Folders 1-23.",,1977/1999,,1977-1999,SCW/WRF News <1976-June 1978>|~|SCWU <May 1979-Jan. 1987>|~|SCW News <July 1978-March 1979>
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015r8z0,ark:/21198/zz000s2z5v,2,Completed,Work,,2,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.)|~|Riverside County (Calif.)|~|San Bernardino County (Calif.)|~|Inland Empire (Calif.),,,Southern California Women for Understanding,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,,,Inland Voice [newsletter],,"Southern California Women for Understanding (SCWU) Collection: Box 12, Folder 25.",,1986/1989,,1986-1989,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rb10,ark:/21198/zz000s2z5v,2,Completed,Work,,3,,,,,text,,copyrighted,Y,published,"Los Angeles (Calif.)|~|San Fernando Valley (Calif.)|~|North Hollywood (Los Angeles, Calif.)|~|Burbank (Los Angeles County, Calif.)",,,Southern California Women for Understanding,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,,,Lavendar Rap [newsletter],,,,1981/1994,,1981-1994,L.A. Valley Calendar <May 1981-April 1992>
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rqbz,ark:/21198/zz000s2z5v,2,Completed,Work,,4,,,,,text,,copyrighted,Y,published,San Diego (Calif.)|~|San Diego County (Calif.)|~|Encinitas (Calif.),,,Southern California Women for Understanding,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,,,Going Places... San Diego SCWU [newsletter],,"Southern California Women for Understanding (SCWU) Collection: Box 13, Folders 21-25.",,1986/1989,,1986-1989,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015rrwq,ark:/21198/zz000s2z5v,2,Completed,Work,,5,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.)|~|Covina (Calif.)|~|San Gabriel (Calif.)|~|San Gabriel River Valley (Calif.),,,Southern California Women for Understanding,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,,,San Gabriel Valley Quilt [newsletter],,"Southern California Women for Understanding (SCWU) Collection: Box 13, Folders 33-46.",,1981/1994,,1981-1994,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015s5f7,ark:/21198/zz000s2z5v,2,Completed,Work,,6,,,,,text,,copyrighted,Y,published,Orange County (Calif.)|~|Los Angeles (Calif.)|~|Anaheim (Calif.)|~|Long Beach (Calif.),,,Southern California Women for Understanding,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,,,Chapter One [newsletter],,"Southern California Women for Understanding (SCWU) Collection: Box 13, Folders 50-66.",,1981/1994,,1981-1994,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015snv6,ark:/21198/zz000s2z5v,2,Completed,Work,,7,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.)|~|Ventura County (Calif.)|~|Santa Barbara (Calif.),,,Southern California Women for Understanding,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,,,Lavendar Link [newsletter],,"Southern California Women for Understanding (SCWU) Collection: Box 13, Folders 72-78.",,1980/1992,,1980-1992,Ventura Chapter Calendar <May 1986-Sep.1989>|~|What's Happening in Ventura County <April 1980->
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015sr7b,ark:/21198/zz000s2z5v,2,Completed,Work,,8,,,,,text,,,,,Los Angeles (Calif.),,,Southern California Women for Understanding,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,eng,,Southern California Women for Understanding,,,,,,,Board of Directors Meetings,1976 through 1993,"Rights.generalNote: This series includes several individually authored documents and documents that contain personal information. Notes regarding permission to publish specific documents are at the item-level.|~|Southern California Women for Understanding (SCWU) Collection: Box 1-2, 15, Folders 32-41, 1-8.",,1976/1993,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015wg9v,ark:/21198/zz000s2z5v,2,Completed,Work,,9,,,,,text,,,,,Los Angeles (Calif.),,,Southern California Women for Understanding,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,eng,,,,,,,,,Board of Directors - Founding Papers,1976 through 1993,"Rights.generalNote: This series includes correspondence and individually authored documents. Notes regarding permission to publish specific documents are at the item-level.|~|Southern California Women for Understanding (SCWU) Collection: Box 1, Folder 1.|~|Contains Betty Berzon's original invitational letter for the WRF women's ""support group,"" sign-in sheet (with blank spaces left to preserve women's anonymity), timeline of WRF women's support group, correspondence regarding the internal conflict and future of WRF, WRF board and SCWU meeting minutes, WRF newsletter, Berzon's notes for educational programs and projects, SCW's proposal to the WRF board regarding their official relationship, and letters of endorsement, support and outrage to public officials and business and media executives. ""Notes for Aron and Claudia re SCWU 'first documents' as BG to 10th anniv NL article SCWU NEWSLETTER"" by Bunny MacCulloch (1986) details the origins of SCWU as a ""support group"" of the Whitman-Radclyffe Foundation (WRF) started by Betty Berzon. MacCulloch briefly outlines SCWU's initial challenges and learning process of working together, by-law and policy making, official severance from WRF, estrangement from original members Terry DeCrescenzo and Betty Berzon, and the resignation/firing of June Mazer as newsletter co-editor. Folder also contains famous ""Closet ad"" (1975) by WRF that appeared in major publications such as Times, Newsweek, Harpers, Wall Street Journal, The Atlantic, and The Advocate.",,1976/1993,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015wwnt,ark:/21198/zz000s2z5v,2,Completed,Work,,15,,,,,,,copyrighted,Y,published,Los Angeles (Calif.),,,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles,,,,,,,,,,Education Committee - Lesbian Rights Award Dinners,1979-1983,"Contains invitations and programs from annual Lesbian Rights Award Dinners hosted by SCWU.|~|Southern California Women for Understanding (SCWU) Collection: Box 9, Folder 7-36.",,1979/1983,,,
