"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Subject","Description.note","Summary","Title","Alt ID.local","Opac URL","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqg5t","ark:/21198/zz002dqg49","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f01_001.tif","1","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 1, 1","uclamss_107_b01_f01_001","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqg5t",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqg6b","ark:/21198/zz002dqg49","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f01_002.tif","2","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 1, 2","uclamss_107_b01_f01_002","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqg6b",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqg7v","ark:/21198/zz002dqg49","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f01_003.tif","3","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 1, 3","uclamss_107_b01_f01_003","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqg7v",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqg8c","ark:/21198/zz002dqg49","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f01_004.tif","4","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 1, 4","uclamss_107_b01_f01_004","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqg8c",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqg9w","ark:/21198/zz002dqg49","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f01_005.tif","5","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 1, 5","uclamss_107_b01_f01_005","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqg9w",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqgbd","ark:/21198/zz002dqg49","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f01_006.tif","6","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 1, 6","uclamss_107_b01_f01_006","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqgbd",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqgcx","ark:/21198/zz002dqg49","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f01_007.tif","7","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 1, 7","uclamss_107_b01_f01_007","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqgcx",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqgdf","ark:/21198/zz002dqg49","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f01_008.tif","8","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 1, 8","uclamss_107_b01_f01_008","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqgdf",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqgfz","ark:/21198/zz002dqg49","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f01_009.tif","9","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 1, 9","uclamss_107_b01_f01_009","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqgfz",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqggg","ark:/21198/zz002dqg49","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f01_010.tif","10","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 1, 10","uclamss_107_b01_f01_010","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqggg",""
