"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Subject","Description.note","Summary","Title","Alt ID.local","Opac URL","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqw1j","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_001.tif","1","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 1","uclamss_107_b01_f08_001","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqw1j",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqw22","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_002.tif","2","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 2","uclamss_107_b01_f08_002","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqw22",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqw3k","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_003.tif","3","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 3","uclamss_107_b01_f08_003","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqw3k",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqw43","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_004.tif","4","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 4","uclamss_107_b01_f08_004","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqw43",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqw5m","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_005.tif","5","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 5","uclamss_107_b01_f08_005","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqw5m",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqw64","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_006.tif","6","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 6","uclamss_107_b01_f08_006","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqw64",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqw7n","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_007.tif","7","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 7","uclamss_107_b01_f08_007","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqw7n",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqw85","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_008.tif","8","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 8","uclamss_107_b01_f08_008","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqw85",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqw9p","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_009.tif","9","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 9","uclamss_107_b01_f08_009","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqw9p",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqwb6","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_010.tif","10","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 10","uclamss_107_b01_f08_010","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqwb6",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqwcq","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_011.tif","11","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 11","uclamss_107_b01_f08_011","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqwcq",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqwd7","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_012.tif","12","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 12","uclamss_107_b01_f08_012","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqwd7",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqwfr","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_013.tif","13","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 13","uclamss_107_b01_f08_013","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqwfr",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqwg8","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_014.tif","14","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 14","uclamss_107_b01_f08_014","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqwg8",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqwhs","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_015.tif","15","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 15","uclamss_107_b01_f08_015","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqwhs",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqwj9","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_016.tif","16","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 16","uclamss_107_b01_f08_016","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqwj9",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqwkt","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_017.tif","17","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 17","uclamss_107_b01_f08_017","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqwkt",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqwmb","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_018.tif","18","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 18","uclamss_107_b01_f08_018","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqwmb",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqwnv","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_019.tif","19","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 19","uclamss_107_b01_f08_019","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqwnv",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqwpc","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_020.tif","20","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 20","uclamss_107_b01_f08_020","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqwpc",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqwqw","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_021.tif","21","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 21","uclamss_107_b01_f08_021","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqwqw",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqwrd","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_022.tif","22","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 22","uclamss_107_b01_f08_022","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqwrd",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqwsx","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_023.tif","23","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 23","uclamss_107_b01_f08_023","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqwsx",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqwtf","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_024.tif","24","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 24","uclamss_107_b01_f08_024","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqwtf",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqwvz","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_025.tif","25","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 25","uclamss_107_b01_f08_025","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqwvz",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqwwg","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_026.tif","26","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 26","uclamss_107_b01_f08_026","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqwwg",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqwx0","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_027.tif","27","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 27","uclamss_107_b01_f08_027","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqwx0",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqwzh","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_028.tif","28","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 28","uclamss_107_b01_f08_028","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqwzh",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqx0h","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_029.tif","29","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 29","uclamss_107_b01_f08_029","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqx0h",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqx11","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_030.tif","30","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 30","uclamss_107_b01_f08_030","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqx11",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqx2j","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_031.tif","31","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 31","uclamss_107_b01_f08_031","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqx2j",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqx32","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_032.tif","32","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 32","uclamss_107_b01_f08_032","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqx32",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqx4k","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_033.tif","33","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 33","uclamss_107_b01_f08_033","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqx4k",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqx53","ark:/21198/zz002dqw01","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b01_f08_034.tif","34","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 1, Folder 8, 34","uclamss_107_b01_f08_034","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dqx53",""
