"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Subject","Description.note","Summary","Title","Alt ID.local","Opac URL","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr44x","ark:/21198/zz002dr43d","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b02_f01_001.tif","1","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 1, 1","uclamss_107_b02_f01_001","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dr44x",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr45f","ark:/21198/zz002dr43d","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b02_f01_002.tif","2","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 1, 2","uclamss_107_b02_f01_002","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dr45f",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr46z","ark:/21198/zz002dr43d","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b02_f01_003.tif","3","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 1, 3","uclamss_107_b02_f01_003","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dr46z",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr47g","ark:/21198/zz002dr43d","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b02_f01_004.tif","4","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 1, 4","uclamss_107_b02_f01_004","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dr47g",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr480","ark:/21198/zz002dr43d","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b02_f01_005.tif","5","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 1, 5","uclamss_107_b02_f01_005","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dr480",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr49h","ark:/21198/zz002dr43d","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b02_f01_006.tif","6","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 1, 6","uclamss_107_b02_f01_006","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dr49h",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr4b1","ark:/21198/zz002dr43d","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b02_f01_007.tif","7","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 1, 7","uclamss_107_b02_f01_007","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dr4b1",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr4cj","ark:/21198/zz002dr43d","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b02_f01_008.tif","8","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 1, 8","uclamss_107_b02_f01_008","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dr4cj",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr4d2","ark:/21198/zz002dr43d","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b02_f01_009.tif","9","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 1, 9","uclamss_107_b02_f01_009","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dr4d2",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr4fk","ark:/21198/zz002dr43d","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b02_f01_010.tif","10","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 1, 10","uclamss_107_b02_f01_010","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dr4fk",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr4g3","ark:/21198/zz002dr43d","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b02_f01_011.tif","11","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 1, 11","uclamss_107_b02_f01_011","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dr4g3",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr4hm","ark:/21198/zz002dr43d","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b02_f01_012.tif","12","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 1, 12","uclamss_107_b02_f01_012","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dr4hm",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr4j4","ark:/21198/zz002dr43d","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b02_f01_013.tif","13","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 1, 13","uclamss_107_b02_f01_013","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dr4j4",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr4kn","ark:/21198/zz002dr43d","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b02_f01_014.tif","14","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 1, 14","uclamss_107_b02_f01_014","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dr4kn",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr4m5","ark:/21198/zz002dr43d","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b02_f01_015.tif","15","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 1, 15","uclamss_107_b02_f01_015","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dr4m5",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr4np","ark:/21198/zz002dr43d","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b02_f01_016.tif","16","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 1, 16","uclamss_107_b02_f01_016","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dr4np",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr4p6","ark:/21198/zz002dr43d","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b02_f01_017.tif","17","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 1, 17","uclamss_107_b02_f01_017","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dr4p6",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr4qq","ark:/21198/zz002dr43d","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b02_f01_018.tif","18","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 1, 18","uclamss_107_b02_f01_018","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dr4qq",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr4r7","ark:/21198/zz002dr43d","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b02_f01_019.tif","19","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 1, 19","uclamss_107_b02_f01_019","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dr4r7",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr4sr","ark:/21198/zz002dr43d","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b02_f01_020.tif","20","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 1, 20","uclamss_107_b02_f01_020","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dr4sr",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dr4t8","ark:/21198/zz002dr43d","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b02_f01_021.tif","21","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 2, Folder 1, 21","uclamss_107_b02_f01_021","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dr4t8",""
