"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Subject","Description.note","Summary","Title","Alt ID.local","Opac URL","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dswvv","ark:/21198/zz002dswtb","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f05_001.tif","1","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 5, 1","uclamss_107_b04_f05_001","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dswvv",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dswwc","ark:/21198/zz002dswtb","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f05_002.tif","2","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 5, 2","uclamss_107_b04_f05_002","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dswwc",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dswxw","ark:/21198/zz002dswtb","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f05_003.tif","3","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 5, 3","uclamss_107_b04_f05_003","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dswxw",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dswzd","ark:/21198/zz002dswtb","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f05_004.tif","4","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 5, 4","uclamss_107_b04_f05_004","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dswzd",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsx0d","ark:/21198/zz002dswtb","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f05_005.tif","5","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 5, 5","uclamss_107_b04_f05_005","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsx0d",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsx1x","ark:/21198/zz002dswtb","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f05_006.tif","6","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 5, 6","uclamss_107_b04_f05_006","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsx1x",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsx2f","ark:/21198/zz002dswtb","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f05_007.tif","7","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 5, 7","uclamss_107_b04_f05_007","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsx2f",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsx3z","ark:/21198/zz002dswtb","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f05_008.tif","8","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 5, 8","uclamss_107_b04_f05_008","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsx3z",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsx4g","ark:/21198/zz002dswtb","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f05_009.tif","9","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 5, 9","uclamss_107_b04_f05_009","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsx4g",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsx50","ark:/21198/zz002dswtb","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f05_010.tif","10","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 5, 10","uclamss_107_b04_f05_010","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsx50",""
