"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Subject","Description.note","Summary","Title","Alt ID.local","Opac URL","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtx1c","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_001.tif","1","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 1","uclamss_107_b05_f08_001","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtx1c",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtx2w","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_002.tif","2","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 2","uclamss_107_b05_f08_002","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtx2w",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtx3d","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_003.tif","3","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 3","uclamss_107_b05_f08_003","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtx3d",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtx4x","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_004.tif","4","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 4","uclamss_107_b05_f08_004","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtx4x",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtx5f","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_005.tif","5","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 5","uclamss_107_b05_f08_005","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtx5f",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtx6z","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_006.tif","6","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 6","uclamss_107_b05_f08_006","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtx6z",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtx7g","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_007.tif","7","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 7","uclamss_107_b05_f08_007","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtx7g",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtx80","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_008.tif","8","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 8","uclamss_107_b05_f08_008","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtx80",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtx9h","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_009.tif","9","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 9","uclamss_107_b05_f08_009","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtx9h",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtxb1","ark:/21198/zz002dtx0v","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f08_010.tif","10","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 8, 10","uclamss_107_b05_f08_010","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtxb1",""
