"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Subject","Description.note","Summary","Title","Alt ID.local","Opac URL","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv6wm","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_001.tif","1","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 1","uclamss_107_b12_f02_001","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv6wm",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv6x4","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_002.tif","2","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 2","uclamss_107_b12_f02_002","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv6x4",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv6zn","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_003.tif","3","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 3","uclamss_107_b12_f02_003","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv6zn",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv70n","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_004.tif","4","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 4","uclamss_107_b12_f02_004","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv70n",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv715","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_005.tif","5","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 5","uclamss_107_b12_f02_005","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv715",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv72p","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_006.tif","6","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 6","uclamss_107_b12_f02_006","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv72p",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv736","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_007.tif","7","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 7","uclamss_107_b12_f02_007","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv736",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv74q","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_008.tif","8","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 8","uclamss_107_b12_f02_008","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv74q",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv757","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_009.tif","9","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 9","uclamss_107_b12_f02_009","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv757",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv76r","ark:/21198/zz002dv6v3","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b12_f02_010.tif","10","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 12, Folder 2, 10","uclamss_107_b12_f02_010","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv76r",""
