"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Subject","Description.note","Summary","Title","Alt ID.local","Opac URL","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dstxx","ark:/21198/zz002dstwd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f04_001.tif","1","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 4, 1","uclamss_107_b04_f04_001","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dstxx",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dstzf","ark:/21198/zz002dstwd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f04_002.tif","2","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 4, 2","uclamss_107_b04_f04_002","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dstzf",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsv0f","ark:/21198/zz002dstwd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f04_003.tif","3","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 4, 3","uclamss_107_b04_f04_003","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsv0f",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsv1z","ark:/21198/zz002dstwd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f04_004.tif","4","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 4, 4","uclamss_107_b04_f04_004","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsv1z",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsv2g","ark:/21198/zz002dstwd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f04_005.tif","5","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 4, 5","uclamss_107_b04_f04_005","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsv2g",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsv30","ark:/21198/zz002dstwd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f04_006.tif","6","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 4, 6","uclamss_107_b04_f04_006","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsv30",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsv4h","ark:/21198/zz002dstwd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f04_007.tif","7","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 4, 7","uclamss_107_b04_f04_007","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsv4h",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsv51","ark:/21198/zz002dstwd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f04_008.tif","8","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 4, 8","uclamss_107_b04_f04_008","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsv51",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsv6j","ark:/21198/zz002dstwd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f04_009.tif","9","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 4, 9","uclamss_107_b04_f04_009","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsv6j",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsv72","ark:/21198/zz002dstwd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f04_010.tif","10","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 4, 10","uclamss_107_b04_f04_010","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsv72",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsv8k","ark:/21198/zz002dstwd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f04_011.tif","11","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 4, 11","uclamss_107_b04_f04_011","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsv8k",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsv93","ark:/21198/zz002dstwd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f04_012.tif","12","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 4, 12","uclamss_107_b04_f04_012","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsv93",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsvbm","ark:/21198/zz002dstwd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f04_013.tif","13","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 4, 13","uclamss_107_b04_f04_013","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsvbm",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dsvc4","ark:/21198/zz002dstwd","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b04_f04_014.tif","14","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 4, Folder 4, 14","uclamss_107_b04_f04_014","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dsvc4",""
