"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Subject","Description.note","Summary","Title","Alt ID.local","Opac URL","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtjz1","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_001.tif","1","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 1","uclamss_107_b05_f05_001","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtjz1",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtk01","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_002.tif","2","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 2","uclamss_107_b05_f05_002","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtk01",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtk1j","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_003.tif","3","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 3","uclamss_107_b05_f05_003","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtk1j",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtk22","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_004.tif","4","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 4","uclamss_107_b05_f05_004","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtk22",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtk3k","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_005.tif","5","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 5","uclamss_107_b05_f05_005","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtk3k",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtk43","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_006.tif","6","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 6","uclamss_107_b05_f05_006","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtk43",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtk5m","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_007.tif","7","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 7","uclamss_107_b05_f05_007","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtk5m",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtk64","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_008.tif","8","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 8","uclamss_107_b05_f05_008","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtk64",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtk7n","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_009.tif","9","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 9","uclamss_107_b05_f05_009","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtk7n",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtk85","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_010.tif","10","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 10","uclamss_107_b05_f05_010","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtk85",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtk9p","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_011.tif","11","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 11","uclamss_107_b05_f05_011","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtk9p",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtkb6","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_012.tif","12","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 12","uclamss_107_b05_f05_012","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtkb6",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtkcq","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_013.tif","13","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 13","uclamss_107_b05_f05_013","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtkcq",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtkd7","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_014.tif","14","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 14","uclamss_107_b05_f05_014","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtkd7",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtkfr","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_015.tif","15","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 15","uclamss_107_b05_f05_015","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtkfr",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtkg8","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_016.tif","16","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 16","uclamss_107_b05_f05_016","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtkg8",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtkhs","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_017.tif","17","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 17","uclamss_107_b05_f05_017","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtkhs",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtkj9","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_018.tif","18","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 18","uclamss_107_b05_f05_018","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtkj9",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtkkt","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_019.tif","19","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 19","uclamss_107_b05_f05_019","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtkkt",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtkmb","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_020.tif","20","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 20","uclamss_107_b05_f05_020","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtkmb",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtknv","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_021.tif","21","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 21","uclamss_107_b05_f05_021","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtknv",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtkpc","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_022.tif","22","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 22","uclamss_107_b05_f05_022","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtkpc",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtkqw","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_023.tif","23","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 23","uclamss_107_b05_f05_023","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtkqw",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtkrd","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_024.tif","24","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 24","uclamss_107_b05_f05_024","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtkrd",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtksx","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_025.tif","25","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 25","uclamss_107_b05_f05_025","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtksx",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtktf","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_026.tif","26","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 26","uclamss_107_b05_f05_026","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtktf",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtkvz","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_027.tif","27","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 27","uclamss_107_b05_f05_027","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtkvz",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtkwg","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_028.tif","28","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 28","uclamss_107_b05_f05_028","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtkwg",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtkx0","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_029.tif","29","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 29","uclamss_107_b05_f05_029","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtkx0",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtkzh","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_030.tif","30","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 30","uclamss_107_b05_f05_030","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtkzh",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dtm0h","ark:/21198/zz002dtjxh","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f05_031.tif","31","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 5, 31","uclamss_107_b05_f05_031","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dtm0h",""
