"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Subject","Description.note","Summary","Title","Alt ID.local","Opac URL","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv3xp","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_001.tif","1","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 1","uclamss_107_b05_f10_001","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv3xp",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv3z6","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_002.tif","2","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 2","uclamss_107_b05_f10_002","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv3z6",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv406","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_003.tif","3","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 3","uclamss_107_b05_f10_003","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv406",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv41q","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_004.tif","4","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 4","uclamss_107_b05_f10_004","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv41q",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv427","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_005.tif","5","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 5","uclamss_107_b05_f10_005","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv427",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv43r","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_006.tif","6","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 6","uclamss_107_b05_f10_006","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv43r",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv448","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_007.tif","7","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 7","uclamss_107_b05_f10_007","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv448",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv45s","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_008.tif","8","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 8","uclamss_107_b05_f10_008","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv45s",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv469","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_009.tif","9","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 9","uclamss_107_b05_f10_009","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv469",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv47t","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_010.tif","10","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 10","uclamss_107_b05_f10_010","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv47t",""
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dv48b","ark:/21198/zz002dv3w5","10","Completed with minimal metadata","Page","sleepylagoon/image/uclamss_107_b05_f10_011.tif","11","","","","","","","","text","unknown","","","","UCLA LSC, Collection 107, Box 5, Folder 10, 11","uclamss_107_b05_f10_011","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dv48b",""
