Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject.topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz0025qh4w,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_001.tif,1,,,,,,,,,,,,,,,,p. 1,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qh5d,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_002.tif,2,,,,,,,,,,,,,,,,p. 2,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qh6x,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_003.tif,3,,,,,,,,,,,,,,,,p. 3,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qh7f,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_004.tif,4,,,,,,,,,,,,,,,,p. 4,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qh8z,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_005.tif,5,,,,,,,,,,,,,,,,p. 5,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qh9g,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_006.tif,6,,,,,,,,,,,,,,,,p. 6,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qhb0,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_007.tif,7,,,,,,,,,,,,,,,,p. 7,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qhch,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_008.tif,8,,,,,,,,,,,,,,,,p. 8,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qhd1,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_009.tif,9,,,,,,,,,,,,,,,,p. 9,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qhfj,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_010.tif,10,,,,,,,,,,,,,,,,p. 10,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qhg2,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_011.tif,11,,,,,,,,,,,,,,,,p. 11,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qhhk,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_012.tif,12,,,,,,,,,,,,,,,,p. 12,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qhj3,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_013.tif,13,,,,,,,,,,,,,,,,p. 13,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qhkm,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_014.tif,14,,,,,,,,,,,,,,,,p. 14,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qhm4,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_015.tif,15,,,,,,,,,,,,,,,,p. 15,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qhnn,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_016.tif,16,,,,,,,,,,,,,,,,p. 16,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qhp5,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_017.tif,17,,,,,,,,,,,,,,,,p. 17,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qhqp,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_018.tif,18,,,,,,,,,,,,,,,,p. 18,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qhr6,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_019.tif,19,,,,,,,,,,,,,,,,p. 19,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qhsq,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_020.tif,20,,,,,,,,,,,,,,,,p. 20,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qht7,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_021.tif,21,,,,,,,,,,,,,,,,p. 21,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qhvr,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_022.tif,22,,,,,,,,,,,,,,,,p. 22,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qhw8,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_023.tif,23,,,,,,,,,,,,,,,,p. 23,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qhxs,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_024.tif,24,,,,,,,,,,,,,,,,p. 24,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qhz9,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_025.tif,25,,,,,,,,,,,,,,,,p. 25,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qj09,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_026.tif,26,,,,,,,,,,,,,,,,p. 26,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qj1t,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_027.tif,27,,,,,,,,,,,,,,,,p. 27,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qj2b,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_028.tif,28,,,,,,,,,,,,,,,,p. 28,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qj3v,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_029.tif,29,,,,,,,,,,,,,,,,p. 29,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qj4c,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_030.tif,30,,,,,,,,,,,,,,,,p. 30,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qj5w,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_031.tif,31,,,,,,,,,,,,,,,,p. 31,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qj6d,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_032.tif,32,,,,,,,,,,,,,,,,p. 32,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qj7x,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_033.tif,33,,,,,,,,,,,,,,,,p. 33,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qj8f,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_034.tif,34,,,,,,,,,,,,,,,,p. 34,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025qj9z,ark:/21198/zz0025qh3c,2,Completed,ChildWork,stgall/masters/csg-0007/csg-0007_035.tif,35,,,,,,,,,,,,,,,,p. 35,,,,,,,,,,,
