Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,IIIF Access URL,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Subject.topic,Author,Name.subject,Name.annotator,Name.repository,Name.scribe,Title,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,AltIdentifier.local,Description.contents,Date.creation,Format.dimensions,Format.extent,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz0025r284,ark:/21198/zz0025r27m,2,Completed,ChildWork,stgall/masters/csg-0019/csg-0019_001.tif,1,,,,,,,,,,,,,,,,p. 1,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025r29n,ark:/21198/zz0025r27m,2,Completed,ChildWork,stgall/masters/csg-0019/csg-0019_002.tif,2,,,,,,,,,,,,,,,,p. 2,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025r2b5,ark:/21198/zz0025r27m,2,Completed,ChildWork,stgall/masters/csg-0019/csg-0019_003.tif,3,,,,,,,,,,,,,,,,p. 3,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025r2cp,ark:/21198/zz0025r27m,2,Completed,ChildWork,stgall/masters/csg-0019/csg-0019_004.tif,4,,,,,,,,,,,,,,,,p. 4,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025r2d6,ark:/21198/zz0025r27m,2,Completed,ChildWork,stgall/masters/csg-0019/csg-0019_005.tif,5,,,,,,,,,,,,,,,,p. 5,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025r2fq,ark:/21198/zz0025r27m,2,Completed,ChildWork,stgall/masters/csg-0019/csg-0019_006.tif,6,,,,,,,,,,,,,,,,p. 6 ,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025r2g7,ark:/21198/zz0025r27m,2,Completed,ChildWork,stgall/masters/csg-0019/csg-0019_007.tif,7,,,,,,,,,,,,,,,,p. 7,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025r2hr,ark:/21198/zz0025r27m,2,Completed,ChildWork,stgall/masters/csg-0019/csg-0019_008.tif,8,,,,,,,,,,,,,,,,p. 8,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025r2j8,ark:/21198/zz0025r27m,2,Completed,ChildWork,stgall/masters/csg-0019/csg-0019_009.tif,9,,,,,,,,,,,,,,,,p. 9,,,,,,,,,,,
St Gall Manuscripts,ark:/21198/zz0025r2ks,ark:/21198/zz0025r27m,2,Completed,ChildWork,stgall/masters/csg-0019/csg-0019_010.tif,10,,,,,,,,,,,,,,,,p. 10,,,,,,,,,,,
